,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth:
0,1740.0,363.0,463.50000000000006,300.0,234.79999999999995,0,0,20,3755587647.795901
1,25740.0,363.0,1843.4999999999998,300.0,266.79999999999995,0,0,20,-68605923411.034195
2,25740.0,363.0,1841.9999999999998,300.0,314.79999999999995,0,0,20,-130525763794.84967
3,25740.0,363.0,1841.9999999999998,300.0,378.8,0,0,20,-195297416373.70776
4,25740.0,363.0,1841.9999999999998,300.0,442.79999999999995,0,0,20,-263587029097.4784
5,25740.0,363.0,1841.9999999999998,300.0,570.8,0,0,20,-328956804956.23804
6,25740.0,363.0,1841.9999999999998,300.0,698.8,0,0,20,-386877184515.4183
7,88980.0,363.0,8622.0,300.0,794.8,0,0,20,-395138889890.6665
8,87600.0,0.0,9322.0,300.0,890.8,0,0,20,-403304575460.16547
9,87600.0,0.0,10195.4,300.0,970.8,0,0,20,-410860928244.65576
10,87600.0,0.0,11198.4,300.0,1082.8000000000002,0,0,20,-418377361449.0805
11,87600.0,0.0,12258.4,300.0,1162.8000000000002,0,0,20,-425769956648.5319
12,87600.0,0.0,13591.5,300.0,1290.8000000000002,0,0,20,-435716469037.7063
13,87600.0,0.0,14971.5,300.0,1402.8000000000002,0,0,20,-445317399072.96185
14,64800.0,0.0,15613.5,300.0,1498.8000000000002,0,0,20,-453979908583.70166
15,4800.0,0.0,16293.5,90.0,1578.8000000000002,0,0,20,-461882534048.16455
16,9600.0,0.0,16327.5,90.0,1706.8000000000002,0,0,20,-468962288224.2356
17,14400.0,0.0,17088.5,90.0,1834.8000000000002,0,0,20,-474065201920.28503
18,19200.0,0.0,16915.7,90.0,1914.8000000000002,0,0,20,-478857498109.0479
19,22800.0,0.0,15313.2,90.0,2023.5000000000002,0,0,20,-481861949454.0211
20,26400.0,0.0,16333.2,0.0,2119.5,0,0,20,-484740044391.7519
21,31200.0,0.0,15933.2,0.0,2231.5,0,0,20,-486573155570.73376
22,30000.0,0.0,16853.2,0.0,2300.7000000000003,0,0,20,-488617974890.1265
23,27600.0,0.0,17775.2,0.0,2280.0,0,0,20,-490014684346.14734
24,22800.0,0.0,18015.2,0.0,2301.7,0,0,20,-491772403676.101
25,19200.0,0.0,19015.2,0.0,2314.0,0,0,20,-493241801902.4477
26,15600.0,0.0,19115.2,0.0,2368.0,0,0,20,-494734701443.9847
27,13200.0,0.0,20155.2,0.0,2432.0,0,0,20,-496086169021.04144
28,13200.0,0.0,19995.2,0.0,2480.0,0,0,20,-497595977955.6064
29,9600.0,0.0,20860.0,0.0,2496.0,0,0,20,-498824199995.06067
30,13200.0,0.0,20900.0,0.0,2512.0,0,0,20,-500130378319.2342
31,13200.0,0.0,21840.0,0.0,2448.0,0,0,20,-501392657338.10986
32,14400.0,0.0,15040.0,0.0,2400.0,0,0,20,-502854943016.9405
33,13200.0,0.0,15080.0,0.0,2368.0,0,0,20,-504211046691.7428
34,13200.0,0.0,14280.0,0.0,2400.0,0,0,20,-505406602165.35657
35,12000.0,0.0,14320.0,0.0,2416.0,0,0,20,-506649083474.06464
36,9600.0,0.0,14460.0,0.0,2352.0,0,0,20,-507936822521.022
37,9600.0,0.0,14100.0,0.0,2304.0,0,0,20,-509036215835.09076
38,7200.0,0.0,15240.0,0.0,2256.0,0,0,20,-510352029808.47565
39,7200.0,0.0,15180.0,0.0,2176.0,0,0,20,-511665250097.70703
