,accepted_price,day,segment_demand,segment_hour,year
0,87.00786352441402,2,51756.04750848467,32.0,2013
1,87.00786352441402,2,51241.54137582614,64.0,2013
2,86.95768953823192,2,47940.27042095862,96.0,2013
3,74.18216595238613,2,43484.37199112831,128.0,2013
4,74.63698331069752,2,43198.72644590652,160.0,2013
5,70.46976960924378,2,40849.033723012806,192.0,2013
6,70.46976960924378,2,40687.28263114022,224.0,2013
7,70.46976960924378,2,40329.36532146473,256.0,2013
8,70.46976960924378,2,40320.76153998213,288.0,2013
9,69.38550089219385,2,39841.53091140221,320.0,2013
10,70.40021500235996,2,39817.440323250965,352.0,2013
11,68.69108986284458,2,38680.02041125335,384.0,2013
12,66.7674825346622,2,37551.20428073832,416.0,2013
13,66.7674825346622,2,36930.01125769574,448.0,2013
14,65.11857230997157,2,30568.37522947306,480.0,2013
15,64.82369727576283,2,30173.461659422446,512.0,2013
16,57.7647831650065,2,23113.198574813934,544.0,2013
17,37.45621749982435,2,18383.699893837453,576.0,2013
18,37.44375360647318,2,18221.948801964867,608.0,2013
19,37.44375360647318,2,17381.359351116407,640.0,2013
20,34.77589998780908,2,15088.451586007739,672.0,2013
21,28.634363454493798,2,13504.495415064008,704.0,2013
22,28.634363454493798,2,12601.958737540936,736.0,2013
23,28.634363454493798,2,11976.46382375707,768.0,2013
