,accepted_price,day,segment_demand,segment_hour,year
0,65.20593840291141,7,32329.93431791133,82.0,2013
1,65.20593840291141,7,32131.24288663357,164.0,2013
2,65.02590803755227,7,32040.245550460128,246.0,2013
3,65.20593840291141,7,31965.110135271058,328.0,2013
4,65.02590803755227,7,31502.609912884993,410.0,2013
5,65.02590803755227,7,31451.68479814573,492.0,2013
6,64.55758292947829,7,31385.732600368658,574.0,2013
7,64.55758292947829,7,31042.614204338555,656.0,2013
8,64.55758292947829,7,30949.11235432549,738.0,2013
9,64.15859533948712,7,30060.84477920135,820.0,2013
10,63.27601730226436,7,28618.244807571158,902.0,2013
11,60.58308581278692,7,26696.447854623988,984.0,2013
12,60.58308581278692,7,25829.886066110023,1066.0,2013
13,58.85936179127007,7,25278.89302139015,1148.0,2013
14,58.85936179127007,7,25189.565361109817,1230.0,2013
15,47.45133646492363,7,19296.444296446894,1312.0,2013
16,38.17452012289361,7,17126.700473375793,1394.0,2013
17,33.825086125078585,7,13050.18678039534,1476.0,2013
18,22.758788948913335,7,9648.222148223447,1558.0,2013
19,22.758788948913335,7,9246.665095935185,1640.0,2013
20,19.52974787032568,7,8254.042777492881,1722.0,2013
21,13.25622177299859,7,7157.900553678969,1804.0,2013
22,13.044093107508449,7,6620.264916103829,1886.0,2013
23,13.044093107508449,7,6378.996749552251,1968.0,2013
