,index,Unnamed: 0,mean_absolute_error,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}",67.5,15245.056221751714,422593.92855275405,66318.3242507003,28782.182092239957,26057.97398773911,656611.2945350788,249561.15582279902,956.549627684409,0.0,192466.93837535015,14308.797385620916,12835.295891690635,6983.2941176461645,342093.4377217828,17609.459383753503,395.52240896358546,42.352941176471354,-1271502402521.5732,43.28310247210662,1009.2560458638321
5,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}",67.5,15245.056221751714,406498.7816937105,63807.1449264703,28643.17389060243,26076.531802933714,683254.8181914084,326866.9132087712,935.2077060091292,0.0,194459.9594320487,14280.556795131846,12718.025152130393,6983.294117646315,344893.5702839916,21597.63286004057,389.7839756592292,42.35294117647113,-1316936166822.1704,42.59387673061433,970.9177390507747
8,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}",67.5,12446.26542531803,406113.70066526625,65341.36242588706,28410.14026331041,26144.479010748793,699670.7516911478,235408.3375624159,944.4427982026184,0.0,199370.8660130719,14280.161531279178,12453.470214751267,6983.294117645297,343569.7479459561,17297.42390289449,407.3151260504202,42.35294117647172,-1303816542767.9812,42.13363297459754,973.5835062081794
13,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}",67.5,12446.26542531803,388802.3753397562,66451.32230096312,31333.813173158695,26044.793710836613,739040.5489048671,248864.7324183752,968.4074562626779,0.0,187380.41379310345,14269.540567951319,14147.792596349447,6983.294117646315,354077.9693712123,17945.86004056795,420.8184584178499,42.35294117647113,-1284003039692.5059,41.918422345433484,941.0220248785869
24,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}",67.5,1940.9104396333184,424256.646294506,63805.84626935002,30647.041088026053,26144.066059097382,668025.1222761814,242651.58127120565,905.6986787280732,0.0,194667.12641898866,14306.876160990712,13531.201341587997,6983.294117645389,330402.57605789095,17433.910216718265,399.25232198142413,42.35294117647184,-1324035064448.9326,42.185262761133714,1006.8576833085717
29,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}",67.5,1940.9104396333184,421789.7734143448,65042.550887966056,29833.51563471492,26267.447463858443,673530.1033055881,257214.99853826116,925.645475976651,0.0,190451.39110911542,14204.163897620117,12914.005208799575,6983.294117645264,337441.35922777,18206.200269420744,414.0397395599461,42.352941176471674,-1274157273558.5352,42.44565789766487,1004.6666924718659
32,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}",67.5,1922.2494711155214,406768.7379840698,67719.58514338224,29113.43468812166,26045.527152163013,681712.6519371647,255771.28289582394,980.7167169117652,0.0,227901.65,14221.789215686274,12949.194117647668,6983.294117646252,348343.8705882609,17801.882352941175,396.20588235294116,42.35294117647123,-1324889989140.708,43.024118888533756,980.3735915493803
37,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}",67.5,1922.2494711155214,421339.66067774704,59531.783585890924,28113.6565129211,26195.17341257514,627967.1595024979,284727.75949503464,815.6212025788577,0.0,187291.6811594203,14230.304347826086,12538.109207161713,6976.138107415839,306313.0358908965,18897.496163682863,397.96547314578004,42.35294117647159,-1335055483281.4053,42.740108877781125,991.059336564526
40,"{""hidden_layer_sizes"": 10, ""learning_rate"": ""adaptive"", ""solver"": ""adam""}",67.5,2864.2393846329237,395165.332269232,64128.09669570115,27920.49656981417,26178.98782590338,651557.9382737236,270597.0794477363,901.9335967194592,0.0,202061.61990950227,14286.41628959276,12337.908325792445,6983.294117646112,326123.5990950434,18742.737556561086,404.31447963800906,42.35294117647144,-1328069271796.766,42.6452695422229,948.5046277234708
54,"{""power"": 0.1}",67.5,1422.6869651065272,383741.1744165857,64479.86426952728,32276.087605268105,26229.851871136358,687710.3766780964,249798.3593015207,918.9572577145618,0.0,196482.16104146576,14203.061716489874,14272.914368370875,6983.294117646222,335178.0135969333,18017.239151398266,398.82497589199613,42.35294117647127,-1303171811265.7207,41.758533100356765,926.1595097769023
174,{},67.5,1734.1071531248629,392055.0787605055,67742.84295985055,33081.01823957817,25797.58937155948,732185.9127540467,245397.09167897285,973.8898494397778,0.0,179260.58823529413,14299.165266106442,14544.714098973525,6983.2941176461645,359359.1846872397,17135.435107376285,412.2170868347339,42.352941176471354,-1224497486422.2573,43.00597594860935,950.5164408001692
