,estimator,mean_fit_time,mean_score_time,mean_test_score,param_model__estimator__C,param_model__estimator__activation,param_model__estimator__alpha,param_model__estimator__gamma,param_model__estimator__hidden_layer_sizes,param_model__estimator__kernel,param_model__estimator__learning_rate,param_model__estimator__n_estimators,param_model__estimator__n_neighbors,param_model__estimator__solver,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,std_fit_time,std_score_time,std_test_score
1,GradientBoostingRegressor,3.7094951570034027,0.007687121629714966,-2319.7610940557774,,,,,,,0.8,32,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 32}",2,-1709.3197008023217,-3080.8283686096183,-3222.3942124899418,-2267.6756000293976,-2087.3738110415547,-2516.3528645859274,-1773.2361175158023,-1900.908077371655,1.7870930162535634,0.0017169558182546863,540.3819377637577
2,GradientBoostingRegressor,1.9884554147720337,0.007046133279800415,-2595.4946477569024,,,,,,,1.0,16,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 16}",3,-1883.2377304986528,-3614.9889862080477,-3717.130804669467,-2725.4577583960204,-2261.2360048351243,-2643.2231295241427,-1910.00873327029,-2008.6740346534727,0.972858378480387,0.0015644298568978832,684.6434218079413
3,GradientBoostingRegressor,3.4068324267864227,0.006255030632019043,-2608.473197225314,,,,,,,1.0,32,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 32}",4,-1923.8493351907173,-3441.913396124401,-3719.727923044525,-2719.988959278154,-2326.3000807568906,-2696.5095159772463,-2004.944798332727,-2034.5515690978452,1.3345070821640599,0.0019751680847444404,631.6308111774136
0,SVR,0.683197021484375,0.12250488996505737,-3732.8681094932404,1,,,0.001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",3,-3347.3197973184215,-3184.9271429471714,-3695.4408738776233,-4125.37437527851,-4031.0802203174244,-4388.861839087771,-3602.590635071962,-3487.349992047041,0.5918636206150761,0.06456107218326905,387.4368292270828
1,SVR,0.7075939774513245,0.1223413348197937,-3733.1199193324505,1,,,0.0001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",4,-3347.588074782652,-3185.0504439849105,-3695.752521877874,-4125.490368403171,-4031.324805391794,-4389.153075775176,-3602.960487096563,-3487.639577347463,0.6020746815918954,0.06143335509074907,387.4392818863834
2,SVR,0.7513318657875061,0.11702573299407959,-3730.3632930774374,10,,,0.001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",1,-3344.63065224758,-3183.691800189692,-3692.323072721783,-4124.212976269952,-4028.6326037833383,-4386.027997800687,-3598.95155848647,-3484.435683119996,0.5884895027554065,0.05076107630051391,387.4297101910276
3,SVR,0.680005669593811,0.0992375910282135,-3732.864650980289,10,,,0.0001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",2,-3347.3134268898852,-3184.92394742487,-3695.4362036272264,-4125.3729075165575,-4031.077599372488,-4388.858882751767,-3602.5867622394276,-3487.3474780200863,0.4671626412016779,0.033410353858641814,387.4375411518262
0,MLPRegressor,10.85155314207077,0.006182253360748291,-31010.988355692603,,tanh,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",8,-32553.64293161476,-34860.68281827417,-31425.66147460081,-30584.65553187246,-31801.517257784424,-28739.219576018815,-29199.37209017246,-28923.155165202945,5.503723131214337,0.0007080456275020672,1967.883200491287
1,MLPRegressor,38.49678334593773,0.05423778295516968,-30981.64177261796,,tanh,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",3,-32535.31771788553,-34842.92618484362,-31397.282717110007,-30557.03666623637,-31773.76646519997,-28700.999478041613,-29160.923205359908,-28884.88174626666,19.502048991329627,0.017811315161935126,1975.3696698268607
2,MLPRegressor,12.7579365670681,0.006281346082687378,-31010.87449083525,,tanh,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",7,-32553.18226706907,-34860.46039252321,-31425.27237718938,-30584.981394178743,-31801.904022264218,-28739.012649956454,-29198.976394082874,-28923.20642941808,6.245725202351101,0.0005671951869624915,1967.8526374074158
3,MLPRegressor,43.7562116086483,0.04856947064399719,-30981.695403320857,,tanh,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",4,-32535.674246034818,-34842.87491583442,-31397.643793113908,-30556.908796637566,-31773.444586202462,-28700.85603828297,-29161.006036821113,-28885.154813639598,20.73361896405051,0.00915989110011784,1975.3639344058997
4,MLPRegressor,17.82976672053337,0.008732616901397705,-30996.43650118675,,relu,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",6,-32551.042379294824,-34851.11965781915,-31410.361001315236,-30574.50664845556,-31788.08480785422,-28714.84071794648,-29179.215997530395,-28902.320799278114,7.7684422168671725,0.0007812559279730266,1973.0920295992498
5,MLPRegressor,38.54070347547531,0.0370955765247345,-30455.525278237175,,relu,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",2,-32411.05864799753,-34664.86579986394,-30845.66539249849,-30141.454436402102,-31377.065737055626,-27836.42487745211,-28338.923894654155,-28028.743439973434,10.833841828620587,0.01693876501481928,2232.4790991139844
6,MLPRegressor,15.292941570281982,0.0083828866481781,-30995.179530097597,,relu,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",5,-32549.696564239635,-34855.378816853474,-31405.595862566362,-30572.23423795047,-31790.074823783114,-28718.01377872728,-29178.09039534473,-28892.35176131573,6.3624149789137485,0.0004210724210411129,1975.0324669783672
7,MLPRegressor,24.70420953631401,0.021570652723312378,-30447.60996201811,,relu,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",1,-32419.38469913107,-34670.5743382406,-30850.415704414798,-30163.736415099032,-31359.70628725419,-27798.117792004192,-28340.925574877427,-27978.018885123554,4.496283110583465,0.012343500863690914,2245.909839382555
0,KNeighborsRegressor,0.03220030665397644,0.1414959728717804,-2126.003835346839,,,,,,,,,5,,{'model__estimator__n_neighbors': 5},1,-1993.1909033516988,-3203.1229998852164,-2175.1593941307005,-1721.5178977272726,-1484.8117223370057,-3553.109046908478,-1343.2730955387196,-1533.8456228956227,0.010762281174572964,0.054165439225666835,770.9511562413278
1,KNeighborsRegressor,0.03341001272201538,0.15304678678512573,-2151.812290668283,,,,,,,,,20,,{'model__estimator__n_neighbors': 20},2,-1844.2268585475965,-2981.6058582988985,-2400.1366295531075,-2032.3213228401437,-1661.3634235345883,-3834.3432133838382,-1188.7867462503825,-1271.7142729377108,0.008736626467604073,0.06703228845867713,839.0880726114634
2,KNeighborsRegressor,0.034525781869888306,0.24889901280403137,-2464.3472177025933,,,,,,,,,50,,{'model__estimator__n_neighbors': 50},3,-2674.221357418885,-3066.4094651056016,-2538.2945212542086,-2559.675339282981,-1972.9991343357817,-3512.1346688475664,-1811.2588945324458,-1579.7843608432806,0.013200879516251164,0.17281934230182514,609.2350784116134
0,LinearRegression,1.1472212970256805,0.008331507444381714,-2986.168498259972,,,,,,,,,,,{},1,-4408.189427440511,-6103.897899568011,-3132.9850817017773,-2756.0436225337203,-1793.42516840121,-1708.8155656416793,-2210.489355547094,-1775.5018652457695,0.15492280268986214,0.0009426955782123534,1455.1010147294958
0,Lasso,0.7209415435791016,0.007624000310897827,-2875.848210510781,,,,,,,,,,,{},1,-3947.525523685779,-5848.182222883876,-3085.894645864244,-2669.8016923949567,-1784.5993931445537,-1693.305408909149,-2199.5020291190326,-1777.9747680846558,0.11567946200873064,0.0011194690875833766,1337.994680903436
0,Ridge,0.20102819800376892,0.015122056007385254,-2783.821809111054,,,,,,,,,,,{},1,-3630.790289443963,-5449.186524577056,-3061.5848063409226,-2659.853117831491,-1782.1660307062891,-1698.828879135727,-2202.1650162447036,-1785.9998086082785,0.026358746305831345,0.005486293449092849,1195.227097566573
0,ElasticNet,0.07998824119567871,0.011960238218307495,-3583.5043962728532,,,,,,,,,,,{},1,-3386.6023268204904,-4176.122427429259,-3677.95062340213,-4096.301910486082,-3408.3802525978967,-3463.0880739419094,-3292.504858525746,-3167.084696979313,0.017815929692848786,0.004638531357184817,347.3295606335014
0,llars,0.989573746919632,0.009440571069717407,-2705.253769542578,,,,,,,,,,,{},1,-3548.7076846117197,-5185.868981330544,-2880.059312994146,-2727.4452069000495,-1770.7525940580406,-1669.9130094653665,-2102.2251618573396,-1757.058205123419,0.057021529960290876,0.0015434475941847258,1123.8247772808552
0,ExtraTreesRegressor,16.98717960715294,0.062464118003845215,-2065.4436114034775,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-2408.2569673779767,-4085.913347785732,-1874.9354915353895,-2388.769519640789,-1884.0116249504297,-1376.2805692586965,-1417.1773540487218,-1088.2040166300867,8.097614413351241,0.0065830577846342185,882.0261879423128
1,ExtraTreesRegressor,28.950432300567627,0.08897054195404053,-2033.375725753701,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-2392.9236157761616,-4007.737662507579,-1840.0406125076352,-2369.8434389016516,-1871.9586453575691,-1327.0325323191862,-1390.5207626097383,-1066.9485360500876,12.012862303450888,0.017891064534742093,869.6399346798031
0,RandomForestRegressor,38.823985040187836,0.051319122314453125,-2102.245585668992,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-2336.8216708488317,-4163.7762601762215,-1793.8239859247933,-2402.124634345484,-2157.8797388369253,-1320.7037194200573,-1473.3572547878373,-1169.4774210117869,20.90643011453477,0.005865106387586442,892.2895983165623
1,RandomForestRegressor,68.28021848201752,0.08204251527786255,-2078.2135636520534,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-2326.4298675495934,-4156.493074358204,-1754.6464199545662,-2373.8273888122535,-2128.3631019482386,-1272.3945688552947,-1452.3096985123682,-1161.2443892259116,33.257051736002204,0.015856914217169605,898.4283243572553
0,AdaBoostRegressor,14.579737097024918,0.054667145013809204,-2640.439849159966,,,,,,,,16,,,{'model__estimator__n_estimators': 16},1,-2444.7821891961103,-4274.694235296432,-2016.338045865792,-2890.120537336394,-2371.7665906642837,-2829.8158406901616,-2400.0288523354325,-1895.9725018951228,7.330061822199122,0.010362011322331709,696.5082994811113
1,AdaBoostRegressor,24.197697073221207,0.08254280686378479,-2705.231570855531,,,,,,,,32,,,{'model__estimator__n_estimators': 32},2,-2436.984578543042,-4215.653767390892,-2158.457052261009,-2937.708543076134,-2487.1070897678223,-2875.684464371119,-2490.0374384500474,-2040.2196329841852,11.243245550280793,0.019904259992603056,639.4843086189941
0,GradientBoostingRegressor,9.55261081457138,0.011289238929748535,-2583.1299298479967,,,,,,,0.8,16,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 16}",1,-2509.7479870580423,-5136.260455806859,-2292.761325145407,-2906.82458940503,-2643.613885336827,-1955.5949271806312,-1721.53287747006,-1498.7033913811192,6.084764922420591,0.002133038074061265,1062.3524272678526
1,GradientBoostingRegressor,18.931515276432037,0.013929784297943115,-2666.9118582558963,,,,,,,0.8,32,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 32}",2,-2503.463914853125,-5266.6732266081335,-2418.338809256502,-3053.416454973309,-2672.999966455464,-2100.8212981911006,-1758.3072983315294,-1561.2738973780079,9.968873223774857,0.0036744966251055183,1081.962447399246
2,GradientBoostingRegressor,11.214160710573196,0.011330634355545044,-2919.418715857182,,,,,,,1.0,16,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 16}",3,-2733.233408403598,-5761.045655337705,-2545.465154863481,-3310.0923497123713,-3075.1129437711984,-2266.9711926073014,-1948.7649351078435,-1714.664087053955,6.2174779739433745,0.004003501362589097,1185.6172826195302
3,GradientBoostingRegressor,16.087830632925034,0.011685013771057129,-3089.8819507565045,,,,,,,1.0,32,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 32}",4,-2764.6992802408045,-6088.656731355368,-2939.3340511335823,-3503.23014354915,-3156.206946334212,-2425.3139795985157,-2070.3334301256964,-1771.2810437147036,5.5928351714980575,0.003912177549018904,1250.8073634569323
0,SVR,14.411089539527893,2.5054615437984467,-4779.739673042211,1,,,0.001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",3,-5166.51183558727,-4567.541662553359,-4687.915103396062,-5326.441162958223,-4720.926574777445,-4887.584012200451,-4568.359998708606,-4312.637034156274,13.228561150140015,1.6590040857381094,312.2280008330974
1,SVR,14.383759707212448,2.4921586513519287,-4780.137554638039,1,,,0.0001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",4,-5166.94319492444,-4567.6868383832425,-4688.273973170064,-5326.703292741627,-4721.260301683129,-4888.108663267981,-4568.957517735992,-4313.1666551978415,13.21228400654937,1.6501384312917338,312.19185887600105
2,SVR,14.92801919579506,2.1900381445884705,-4775.74229734261,10,,,0.001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",1,-5162.060601738652,-4566.0879458518475,-4684.339395285293,-5323.634074440869,-4717.967157105704,-4882.289079351148,-4562.681841982181,-4306.878282985189,13.886123184052337,1.2623131482527445,312.5810044033288
3,SVR,14.330761581659317,1.9286325573921204,-4779.73621002827,10,,,0.0001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",2,-5166.504377042239,-4567.540079352609,-4687.9115616630015,-5326.438630093824,-4720.924490828184,-4887.580522985479,-4568.355967363174,-4312.634050897646,11.33717782981787,0.8526637670333064,312.2273537120294
0,MLPRegressor,43.141316920518875,0.01748710870742798,-34510.86608867903,,tanh,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",8,-38179.919221436096,-37554.51218969904,-35692.6858927712,-33806.17533936246,-33823.407828643634,-32285.94918221924,-32366.856117287243,-32377.42293801339,22.66355216222782,0.0018269485689942305,2213.3185524020428
1,MLPRegressor,134.09422487020493,0.06575125455856323,-34435.79064533874,,tanh,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",6,-38152.30710199653,-37516.653698302136,-35635.11659243085,-33737.98681901586,-33745.73644874487,-32188.704472022782,-32259.21166360678,-32250.60836659014,67.77675876568703,0.016610235575634222,2243.5355287676293
2,MLPRegressor,47.48439463973045,0.01987817883491516,-34510.682448638996,,tanh,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",7,-38179.99029350044,-37554.394086879016,-35692.28950032486,-33805.58714879905,-33823.392235702806,-32285.746313356514,-32366.412139140604,-32377.64787140865,24.635850610932906,0.004721328185040749,2213.362699443706
3,MLPRegressor,141.78044545650482,0.05768275260925293,-34435.67315018386,,tanh,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",5,-38152.04842083998,-37516.61805482039,-35635.0787360571,-33738.15138639285,-33745.56261973884,-32188.516606348367,-32259.214749911098,-32250.194627362274,71.31635281494904,0.007550930249248667,2243.547125833951
4,MLPRegressor,48.7810934484005,0.022691458463668823,-34395.43852645149,,relu,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",3,-38161.705565806704,-37513.48898655763,-35621.21255558123,-33749.606173119115,-33681.52002246086,-32148.292448169974,-32205.180003105488,-32082.502456810937,23.95919737295038,0.004098182004029777,2278.5104309452845
5,MLPRegressor,131.3911390900612,0.04406726360321045,-29426.60171832412,,relu,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",1,-37559.92934611468,-36141.821011171254,-32193.946095348485,-29861.057967253524,-29350.01731933215,-25257.902662041957,-24142.62292268677,-20905.51642264413,58.73170130879163,0.018729733582392317,5442.947031552684
6,MLPRegressor,55.92886024713516,0.021505415439605713,-34405.28156341568,,relu,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",4,-38157.7541793682,-37524.38865592692,-35638.31125086074,-33737.42293450005,-33701.911733771994,-32180.464082010705,-32149.20873785844,-32152.790933028362,29.462082360230777,0.0024960042234648577,2274.433932965082
7,MLPRegressor,98.7606500685215,0.052114248275756836,-29501.18967781227,,relu,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",2,-37540.28786298347,-36059.04489081592,-32283.556044466055,-29982.477425821835,-29189.909494045452,-25409.807376072145,-23986.302928971254,-21558.131399321977,23.62142543956406,0.06806900189173193,5314.463993198725
0,KNeighborsRegressor,0.14829584956169128,3.5913043916225433,-2710.885763632489,,,,,,,,,5,,{'model__estimator__n_neighbors': 5},2,-2686.7951372935117,-4699.715172027131,-3466.809969961347,-3912.0661360901445,-2261.425248194946,-1852.7189482824626,-1594.7911139827875,-1212.7643832275828,0.08208125544221676,1.6256530487543916,1140.1084620647168
1,KNeighborsRegressor,0.16362261772155762,4.178316831588745,-2691.4928761398387,,,,,,,,,20,,{'model__estimator__n_neighbors': 20},1,-2831.9086412409283,-4339.129269283539,-2935.529274810379,-3753.9859308905848,-2488.6835989064834,-2035.9958188040146,-1752.6884776806867,-1394.0219975020966,0.09017128509751807,2.214299399445969,932.6347021313629
2,KNeighborsRegressor,0.1745295524597168,4.54937082529068,-2877.722913601265,,,,,,,,,50,,{'model__estimator__n_neighbors': 50},3,-3089.561361607956,-4161.099030056887,-3029.737485482077,-3799.767452708493,-2731.786697024396,-2592.278297733654,-1955.951476178754,-1661.6015080179047,0.08962502337241442,2.617242271459187,790.3001178750667
0,LinearRegression,0.9944034516811371,0.007269620895385742,-1313.500158973488,,,,,,,,,,,{},1,-1389.6852794523736,-1671.8443534291,-1193.6367945925365,-954.1507118739067,-1605.5030467382983,-1325.7777085725616,-1235.2431170713032,-1132.160260057825,0.17212508701072593,0.0006381671660764841,224.20379506352268
0,Lasso,0.8753248155117035,0.008878201246261597,-1236.594207903798,,,,,,,,,,,{},1,-1126.9483855960877,-1492.2873245150677,-1118.9889265504062,-912.734329290382,-1597.862473321816,-1296.3370121032237,-1225.0087885285086,-1122.5864233248922,0.24991667475987403,0.004547570441582819,207.16338918474207
0,Ridge,0.09653997421264648,0.008462458848953247,-1212.1099338098306,,,,,,,,,,,{},1,-1075.6394668592452,-1372.5356944545429,-1104.0693388077573,-908.0270687447032,-1599.9438206363118,-1293.3465112667805,-1222.2973287854395,-1121.0202409238643,0.025514967252970668,0.0014171332019958414,198.08943449773747
0,ElasticNet,0.08314979076385498,0.007623642683029175,-1824.6005005107424,,,,,,,,,,,{},1,-1722.0414549072482,-1502.4794450312522,-1811.0488841115894,-1435.825343868761,-2086.195322111835,-2224.832742419038,-1967.0576501881353,-1847.3231614480817,0.023385898599622652,0.0013614143585134594,253.73168848043886
0,llars,0.5562800467014313,0.008722633123397827,-1197.5841409368486,,,,,,,,,,,{},1,-1140.0260561725877,-1224.4715233559493,-1080.1314474343292,-851.1886590082827,-1603.1923880014626,-1358.794738153976,-1231.380639166562,-1091.4876762016395,0.07358177158137107,0.0008758639846292338,206.37538595676608
0,ExtraTreesRegressor,15.83969721198082,0.06404238939285278,-1187.5936225077758,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-1085.9552948454455,-1020.3143001131974,-1109.9707352708872,-865.8565079159889,-1577.045690479584,-1599.4101844259396,-1151.6853379705171,-1090.5109290406463,7.6968561464419185,0.020498628998716673,244.90637319863686
1,ExtraTreesRegressor,27.334996968507767,0.09667763113975525,-1169.4141447073555,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-1072.8471909226967,-1000.7356264117933,-1098.031791664547,-861.1217175798769,-1559.112830031664,-1558.067152997938,-1132.9015996696055,-1072.495248380724,11.6270930114345,0.032881409366844985,237.58155038187274
0,RandomForestRegressor,40.4085156917572,0.06956025958061218,-1181.6187478608997,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-1054.1907263085986,-935.2399679885607,-1118.0172986426505,-916.247494452282,-1584.859171713976,-1555.135055119107,-1177.9597522395718,-1111.3005164224517,21.9039456466076,0.026709669366366217,239.39579242988026
1,RandomForestRegressor,68.01356425881386,0.08736684918403625,-1168.123452205554,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-1037.5816985929575,-943.1163802899142,-1105.4046557444326,-897.5243434492978,-1572.5099995527326,-1536.5006460964742,-1149.0564963981742,-1103.2933975204485,32.80194565409772,0.021526988616363516,236.80782778079475
0,AdaBoostRegressor,14.114022105932236,0.05679789185523987,-1405.8347970876007,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-1085.8970740904922,-1044.704013870401,-1273.079083531189,-1067.129898188118,-1699.6009358540978,-1840.1397675722703,-1494.0829301212361,-1742.0446734730003,6.995548090695095,0.01206938280885378,308.3960203294819
1,AdaBoostRegressor,22.933209389448166,0.08203586935997009,-1377.8495846711055,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-1064.0750203916932,-1014.1791573098317,-1222.016730804589,-1026.7484450820264,-1694.8130102916364,-1806.875397473829,-1482.1894095286846,-1711.8995064865537,9.790057048565568,0.02345863544594419,313.3032987456317
