,estimator,mean_fit_time,mean_score_time,mean_test_score,param_model__estimator__C,param_model__estimator__activation,param_model__estimator__alpha,param_model__estimator__gamma,param_model__estimator__hidden_layer_sizes,param_model__estimator__kernel,param_model__estimator__learning_rate,param_model__estimator__n_estimators,param_model__estimator__n_neighbors,param_model__estimator__solver,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,std_fit_time,std_score_time,std_test_score
0,LinearRegression,0.48589515686035156,0.0034043192863464355,-3587.5980011607517,,,,,,,,,,,{},1,-5951.833177522742,-7227.388443763809,-6209.312118787156,-2558.369078562316,-2071.968735203598,-1538.0229303122371,-1564.3944169888994,-1579.4951081452546,0.16528572746768458,0.00022639123870155908,2274.700517092834
0,Lasso,0.21007615327835083,0.0031718015670776367,-3191.4797067119694,,,,,,,,,,,{},1,-6565.345497432598,-4873.076187904435,-5414.5594671487015,-2032.442827526568,-2032.1985126328382,-1508.963037355982,-1554.7298029119318,-1550.5223207826966,0.06051459965927886,0.0005801192787780291,1937.8684755279655
0,Ridge,0.05205267667770386,0.0038371682167053223,-2336.5058734054255,,,,,,,,,,,{},1,-3897.129861888295,-3037.872228140783,-3447.723583902173,-1727.8817409939231,-1992.1190481474903,-1466.9197718559292,-1598.483568596117,-1523.917183718697,0.008396637981767418,0.0004058013745780559,909.1513698279539
0,ElasticNet,0.0315069854259491,0.0034464895725250244,-2428.5536659971667,,,,,,,,,,,{},1,-2330.0945367874406,-2532.2233245541356,-2761.4235379511265,-2668.728389444577,-2442.3039920691285,-2852.7643533314927,-1857.0934310553446,-1983.7977627840908,0.0047690426718385885,0.0005229543997991567,334.1867441914269
0,llars,0.5299937427043915,0.0034130215644836426,-1494500.7599722734,,,,,,,,,,,{},1,-11939840.163148364,-3905.4793117354952,-4048.7852170376173,-1711.5897121775731,-1974.7946598836795,-1488.2753243236148,-1519.797414317264,-1517.1949903496807,0.08994311776711583,0.0005184922468121802,3947967.329058098
0,ExtraTreesRegressor,4.67534464597702,0.05424085259437561,-1762.5176453066406,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-1570.457369325355,-2552.12263765735,-2418.1979468573027,-1428.558695381848,-1384.256398621633,-2140.978203256523,-1176.9055890940651,-1428.6643222590476,1.75141856580091,0.018165470351257044,492.76286360561943
1,ExtraTreesRegressor,7.471968233585358,0.06356117129325867,-1746.1033733964587,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-1602.8100319901184,-2555.6200118191855,-2437.1246643159816,-1341.398551536913,-1359.5063808360599,-2148.63709807593,-1119.4960675947445,-1404.2341810027362,2.289588911883079,0.028998776729313207,516.9802319078759
0,RandomForestRegressor,8.234485805034637,0.04271838068962097,-1854.3958945739944,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-1304.5601974407898,-2588.433535162228,-2781.8692407622607,-1693.069824368208,-1566.1972958156375,-2260.7818714488626,-1135.8541860962844,-1504.4010054976845,3.5469939416274383,0.01272346952622355,571.6609642292827
1,RandomForestRegressor,13.068266928195953,0.05447649955749512,-1826.4436739293085,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-1251.1565088622974,-2536.196068760522,-2712.612847222222,-1686.414508932842,-1558.687740927265,-2274.77562901147,-1127.890156447285,-1463.8159312705657,4.745726959707249,0.017910329383217443,562.558711729452
0,AdaBoostRegressor,3.404657155275345,0.03917306661605835,-1968.689365008995,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-1244.7046654747144,-2734.30649798726,-2724.872595354657,-1978.6616417055775,-1691.7614006738997,-2545.0320171049425,-1256.837255923004,-1573.338845847904,1.4414679695998602,0.005183476930847724,586.742210418575
1,AdaBoostRegressor,6.100602895021439,0.05903536081314087,-1916.5796107327876,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-1192.5577742239118,-2703.0101860978707,-2771.490417642866,-1888.4046744420327,-1595.166940337832,-2511.4281530048697,-1200.0344270704886,-1470.5443130424273,2.4134233486584464,0.01050682842738088,616.8349013681025
0,GradientBoostingRegressor,1.8546718060970306,0.009602665901184082,-2270.141834225481,,,,,,,0.8,16,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 16}",1,-1658.872047932442,-2980.720377099318,-3200.0495358741023,-2236.9551539995796,-2053.004896937276,-2485.210831582697,-1662.4944248901763,-1883.8274054882534,0.9341510215423351,0.004062085707819364,542.7107472723037
