Onshore,UK,2016,USD/kWh,,,0.23,0.24,0.23,0.21,0.20,0.20,0.19,0.19,0.18,0.16,0.15,0.13,0.11,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.09,0.08,0.08,0.08,0.08,0.08,0.08,,,,,,,IRENA - Renewable power generation costs in 2017,,,,,,
Onshore,UK,2016,USD/MWh,,,234.265791,238.452286,225.247339,209.610418,202.227328,201.994283,188.37211,191.800909,177.292193,161.375506,152.24639,132.804218,114.072269,117.517566,121.074925,134.083202,120.392212,120.466508,114.158809,118.093503,112.663503,87.534354,84.902193,81.457285,82.946837,81.527251,77.672426,78.878602,,,,,,,IRENA - Renewable power generation costs in 2017,,,,,,
PV - Utility,UK,2016,USD/kWh,,,,,,,,,,,,,,,,,,,,,,,,0.453,0.440,0.503,0.232,0.200,0.164,0.163,0.150,,,,,,IRENA - Renewable power generation costs in 2017,,,,,,
PV - Utility,UK,2016,USD/MWh,,,,,,,,,,,,,,,,,,,,,,,,453.3,440,503.2,232.3,199.9,164,162.8,149.9,,,,,,IRENA - Renewable power generation costs in 2017,,,,,,
Hydropower <10MW,Europe,2016,USD/kWh,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,,,,,,IRENA - Renewable power generation costs in 2017,,,,,,
Hydropower <10MW,Europe,2016,USD/MWh,,,,,,,,,,,,,,,,,,,,,,,,106.751841,106.751841,106.751841,106.751841,106.751841,106.751841,106.751841,106.751841,,,,,,IRENA - Renewable power generation costs in 2017,,,,,,
Hydropower >10MW,Europe,2016,USD/kWh,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,,,IRENA - Renewable power generation costs in 2017,,,,,,
Hydropower >10MW,Europe,2016,USD/MWh,,,,,,,,,,,,,,,,,,,,,,,,139.04,139.04,139.04,139.04,139.04,139.04,139.04,139.04,,,,,,IRENA - Renewable power generation costs in 2017,,,,,,
Bioenergy,Europe,2016,USD/kWh,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,,,,,,IRENA - Renewable power generation costs in 2017,,,,,,
Bioenergy,Europe,2016,USD/MWh,,,,,,,,,,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,,,,,,,IRENA - Renewable power generation costs in 2017,,,,,,
Offshore,UK,Current,GBP/MWh,,,,,,,,,,,,,,,,,59.94,61.85,62.05,64.76,67,,71.8,73.74,,78.03,81.53,83.91,86.95,,80.89,,81.8,81.69,74.83,57.62,Offshore wind market development and cost reduction background,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
