year,price
2009,13.685217391304345
2010,14.353867924528304
2011,13.214302788844618
2012,7.497410358565736
2013,4.602989130434782
2014,5.996598984771577
2015,7.936227544910171
2016,5.611363636363635
2017,5.75960199004975
2018,15.26517948717949
