,id,average_electricity_price,carbon_emitted,run_number,variable,value,carbon,number
0,1.0,3.5283991495283424,0.0,1,carbon_2,55.46070861816406,carbon,2
1,2.0,3.9097520004331594,0.0,1,carbon_2,81.83666229248047,carbon,2
2,3.0,4.04118323021509,0.0,1,carbon_2,63.48750686645508,carbon,2
3,4.0,4.105934636282814,0.0,1,carbon_2,87.18536376953125,carbon,2
4,5.0,4.125592608208864,0.0,1,carbon_2,133.79664611816406,carbon,2
5,6.0,4.18847726526909,0.0,1,carbon_2,245.59771728515625,carbon,2
6,7.0,4.204944137527272,0.0,1,carbon_2,180.14503479003906,carbon,2
7,8.0,4.245746653925586,0.0,1,carbon_2,136.2330322265625,carbon,2
8,10.0,4.497471382427332,0.0,1,carbon_2,129.69969177246094,carbon,2
9,11.0,4.616537954663102,0.0,1,carbon_2,180.17698669433594,carbon,2
10,12.0,4.624611068090406,0.0,1,carbon_2,18.471614837646484,carbon,2
11,13.0,4.689027901882318,0.0,1,carbon_2,74.80696105957031,carbon,2
12,14.0,4.850121401041176,0.0,1,carbon_2,77.8450698852539,carbon,2
13,15.0,4.881374837409325,0.0,1,carbon_2,210.87098693847656,carbon,2
14,16.0,4.956789455956933,0.0,1,carbon_2,66.78706359863281,carbon,2
15,17.0,5.009527654300877,0.0,1,carbon_2,5.261368274688721,carbon,2
16,18.0,5.032646207814525,0.0,1,carbon_2,144.72610473632812,carbon,2
17,19.0,5.087523423728591,0.0,1,carbon_2,220.84091186523438,carbon,2
18,20.0,5.101401696639539,0.0,1,carbon_2,217.1866455078125,carbon,2
19,21.0,5.122829778736507,0.0,1,carbon_2,12.675558090209961,carbon,2
20,22.0,5.1427917103592815,0.0,1,carbon_2,78.27860260009766,carbon,2
21,23.0,5.17645187585493,0.0,1,carbon_2,80.25383758544922,carbon,2
22,24.0,5.303285033412656,0.0,1,carbon_2,143.2560577392578,carbon,2
23,25.0,5.338287059910506,0.0,1,carbon_2,222.75401306152344,carbon,2
24,26.0,5.4753559757820245,0.0,1,carbon_2,61.2900276184082,carbon,2
25,27.0,5.522708821573733,0.0,1,carbon_2,161.23178100585938,carbon,2
26,28.0,5.648913933876733,0.0,1,carbon_2,76.8208236694336,carbon,2
27,29.0,5.6511149749672045,0.0,1,carbon_2,86.72028350830078,carbon,2
28,30.0,5.652163531084451,0.0,1,carbon_2,240.31903076171875,carbon,2
29,31.0,5.673330705318446,0.0,1,carbon_2,220.85462951660156,carbon,2
30,32.0,5.677321641404589,0.0,1,carbon_2,216.7122344970703,carbon,2
31,33.0,5.70414375526839,0.0,1,carbon_2,99.66581726074219,carbon,2
32,34.0,5.707797862703268,0.0,1,carbon_2,139.7197265625,carbon,2
33,35.0,5.713859829644215,0.0,1,carbon_2,180.17698669433594,carbon,2
34,36.0,5.7395027507756495,0.0,1,carbon_2,167.46905517578125,carbon,2
35,37.0,5.771468120434777,0.0,1,carbon_2,192.49546813964844,carbon,2
36,38.0,5.788929072814597,0.0,1,carbon_2,119.69580841064453,carbon,2
37,39.0,5.797196659644282,0.0,1,carbon_2,167.05133056640625,carbon,2
38,40.0,5.929715018256361,0.0,1,carbon_2,49.17768859863281,carbon,2
39,41.0,5.9741578335264975,0.0,1,carbon_2,110.52924346923828,carbon,2
40,42.0,5.990078965399995,0.0,1,carbon_2,210.4055938720703,carbon,2
41,43.0,6.0369162257488975,0.0,1,carbon_2,115.39604187011719,carbon,2
42,44.0,6.074587437625137,0.0,1,carbon_2,49.17768859863281,carbon,2
43,45.0,6.081846266088874,0.0,1,carbon_2,100.50901794433594,carbon,2
44,46.0,6.082094615783223,0.0,1,carbon_2,138.66355895996094,carbon,2
45,47.0,6.095158018650777,0.0,1,carbon_2,197.2179718017578,carbon,2
46,48.0,6.1115691482010055,0.0,1,carbon_2,138.0713653564453,carbon,2
47,49.0,6.171142547400888,0.0,1,carbon_2,79.09996032714844,carbon,2
48,50.0,6.2290483768655704,0.0,1,carbon_2,166.65480041503906,carbon,2
49,51.0,6.292060463595649,0.0,1,carbon_2,213.92359924316406,carbon,2
50,52.0,6.4031243824284045,0.0,1,carbon_2,163.3050079345703,carbon,2
51,53.0,6.422255212605204,0.0,1,carbon_2,10.036604881286621,carbon,2
52,54.0,6.422282204704769,0.0,1,carbon_2,173.80490112304688,carbon,2
53,55.0,6.60062173771632,0.0,1,carbon_2,129.7606201171875,carbon,2
54,56.0,6.685414625227377,0.0,1,carbon_2,220.84091186523438,carbon,2
55,57.0,6.706379803424348,0.0,1,carbon_2,234.7257537841797,carbon,2
56,58.0,6.7768389380858975,0.0,1,carbon_2,135.53945922851562,carbon,2
57,59.0,6.8149558392147895,0.0,1,carbon_2,120.54366302490234,carbon,2
58,60.0,6.828565862585827,0.0,1,carbon_2,221.951904296875,carbon,2
59,61.0,6.884289740126138,0.0,1,carbon_2,165.66632080078125,carbon,2
60,62.0,6.901496450333228,0.0,1,carbon_2,64.21195983886719,carbon,2
61,63.0,6.907353103567715,0.0,1,carbon_2,240.31903076171875,carbon,2
62,64.0,6.966628311447722,0.0,1,carbon_2,242.14630126953125,carbon,2
63,65.0,6.998803086108763,0.0,1,carbon_2,144.974365234375,carbon,2
64,66.0,7.116644152518305,0.0,1,carbon_2,80.25383758544922,carbon,2
65,67.0,7.156150817007017,0.0,1,carbon_2,78.82807922363281,carbon,2
66,68.0,7.278437702905157,0.0,1,carbon_2,32.08256149291992,carbon,2
67,69.0,7.280806388876821,0.0,1,carbon_2,180.14503479003906,carbon,2
