,id,average_electricity_price,carbon_emitted,attr_function,attr_m,attr_c,attr_a,attr_d,run_number
0,1,3.024631261825562,0.0,0.0,10.966667175292967,130.88900756835938,0.0,0.0,1
1,2,3.847392320632935,0.0,0.0,-0.22897008061409,192.5700836181641,0.0,0.0,1
2,3,4.015120506286621,0.0,0.0,2.070987462997437,214.27970886230472,0.0,0.0,1
3,4,4.275611877441406,0.0,0.0,3.57975172996521,202.5381317138672,0.0,0.0,1
4,5,4.333421230316162,0.0,0.0,3.4916293621063232,195.51731872558597,0.0,0.0,1
5,6,4.370812892913818,0.0,0.0,4.031414031982422,243.16876220703125,0.0,0.0,1
6,7,4.411168098449707,0.0,0.0,12.25072956085205,81.3443603515625,0.0,0.0,1
7,8,4.425234794616699,0.0,0.0,11.384098052978516,202.5381317138672,0.0,0.0,1
8,9,4.478639602661133,0.0,0.0,8.790339469909668,216.4342803955078,0.0,0.0,1
9,10,4.490257740020752,0.0,0.0,0.169221475720406,193.72137451171875,0.0,0.0,1
10,11,4.503319263458252,0.0,0.0,13.424309730529785,150.07180786132812,0.0,0.0,1
11,12,4.546355724334717,0.0,0.0,13.578750610351562,55.67887878417969,0.0,0.0,1
12,13,4.567764759063722,0.0,0.0,4.748079776763916,80.20795440673827,0.0,0.0,1
13,14,4.57200288772583,0.0,0.0,9.922846794128418,198.54974365234372,0.0,0.0,1
14,15,4.715917110443115,0.0,0.0,3.4916293621063232,195.51731872558597,0.0,0.0,1
15,16,4.73391580581665,0.0,0.0,10.691597938537598,185.51893615722656,0.0,0.0,1
16,17,4.740435600280762,0.0,0.0,4.882492542266847,134.50672912597656,0.0,0.0,1
17,18,4.875494480133057,0.0,0.0,8.178583145141603,77.1894302368164,0.0,0.0,1
18,19,4.9318132400512695,0.0,0.0,-3.219332456588745,41.26748275756836,0.0,0.0,1
19,20,5.003285884857178,0.0,0.0,11.839139938354492,158.363037109375,0.0,0.0,1
20,21,5.036639213562012,0.0,0.0,7.987961292266847,206.0810394287109,0.0,0.0,1
21,22,5.073112964630127,0.0,0.0,11.384098052978516,181.3082733154297,0.0,0.0,1
22,23,5.0879554748535165,0.0,0.0,-5.017305374145508,206.8431701660156,0.0,0.0,1
23,24,5.1184258460998535,0.0,0.0,-11.838977813720705,222.7050323486328,0.0,0.0,1
24,25,5.133049011230469,0.0,0.0,-0.9067090749740601,221.8909454345703,0.0,0.0,1
25,26,5.134220600128174,0.0,0.0,11.317288398742676,176.09580993652347,0.0,0.0,1
26,27,5.185922145843506,0.0,0.0,11.317288398742676,216.4342803955078,0.0,0.0,1
27,28,5.22312593460083,0.0,0.0,10.691597938537598,0.0,0.0,0.0,1
28,29,5.239612102508545,0.0,0.0,4.4290032386779785,241.36529541015625,0.0,0.0,1
29,30,5.290557861328125,0.0,0.0,4.4290032386779785,136.91311645507812,0.0,0.0,1
30,31,5.29622745513916,0.0,0.0,-10.297779083251953,228.4533233642578,0.0,0.0,1
31,32,5.320180416107178,0.0,0.0,8.129861831665039,139.25126647949222,0.0,0.0,1
32,33,5.487404346466064,0.0,0.0,8.619181632995605,209.11312866210938,0.0,0.0,1
33,34,5.488001346588135,0.0,0.0,-12.025625228881836,244.2537384033203,0.0,0.0,1
34,35,5.49603271484375,0.0,0.0,-6.740314483642577,166.5728302001953,0.0,0.0,1
35,36,5.5235724449157715,0.0,0.0,2.070987462997437,136.91311645507812,0.0,0.0,1
36,37,5.57993221282959,0.0,0.0,7.581018924713135,162.50042724609375,0.0,0.0,1
37,38,5.609172821044922,0.0,0.0,-11.71153163909912,145.145751953125,0.0,0.0,1
38,39,5.62709379196167,0.0,0.0,13.222052574157715,76.82254791259766,0.0,0.0,1
39,40,5.630415916442871,0.0,0.0,-1.20019257068634,229.60363769531247,0.0,0.0,1
40,41,5.799546241760254,0.0,0.0,2.540735006332397,139.88139343261722,0.0,0.0,1
