,Technology,Year,lcoe
250,Bioenergy,2014,87.5333112879068
251,Offshore,2014,109.385076
252,CCGT,2015,103.69024
253,Coal,2015,
254,Nuclear,2015,82.82112
255,Onshore,2015,75.54360715049893
256,PV - Utility,2015,159.505145013519
257,Hydropower <10MW,2015,103.82602365344587
258,Hydropower >10MW,2015,135.2292400163395
259,Bioenergy,2015,87.5333112879068
260,Offshore,2015,110.69142578125
261,CCGT,2016,
262,Coal,2016,
263,Nuclear,2016,
264,Onshore,2016,76.71672469801007
265,PV - Utility,2016,158.33803419634694
266,Hydropower <10MW,2016,103.82602365344587
267,Hydropower >10MW,2016,135.2292400163395
268,Bioenergy,2016,87.5333112879068
269,Offshore,2016,
270,CCGT,2017,
271,Coal,2017,
272,Nuclear,2017,
273,Onshore,2017,
274,PV - Utility,2017,145.791592911747
275,Hydropower <10MW,2017,103.82602365344587
276,Hydropower >10MW,2017,135.2292400163395
277,Bioenergy,2017,
278,Offshore,2017,100.15441043275496
