,Technology,Year,lcoe
0,CCGT,1981,
1,Coal,1981,177.19296
2,Nuclear,1981,123.83232
3,Onshore,1981,
4,PV - Utility,1981,
5,Hydropower <10MW,1981,
6,Hydropower >10MW,1981,
7,Bioenergy,1981,
8,Offshore,1981,
9,CCGT,1984,
10,Coal,1984,102.93248
11,Nuclear,1984,66.99008
12,Onshore,1984,
13,PV - Utility,1984,
14,Hydropower <10MW,1984,
15,Hydropower >10MW,1984,
16,Bioenergy,1984,
17,Offshore,1984,
18,CCGT,1989,
19,Coal,1989,80.01536
20,Nuclear,1989,75.24351999999999
21,Onshore,1989,227.84511564123014
22,PV - Utility,1989,
23,Hydropower <10MW,1989,
24,Hydropower >10MW,1989,
25,Bioenergy,1989,
26,Offshore,1989,
27,CCGT,1990,
28,Coal,1990,
29,Nuclear,1990,
30,Onshore,1990,231.91686864167752
31,PV - Utility,1990,
32,Hydropower <10MW,1990,
33,Hydropower >10MW,1990,
34,Bioenergy,1990,
35,Offshore,1990,
36,CCGT,1991,
37,Coal,1991,
38,Nuclear,1991,
39,Onshore,1991,219.07383823844074
40,PV - Utility,1991,
41,Hydropower <10MW,1991,
42,Hydropower >10MW,1991,
43,Bioenergy,1991,
44,Offshore,1991,
45,CCGT,1992,82.55488000000003
46,Coal,1992,89.86624
47,Nuclear,1992,91.32032
48,Onshore,1992,203.8654885331362
49,PV - Utility,1992,
50,Hydropower <10MW,1992,
51,Hydropower >10MW,1992,
52,Bioenergy,1992,
53,Offshore,1992,
54,CCGT,1993,
55,Coal,1993,
56,Nuclear,1993,
57,Onshore,1993,196.68475169717362
58,PV - Utility,1993,
59,Hydropower <10MW,1993,
60,Hydropower >10MW,1993,
61,Bioenergy,1993,
62,Offshore,1993,
63,CCGT,1994,
64,Coal,1994,
65,Nuclear,1994,
66,Onshore,1994,196.4580939135171
67,PV - Utility,1994,
68,Hydropower <10MW,1994,
69,Hydropower >10MW,1994,
70,Bioenergy,1994,
71,Offshore,1994,
72,CCGT,1995,
73,Coal,1995,
74,Nuclear,1995,
75,Onshore,1995,183.20927269544242
76,PV - Utility,1995,
77,Hydropower <10MW,1995,
78,Hydropower >10MW,1995,
79,Bioenergy,1995,
80,Offshore,1995,
81,CCGT,1996,
82,Coal,1996,
83,Nuclear,1996,
84,Onshore,1996,186.54409636444984
85,PV - Utility,1996,
86,Hydropower <10MW,1996,
87,Hydropower >10MW,1996,
88,Bioenergy,1996,
89,Offshore,1996,
90,CCGT,1997,
91,Coal,1997,
92,Nuclear,1997,
93,Onshore,1997,172.4330302087183
94,PV - Utility,1997,
95,Hydropower <10MW,1997,
96,Hydropower >10MW,1997,
97,Bioenergy,1997,
98,Offshore,1997,
99,CCGT,1998,
100,Coal,1998,
101,Nuclear,1998,
102,Onshore,1998,156.952582232683
103,PV - Utility,1998,
104,Hydropower <10MW,1998,
105,Hydropower >10MW,1998,
106,Bioenergy,1998,
107,Offshore,1998,
108,CCGT,1999,
109,Coal,1999,
110,Nuclear,1999,
111,Onshore,1999,148.07367387033398
112,PV - Utility,1999,
113,Hydropower <10MW,1999,
114,Hydropower >10MW,1999,
115,Bioenergy,1999,
116,Offshore,1999,
117,CCGT,2000,
118,Coal,2000,
119,Nuclear,2000,
120,Onshore,2000,129.16436616156705
121,PV - Utility,2000,
122,Hydropower <10MW,2000,
123,Hydropower >10MW,2000,
124,Bioenergy,2000,87.5333112879068
125,Offshore,2000,
126,CCGT,2001,
127,Coal,2001,
128,Nuclear,2001,
129,Onshore,2001,110.94581590772043
130,PV - Utility,2001,
131,Hydropower <10MW,2001,
132,Hydropower >10MW,2001,
133,Bioenergy,2001,87.5333112879068
134,Offshore,2001,
135,CCGT,2002,
136,Coal,2002,
137,Nuclear,2002,
138,Onshore,2002,114.29668540527922
139,PV - Utility,2002,
140,Hydropower <10MW,2002,
141,Hydropower >10MW,2002,
142,Bioenergy,2002,87.5333112879068
143,Offshore,2002,
144,CCGT,2003,
145,Coal,2003,
146,Nuclear,2003,
147,Onshore,2003,117.75654554649964
148,PV - Utility,2003,
149,Hydropower <10MW,2003,
150,Hydropower >10MW,2003,
151,Bioenergy,2003,87.5333112879068
152,Offshore,2003,110.37638306308891
153,CCGT,2004,
154,Coal,2004,
155,Nuclear,2004,
156,Onshore,2004,130.40829621272542
157,PV - Utility,2004,
158,Hydropower <10MW,2004,
159,Hydropower >10MW,2004,
160,Bioenergy,2004,87.5333112879068
161,Offshore,2004,110.57626060448874
162,CCGT,2005,
163,Coal,2005,
164,Nuclear,2005,
165,Onshore,2005,117.09254410706299
166,PV - Utility,2005,
167,Hydropower <10MW,2005,
168,Hydropower >10MW,2005,
169,Bioenergy,2005,87.5333112879068
170,Offshore,2005,107.91227946532699
171,CCGT,2006,
172,Coal,2006,
173,Nuclear,2006,
174,Onshore,2006,117.1648038281235
175,PV - Utility,2006,
176,Hydropower <10MW,2006,
177,Hydropower >10MW,2006,
178,Bioenergy,2006,87.5333112879068
179,Offshore,2006,109.13303253463032
180,CCGT,2007,
181,Coal,2007,
182,Nuclear,2007,
183,Onshore,2007,111.02998404948549
184,PV - Utility,2007,
185,Hydropower <10MW,2007,
186,Hydropower >10MW,2007,
187,Bioenergy,2007,87.5333112879068
188,Offshore,2007,108.25298424421041
189,CCGT,2008,
190,Coal,2008,
191,Nuclear,2008,
192,Onshore,2008,114.85683732420392
193,PV - Utility,2008,
194,Hydropower <10MW,2008,
195,Hydropower >10MW,2008,
196,Bioenergy,2008,87.5333112879068
197,Offshore,2008,
198,CCGT,2009,
199,Coal,2009,
200,Nuclear,2009,
201,Onshore,2009,109.57566087650022
202,PV - Utility,2009,
203,Hydropower <10MW,2009,
204,Hydropower >10MW,2009,
205,Bioenergy,2009,87.5333112879068
206,Offshore,2009,112.10709501488941
207,CCGT,2010,
208,Coal,2010,
209,Nuclear,2010,
210,Onshore,2010,85.13524285630922
211,PV - Utility,2010,440.8761111867572
212,Hydropower <10MW,2010,103.82602365344587
213,Hydropower >10MW,2010,135.2292400163395
214,Bioenergy,2010,87.5333112879068
215,Offshore,2010,110.07282266969996
216,CCGT,2011,
217,Coal,2011,
218,Nuclear,2011,
219,Onshore,2011,82.5752232099438
220,PV - Utility,2011,427.9406329631
221,Hydropower <10MW,2011,103.82602365344587
222,Hydropower >10MW,2011,135.2292400163395
223,Bioenergy,2011,87.5333112879068
224,Offshore,2011,
225,CCGT,2012,
226,Coal,2012,
227,Nuclear,2012,
228,Onshore,2012,79.22473205080824
229,PV - Utility,2012,489.4084693341632
230,Hydropower <10MW,2012,103.82602365344587
231,Hydropower >10MW,2012,135.2292400163395
232,Bioenergy,2012,87.5333112879068
233,Offshore,2012,107.28602136576002
234,CCGT,2013,
235,Coal,2013,
236,Nuclear,2013,
237,Onshore,2013,80.67345892742516
238,PV - Utility,2013,225.93320235756386
239,Hydropower <10MW,2013,103.82602365344587
240,Hydropower >10MW,2013,135.2292400163395
241,Bioenergy,2013,87.5333112879068
242,Offshore,2013,108.83328819200001
243,CCGT,2014,
244,Coal,2014,
245,Nuclear,2014,
246,Onshore,2014,79.29278044700344
247,PV - Utility,2014,194.4212102939174
248,Hydropower <10MW,2014,103.82602365344587
249,Hydropower >10MW,2014,135.2292400163395
