,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth:
0,19944.0,11824.0,6863.5,6103.900000000001,2584.799999999999,7050.0,541.0,0,-130770804184.1325
1,60590.0,11824.0,7823.100000000001,6103.900000000001,2584.799999999999,7050.0,3580.0,0,-876069484682.4896
2,60590.0,11824.0,7805.900000000001,6103.900000000001,2600.799999999999,7050.0,3580.0,0,-1459654658339.3535
3,60590.0,11824.0,7790.500000000001,6103.900000000001,2616.7999999999984,7050.0,3580.0,0,-2060483348428.3428
4,60590.0,11824.0,7790.500000000001,6103.900000000001,2648.7999999999993,7050.0,8740.0,0,-2668703308136.377
5,60590.0,11824.0,7748.200000000002,6103.900000000001,2680.7999999999993,7050.0,15720.0,0,-3287042969349.393
6,60590.0,11824.0,7717.600000000001,6103.900000000001,2712.7999999999993,7050.0,20200.0,0,-3746776708039.6504
7,466814.0,11824.0,10680.300000000007,6103.900000000001,2728.7999999999993,7050.0,24340.0,0,-4711391159164.796
8,518051.0,11264.0,13142.70000000001,6103.900000000001,2760.7999999999997,7050.0,27600.0,0,-5062312271725.598
9,575761.0,11264.0,16025.500000000007,6103.900000000001,2776.7999999999997,7050.0,31640.0,0,-5375082644027.646
10,634717.0,5228.0,19033.300000000014,6103.900000000001,2792.7999999999993,7050.0,33180.0,0,-5478556946844.57
11,692744.0,5228.0,22633.90000000001,6103.900000000001,2792.7999999999993,7050.0,33000.0,0,-5607733250147.86
12,746919.0,5228.0,26237.899999999998,6103.900000000001,2824.7999999999997,7050.0,30320.0,0,-5690863116238.953
13,801733.0,5228.0,29827.299999999992,6103.900000000001,2840.7999999999997,7050.0,27180.0,0,-5785290277297.735
14,839437.0,5228.0,32575.29999999998,6103.900000000001,2872.8,7050.0,25700.0,0,-5867645977781.198
15,914187.0,5228.0,34934.79999999998,6101.900000000001,2872.8,7050.0,24500.0,0,-5937087731000.767
16,994279.0,5228.0,37539.89999999999,6101.900000000001,2888.8,7050.0,25240.0,0,-6020044363190.762
17,1018357.0,5228.0,40427.09999999998,6101.900000000001,2888.8,7050.0,25940.0,0,-6106752102550.058
18,1138166.0,3220.0,43049.89999999998,6041.900000000001,2904.8000000000006,7050.0,29920.0,0,-6202013731683.985
19,1168244.0,3220.0,44922.399999999994,6041.900000000001,2936.8,7050.0,31280.0,0,-6290931191171.994
20,1224142.0,3220.0,47084.8,6041.900000000001,2904.9000000000005,7050.0,31660.0,0,-6387565668450.921
21,1265446.0,3220.0,48829.1,6041.900000000001,2913.000000000001,7050.0,30300.0,0,-6474052959447.947
22,1353164.0,3220.0,50688.1,6041.900000000001,2672.8999999999983,7050.0,29780.0,0,-6563892230046.253
23,1373758.0,3220.0,52629.00000000001,5854.700000000001,1949.8999999999992,7050.0,30680.0,0,-6655994112695.289
24,983130.0,0.0,54219.4,5374.700000000001,1221.0999999999997,7050.0,27980.0,0,-6759070019743.829
25,998498.0,0.0,55933.999999999985,5374.700000000001,658.8,7050.0,24880.0,0,-6863786555990.577
26,982588.0,0.0,56937.19999999999,3542.7,384.4,7050.0,21260.0,0,-6964955427284.885
27,998924.0,0.0,59419.1,2696.7,384.4,7050.0,19900.0,0,-7062743631037.83
28,1001595.0,0.0,60478.99999999999,1919.1,368.4,7050.0,18980.0,0,-7171843066579.123
29,1104991.0,0.0,61653.0,1601.1,352.4,7050.0,17900.0,0,-7276983075593.684
30,1144050.0,0.0,63140.0,1601.1,336.0,7050.0,16560.0,0,-7382245554381.919
31,875670.0,0.0,64240.0,548.1,304.0,7050.0,13820.0,0,-7477689850317.102
32,945620.0,0.0,63100.0,0.0,304.0,7050.0,13060.0,0,-7573696147833.877
33,968885.0,0.0,61900.0,0.0,304.0,7050.0,14360.0,0,-7658580268911.1
34,940549.0,0.0,60860.0,0.0,304.0,7050.0,15420.0,0,-7753026923886.501
35,914613.0,0.0,60180.0,0.0,288.0,7050.0,15600.0,0,-7849347018784.563
36,887206.0,0.0,59040.0,0.0,272.0,7050.0,17040.0,0,-7942391060077.866
37,858328.0,0.0,58520.0,0.0,272.0,7050.0,19100.0,0,-8040426222690.623
38,823566.0,0.0,56560.0,0.0,240.0,7050.0,21060.0,0,-8132356030328.271
39,827979.0,0.0,55960.0,0.0,224.0,7050.0,22340.0,0,-8239095608398.611
