,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth:,Electricity_cost:,Carbon_emitted
0,20195.0,2021.0,1929.9000000000003,660.1,315.2999999999999,1074.0,9.0,[2.1439874],-84699826072.50206,37.215801971663964,0
1,24995.0,2021.0,15169.900000000003,660.1,395.29999999999995,1074.0,0.0,[0.],-89931468835.40443,8.002897383564179,0
2,27395.0,2021.0,15529.900000000003,660.1,443.29999999999995,1074.0,0.0,[0.00963013],-90617265534.83951,8.14099782765141,0
3,29795.0,2021.0,15866.900000000003,660.1,491.29999999999995,1074.0,0.0,[1.5400736],[-9.129374e+10],[7.7336836],0
4,33395.0,2021.0,16266.900000000003,660.1,507.29999999999995,1074.0,0.0,[0.06039165],[-9.2155994e+10],[7.5166597],0
5,35795.0,2021.0,16706.900000000005,660.1,571.3,1074.0,0.0,[0.5464413],[-9.294016e+10],[7.755525],0
6,39395.0,2021.0,17066.9,660.1,619.3,1074.0,0.0,[0.84527206],[-9.388998e+10],[7.752309],0
7,42995.0,2021.0,17486.9,660.1,635.3000000000001,1074.0,0.0,[0.],[-9.48552e+10],[7.8609266],0
8,43200.0,2021.0,17911.300000000003,660.1,667.3000000000002,1074.0,0.0,[0.],[-9.603e+10],[7.3435135],0
9,46800.0,2021.0,18371.300000000003,660.1,715.3000000000002,1074.0,0.0,[0.],[-9.7192255e+10],[7.3532305],0
10,51600.0,2021.0,18771.300000000003,660.1,779.3000000000002,1074.0,0.0,[0.],[-9.843464e+10],[7.060782],0
11,56400.0,0.0,19208.7,660.1,811.3000000000002,1074.0,0.0,[0.],[-9.989998e+10],[6.6143913],0
12,58800.0,0.0,19688.7,660.1,859.3000000000002,1074.0,0.0,[0.],[-1.0104541e+11],[6.4875593],0
13,62400.0,0.0,20228.7,660.1,891.3000000000002,1074.0,0.0,[1.9525019],[-1.0231034e+11],[6.125392],0
14,66000.0,0.0,20788.7,660.1,955.3000000000002,1074.0,0.0,[0.],[-1.0355957e+11],[5.946129],0
15,63600.0,0.0,21349.399999999998,660.1,987.3000000000002,1074.0,0.0,[0.],[-1.0466707e+11],[5.903081],0
16,66000.0,0.0,21936.600000000002,660.1,1051.3000000000002,1074.0,0.0,[0.],[-1.06054345e+11],[4.9838037],0
17,69600.0,0.0,22652.600000000002,660.1,1067.3000000000002,1074.0,0.0,[0.],[-1.0728237e+11],[5.002876],0
18,69600.0,0.0,23416.600000000002,660.1,1083.3000000000002,1074.0,0.0,[0.],[-1.0852595e+11],[4.8808146],0
19,69600.0,0.0,24102.800000000003,660.1,1147.3000000000002,1074.0,0.0,[0.7617588],[-1.0988422e+11],[4.824957],0
20,69600.0,0.0,24872.800000000003,660.1,1180.3000000000002,1074.0,0.0,[0.861418],[-1.1111774e+11],[4.819973],0
21,73200.0,0.0,25645.800000000003,660.1,1260.3000000000002,1074.0,0.0,[0.60702366],[-1.12272605e+11],[4.692502],0
22,57600.0,0.0,26450.800000000003,660.1,1267.4,1074.0,0.0,[0.],[-1.1389318e+11],[4.6074915],0
23,55200.0,0.0,27070.800000000003,660.1,1241.9,1074.0,0.0,[0.3191273],[-1.1552352e+11],[4.544079],0
24,55200.0,0.0,27800.5,660.1,1106.6,1074.0,0.0,[2.078797],[-1.1714906e+11],4.084834888062278,0
25,54000.0,0.0,28510.5,660.1,1089.8,1074.0,0.0,[1.2285988],[-1.1872757e+11],3.9101886825534335,0
26,56400.0,0.0,29109.5,660.1,1024.0,1074.0,0.0,[0.],[-1.2045154e+11],3.912515387723391,0
27,52800.0,0.0,29936.3,660.1,1008.0,1074.0,0.0,[1.6323864],[-1.2208822e+11],3.8955743516426815,0
28,54000.0,0.0,30776.3,660.1,928.0,1074.0,0.0,[1.5432142],[-1.2387769e+11],3.904209607323378,0
29,51600.0,0.0,31580.0,660.1,880.0,1074.0,0.0,[0.631262],[-1.2557654e+11],3.901026444597967,0
30,51600.0,0.0,32520.0,660.1,848.0,0.0,0.0,[0.],[-1.27574114e+11],3.8222515011695792,0
31,55200.0,0.0,32040.0,548.1,864.0,0.0,0.0,[0.],[-1.2915344e+11],3.925475577129137,0
