,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost:,Carbon_emitted
0,2360.0,2021.0,761.2000000000002,324.3,246.50000000000003,1061.0,9.0,[0.6666956],-5446673569.22461,56.86468018151569,0
1,19741.0,2021.0,2081.2000000000003,324.3,342.50000000000006,1061.0,320.0,[0.],-22405297568.200577,40.24263071082652,0
2,19741.0,2021.0,2081.2000000000003,324.3,422.50000000000006,1061.0,320.0,[0.3415155],-37373519566.81361,43.745915313133324,0
3,19741.0,2021.0,2074.7000000000003,324.3,534.5,1061.0,320.0,[1.2976053],[-5.015706e+10],[36.165127],0
4,19741.0,2021.0,2074.7000000000003,324.3,614.5,1061.0,540.0,[0.],[-6.502305e+10],[36.55874],0
5,19741.0,2021.0,2074.7000000000003,324.3,742.5,1061.0,700.0,[0.],[-8.067855e+10],[35.516914],0
6,19741.0,2021.0,2056.7000000000003,324.3,838.5000000000001,1061.0,880.0,[0.],[-9.877847e+10],[37.33761],0
7,47419.0,2021.0,7756.699999999999,324.3,966.5000000000001,1061.0,960.0,[0.14297567],[-1.130497e+11],[18.754416],0
8,45059.0,2021.0,8756.699999999999,324.3,1046.5,1061.0,1060.0,[0.],[-1.2771549e+11],[16.936014],0
9,45059.0,2021.0,9936.7,324.3,1206.5,1061.0,1120.0,[1.9931986],[-1.3966189e+11],[14.514148],0
10,45059.0,2021.0,11045.000000000002,324.3,1302.5,1061.0,1160.0,[0.],[-1.502373e+11],[13.709551],0
11,45059.0,2021.0,12242.400000000001,324.3,1382.5,1061.0,1060.0,[0.],[-1.5932993e+11],[12.1563835],0
12,45059.0,2021.0,13442.400000000001,324.3,1494.5,1061.0,1000.0,[0.6334291],[-1.6746435e+11],[10.687042],0
13,45059.0,2021.0,14922.400000000001,324.3,1590.5,1061.0,1080.0,[0.],[-1.734139e+11],[10.178134],0
14,28878.0,2021.0,16302.400000000001,324.3,1622.5,1061.0,1100.0,[0.],[-1.79791e+11],[10.056684],0
15,27678.0,2021.0,17842.4,324.3,1654.5,1061.0,1140.0,[0.28693384],[-1.8787747e+11],[8.686952],0
16,27678.0,0.0,19423.4,324.3,1734.5,1061.0,1240.0,[0.30985177],[-1.964574e+11],[8.580959],0
17,29149.0,0.0,21221.7,324.3,1830.5,1061.0,1380.0,[0.98541486],[-2.0608759e+11],[8.046617],0
18,30620.0,0.0,23217.100000000002,324.3,1942.5,1061.0,1440.0,[0.],[-2.1824682e+11],7.376100405096767,0
19,30891.0,0.0,25256.2,324.3,1990.5,1061.0,1440.0,[0.2750775],[-2.3165914e+11],7.0881158371615625,0
20,32362.0,0.0,27436.2,324.3,2081.3,1061.0,1380.0,[0.15963699],[-2.4550762e+11],6.559875523024212,0
21,7355.0,0.0,29316.2,324.3,2223.5,1061.0,1280.0,[0.],[-2.5931432e+11],6.501785299650959,0
22,8826.0,0.0,31216.2,324.3,2284.5,1061.0,1180.0,[0.46739754],[-2.6987531e+11],6.027319689623339,0
23,8826.0,0.0,32936.2,324.3,2354.6000000000004,1061.0,1280.0,[0.3345583],[-2.8016968e+11],5.775535586327786,0
24,8826.0,0.0,34646.9,151.5,2340.8,0.0,1280.0,[0.],[-2.9038114e+11],5.5821201650863,0
25,7355.0,0.0,35204.9,151.5,2388.9,0.0,1180.0,[0.],[-3.007708e+11],5.448276610206713,0
26,5884.0,0.0,34332.0,151.5,2464.0,0.0,1140.0,[0.],[-3.0901666e+11],5.082342273087108,0
27,4413.0,0.0,36519.5,151.5,2464.0,0.0,1060.0,[0.],[-3.1722544e+11],5.0437456022660765,0
28,2942.0,0.0,38633.5,151.5,2464.0,0.0,1140.0,[0.],[-3.2550345e+11],4.974890855997254,0
29,1471.0,0.0,40778.0,102.0,2496.0,0.0,1140.0,[0.],[-3.340274e+11],4.981172901638367,0
30,0.0,0.0,37380.0,102.0,2544.0,0.0,1120.0,[0.09471075],[-3.426349e+11],4.981172901638367,0
31,0.0,0.0,36880.0,0.0,2528.0,0.0,1000.0,[0.],[-3.4832568e+11],4.529155954395074,0
