,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost:,Carbon_emitted
0,18995.0,2021.0,2529.9,660.1,363.2999999999999,1074.0,9.0,[0.],-60908942024.16769,36.522626460971125,0
1,23795.0,2021.0,4649.9,660.1,459.29999999999995,1074.0,0.0,[0.],-87461894182.17397,36.14454905606198,0
2,44195.0,2021.0,6149.900000000001,660.1,619.3000000000001,1074.0,0.0,[0.6268352],-109160181642.7465,32.761925332840676,0
3,45395.0,2021.0,7406.9,660.1,731.3000000000002,1074.0,0.0,[1.4352009],[-1.15290644e+11],[24.067078],0
4,45395.0,2021.0,8426.9,660.1,843.3000000000002,1074.0,0.0,[0.],[-1.213534e+11],[21.862383],0
5,46595.0,2021.0,9626.900000000001,660.1,923.3000000000002,1074.0,0.0,[0.03721853],[-1.3244365e+11],[20.401163],0
6,46595.0,2021.0,10786.900000000003,660.1,955.3000000000002,1074.0,0.0,[0.],[-1.4275985e+11],[17.36637],0
7,47795.0,2021.0,11826.900000000003,660.1,1035.3000000000002,1074.0,0.0,[0.86239773],[-1.5078842e+11],[16.65162],0
8,44400.0,2021.0,13011.300000000005,660.1,1131.3000000000002,1074.0,0.0,[0.02821094],[-1.6110757e+11],[14.18179],0
9,44400.0,2021.0,13571.300000000005,660.1,1179.3000000000002,1074.0,0.0,[0.19755766],[-1.7097605e+11],[13.800992],0
10,44400.0,2021.0,14131.300000000005,660.1,1291.3000000000002,1074.0,0.0,[0.],[-1.8078489e+11],[12.450443],0
11,44400.0,2021.0,14988.700000000003,660.1,1291.3000000000002,1074.0,0.0,[0.53960663],[-1.9059058e+11],[11.463138],0
12,46800.0,2021.0,15388.700000000003,660.1,1499.3000000000002,1074.0,0.0,[0.],[-2.0033431e+11],[10.83701],0
13,49200.0,2021.0,15888.700000000003,660.1,1531.3000000000004,1074.0,0.0,[0.86052877],[-2.0972138e+11],[10.4781065],0
14,51600.0,2021.0,16488.700000000004,660.1,1563.3000000000004,1074.0,0.0,[0.],[-2.1914228e+11],[9.864972],0
15,50400.0,2021.0,17109.4,660.1,1627.3000000000004,1074.0,0.0,[0.],[-2.2812644e+11],[9.669531],0
16,32400.0,0.0,17856.600000000002,660.1,1643.3000000000004,1074.0,0.0,[0.],[-2.376655e+11],[9.282516],0
17,33600.0,0.0,18172.600000000002,660.1,1675.3000000000004,1074.0,0.0,[1.053709],[-2.4704983e+11],[9.186863],0
18,34800.0,0.0,18496.600000000002,660.1,1723.3000000000004,1074.0,0.0,[1.766116],[-2.563e+11],[9.136618],0
19,34800.0,0.0,18822.800000000003,660.1,1771.3000000000004,1074.0,0.0,[0.7170257],[-2.656012e+11],[9.07733],0
20,21600.0,0.0,19052.800000000003,660.1,1756.3000000000004,1074.0,0.0,[0.],[-2.7526726e+11],[9.128973],0
21,21600.0,0.0,19185.800000000003,660.1,1788.3000000000004,1074.0,0.0,[0.8398527],[-2.8477053e+11],[8.599373],0
22,21600.0,0.0,19430.800000000003,660.1,1795.4,1074.0,0.0,[0.],[-2.9419248e+11],[8.577181],0
23,20400.0,0.0,19350.800000000003,660.1,1769.9,1074.0,0.0,[1.7529923],[-3.0358893e+11],[9.043409],0
24,20400.0,0.0,19340.5,660.1,1634.6,1074.0,0.0,[0.6281775],[-3.1320713e+11],[9.14979],0
25,20400.0,0.0,19290.5,660.1,1617.8,1074.0,0.0,[0.],[-3.2277614e+11],[9.181115],0
26,18000.0,0.0,19129.5,660.1,1552.0,1074.0,0.0,[0.],[-3.3264402e+11],[9.157695],0
27,16800.0,0.0,19136.300000000003,660.1,1472.0,1074.0,0.0,[0.9703329],[-3.4262817e+11],[9.208798],0
28,14400.0,0.0,19136.300000000003,660.1,1376.0,1074.0,0.0,[1.0785164],[-3.528519e+11],[9.282001],0
29,10800.0,0.0,19060.0,660.1,1216.0,1074.0,0.0,[0.],[-3.6309136e+11],[9.899275],0
30,9600.0,0.0,19060.0,660.1,1104.0,1074.0,0.0,[0.],[-3.7342704e+11],[9.79096],0
31,10800.0,0.0,17200.0,548.1,992.0,1074.0,0.0,[2.0569603],[-3.8568912e+11],[12.822293],0
