,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth:,Electricity_cost:,Carbon_emitted
0,18291.0,560.0,1958.1000000000001,180.0,203.50000000000003,1179.0,120.0,[0.],-16217816879.875772,28.974811486249525,0
1,43659.0,560.0,5638.100000000001,180.0,267.5,1179.0,620.0,[0.],-24784051374.738647,18.705349213563316,0
2,44859.0,560.0,6998.100000000001,180.0,331.49999999999994,1179.0,620.0,[0.],-28472269409.736572,16.229328251147678,0
3,47259.0,560.0,7958.100000000001,180.0,395.49999999999994,1179.0,620.0,[0.],[-3.0935378e+10],[12.420812],0
4,49659.0,560.0,9035.700000000003,180.0,427.4999999999999,1179.0,2560.0,[0.],[-3.3499548e+10],[11.809088],0
5,49659.0,560.0,10195.699999999999,180.0,459.4999999999999,1179.0,4420.0,[0.5358768],[-3.6196876e+10],[11.523534],0
6,52059.0,560.0,11315.699999999997,180.0,491.4999999999999,1179.0,6100.0,[0.06751706],[-4.194369e+10],[11.123138],0
7,55258.0,560.0,11835.699999999997,180.0,507.4999999999999,1179.0,7660.0,[0.],[-4.780201e+10],[10.873454],0
8,56568.0,560.0,12395.699999999997,180.0,539.4999999999999,1179.0,9240.0,[1.2425841],[-5.432443e+10],[10.737861],0
9,56568.0,560.0,13001.499999999996,180.0,539.4999999999999,1179.0,11220.0,[0.],[-5.9917394e+10],[9.402465],0
10,56568.0,560.0,13561.099999999999,180.0,539.4999999999999,1179.0,13140.0,[0.],[-6.572344e+10],[8.97617],0
11,58968.0,560.0,14061.099999999999,180.0,539.4999999999999,1179.0,14760.0,[0.],[-7.2491835e+10],[8.717974],0
12,58968.0,0.0,14274.199999999999,180.0,539.4999999999999,1179.0,14920.0,[0.90177816],[-7.905228e+10],[8.480752],0
13,58968.0,0.0,14494.199999999999,180.0,539.4999999999999,1179.0,15400.0,[0.],[-8.586419e+10],[8.39758],0
14,58800.0,0.0,14464.499999999998,180.0,539.4999999999999,1179.0,16160.0,[1.7684686],[-9.268513e+10],[8.540987],0
15,18000.0,0.0,14464.499999999998,180.0,539.4999999999999,1179.0,17260.0,[0.],[-1.0010521e+11],[8.710801],0
16,18000.0,0.0,14464.499999999998,180.0,539.4999999999999,1179.0,17080.0,[0.],[-1.0763117e+11],[8.7153425],0
17,15600.0,0.0,14434.699999999999,180.0,539.4999999999999,1179.0,16680.0,[0.64724934],[-1.1525283e+11],[8.743069],0
18,13200.0,0.0,14430.699999999999,120.0,539.4999999999999,1179.0,16340.0,[0.],[-1.2298007e+11],[8.786299],0
19,9600.0,0.0,14414.699999999999,120.0,539.4999999999999,1179.0,16020.0,[0.],[-1.307627e+11],[8.786299],0
20,7200.0,0.0,14398.699999999999,120.0,539.4999999999999,1179.0,15700.0,[1.0057563],[-1.3865083e+11],[8.870281],0
21,3600.0,0.0,14338.899999999998,120.0,536.4999999999998,1179.0,15120.0,[0.],[-1.4658686e+11],[8.870281],0
22,3600.0,0.0,14294.099999999999,120.0,512.1999999999999,1179.0,14420.0,[0.],[-1.54583e+11],[9.123064],0
23,3600.0,0.0,14294.099999999999,120.0,448.7999999999999,1179.0,13480.0,[0.],[-1.6272104e+11],[10.27855],0
24,3600.0,0.0,14279.099999999999,30.0,376.99999999999994,1179.0,13700.0,[0.14554201],[-1.71006e+11],[10.272061],0
25,3600.0,0.0,14064.499999999998,30.0,351.0,1179.0,13780.0,[0.],[-1.7944083e+11],[10.455151],0
26,3600.0,0.0,13928.699999999999,30.0,336.0,1179.0,13800.0,[0.],[-1.8798703e+11],[10.542038],0
27,3600.0,0.0,13948.699999999999,30.0,272.0,1179.0,13480.0,[0.],[-1.9660743e+11],[10.658842],0
28,3600.0,0.0,13893.8,30.0,224.0,1179.0,13160.0,[2.1911964],[-2.0540003e+11],[10.654169],0
29,3600.0,0.0,13900.0,30.0,160.0,1179.0,12800.0,[0.7343382],[-2.142968e+11],[10.576929],0
30,3600.0,0.0,13900.0,30.0,144.0,1179.0,12420.0,[1.2038503],[-2.2319982e+11],[10.696148],0
31,3600.0,0.0,12620.0,0.0,128.0,1179.0,12000.0,[0.],[-2.3217481e+11],[11.18032],0
