,Company,Name,Simplified_Type,Capacity,Start_date
128,EON,Oldside,Onshore,5.0,1996
129,EON,Out Newton,Onshore,9.0,2002
130,EON,Scroby Sands,Offshore,60.0,2004
131,EON,Siddick,Onshore,4.0,1996
132,EON,Stags Holt ,Onshore,20.0,2007
133,EON,Rhyd-y-Groes,Onshore,7.0,1992
134,EON,Blyth,Offshore,4.0,2000
135,EON,Robin Rigg ,Offshore,180.0,2010
136,EON,Great Eppleton ,Onshore,8.0,2010
137,EON,Butterwick Moor,Onshore,21.0,2011
138,EON,Haswell Moor,Onshore,10.0,2010
139,EON,Rosehall,Onshore,25.0,2012
140,EON,Tween Bridge,Onshore,44.0,2012
141,EON,Camster,Onshore,10.0,2012
143,Falck Renewables Wind Ltd,Ben Aketil,Onshore,28.0,2007
144,Falck Renewables Wind Ltd,Boyndie,Onshore,16.0,2006
145,Falck Renewables Wind Ltd,Cefn Croes,Onshore,59.0,2006
146,Falck Renewables Wind Ltd,Earlsburn,Onshore,38.0,2007
147,Falck Renewables Wind Ltd,Kilbraur,Onshore,68.0,2008
148,Falck Renewables Wind Ltd,Millennium,Onshore,65.0,2008
150,Fenland Windfarms Ltd,Deeping,Onshore,16.0,2006
151,Fenland Windfarms Ltd,Glass Moor,Onshore,16.0,2006
152,Fenland Windfarms Ltd,Red House,Onshore,12.0,2006
153,Fenland Windfarms Ltd,Red Tile,Onshore,24.0,2007
155,Fred Olsen,Crystal Rig Windfarm,Onshore,63.0,2003
156,Fred Olsen,Paul's Hill,Onshore,64.0,2005
157,Fred Olsen,Rothes,Onshore,51.0,2004
158,Fred Olsen,Crystal Rig II,Onshore,138.0,2010
159,Fred Olsen,Rothes II,Onshore,41.0,2013
161,GDF Suez,Teesside (13),OCGT,45.0,1992
162,GDF Suez,Scotia,Onshore,20.0,2010
164,Great Orton Windfarm Ltd,Great Orton,Onshore,4.0,1999
166,HG Capital,Tyr Mostyn & Foel Goch,Onshore,21.0,2005
167,HG Capital,Bagmoor ,Onshore,16.0,2009
168,HG Capital,Solutia,Onshore,5.0,2009
169,HG Capital,Workington (Eastman),Onshore,4.0,2005
170,HG Capital,Dewley Cheese,Onshore,2.0,2010
172,High Hedley Hope Wind Ltd,High Hedley 1,Onshore,2.0,2001
173,High Hedley Hope Wind Ltd,High Hedley 2,Onshore,5.0,2008
174,High Hedley Hope Wind Ltd,Trimdon Grange,Onshore,5.0,2008
175,High Hedley Hope Wind Ltd,Langley Park,Onshore,8.0,2008
176,High Hedley Hope Wind Ltd,Broomhill,Onshore,8.0,2008
178,Immingham CHP LLP,Immingham CHP,OCGT,1240.0,2004
179,Infinis,Ardrossan,Onshore,24.0,2004
180,Infinis,Ardrossan Extension,Onshore,6.0,2008
181,Infinis,Dalswinton,Onshore,30.0,2008
182,Infinis,Minsca,Onshore,37.0,2008
183,Infinis,Slieve Divena,Onshore,30.0,2009
184,Infinis,Rheidol,Onshore,2.0,1997
185,Infinis,Lissett,Onshore,30.0,2007
186,Infinis,Mynydd Clogau,Onshore,14.0,2004
187,Infinis,Hill of Fiddes,Onshore,7.0,2010
188,Infinis,Low Spinney,Onshore,8.0,2011
189,Infinis,Blackstone Edge,Onshore,6.0,2013
190,Infinis,Gordonstown,Onshore,6.0,2013
191,Infinis,Seamer,Onshore,10.0,2012
192,Infinis,Westfield,Onshore,10.0,2013
193,Infinis,Wingates,Onshore,15.0,2013
194,Infinis,Glenkerie,Onshore,20.0,2012
195,Intergen,Coryton ,CCGT,800.0,2001
196,Intergen,Rocksavage,CCGT,810.0,1998
197,Intergen,Spalding,CCGT,880.0,2004
200,International Power Ltd,Dinorwig,Hydro_Store,1728.0,1983
201,International Power Ltd,Ffestiniog,Hydro_Store,360.0,1961
202,International Power Ltd,Rugeley ,Coal,1006.0,1972
203,International Power Ltd,Rugeley GT,OCGT,50.0,1972
204,International Power Ltd,Deeside ,CCGT,515.0,1994
205,International Power Ltd,Saltend ,CCGT,1200.0,2000
207,Kirkheaton Wind Ltd,Kirkheaton,Onshore,2.0,2000
209,K/S Winscales,Winscales 1,Onshore,2.0,1999
210,K/S Winscales,Winscales 2,Onshore,7.0,2005
212,Llangwyryfon Windfarm Ltd,Llangwyryfon,Onshore,9.0,2003
214,London Array Ltd,London Array,Offshore,630.0,2012
216,Londonwaste Limited,Belvedere,EfW,60.0,2012
218,Lynemouth Power Ltd,Lynemouth,Coal,420.0,1972
220,Magnox Ltd,Wylfa,Nuclear,490.0,1971
221,Magnox Ltd,Maentwrog,Hydro,28.0,1928
223,Marchwood Power Limited,Marchwood,CCGT,842.0,2009
225,PEEL WIND POWER,Scout Moor (3),Onshore,65.0,2009
227,Peel Energy Ltd,Seaforth,Onshore,4.0,1999
228,Peel Energy Ltd,Port of Liverpool,Onshore,10.0,2008
230,Px Limited,Fellside CHP,OCGT,180.0,1995
232,RES-Gen Ltd,Dyffryn Brodyn,Onshore,5.0,1994
233,RES-Gen Ltd,Four Burrows,Onshore,5.0,1995
234,RES-Gen Ltd,Forss,Onshore,2.0,2003
235,RES-Gen Ltd,Forss2,Onshore,5.0,2007
236,RES-Gen Ltd,Lendrum's Bridge,Onshore,13.0,2000
237,RES-Gen Ltd,Altahullion,Onshore,26.0,2003
238,RES-Gen Ltd,Altahullion2,Onshore,12.0,2007
239,RES-Gen Ltd,Black Hill,Onshore,29.0,2006
240,RES-Gen Ltd,Lough Hill,Onshore,8.0,2007
241,RES-Gen Ltd,Kelburn ,Onshore,28.0,2011
242,RES-Gen Ltd,Hill of Towie,Onshore,48.0,2012
243,RES-Gen Ltd,Meikle Carewe,Onshore,10.0,2013
244,RES-Gen Ltd,Tallentire,Onshore,12.0,2013
245,RES-Gen Ltd,Grange,Onshore,14.0,2013
246,RES-Gen Ltd,Roos ,Onshore,17.0,2012
247,RES-Gen Ltd,Wadlow,Onshore,26.0,2012
248,RGS Energy Ltd,Knapton,Recip_gas,40.0,1994
