,Plant_Type,Plant_Size,Average_Load_Factor,Efficiency,Operating_Period,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Connect_system_cost-Medium _2018,Connect_system_cost-Medium _2020,Connect_system_cost-Medium _2025,Constr_cost-High _2018,Constr_cost-High _2020,Constr_cost-High _2025,Constr_cost-Low _2018,Constr_cost-Low _2020,Constr_cost-Low _2025,Constr_cost-Medium _2018,Constr_cost-Medium _2020,Constr_cost-Medium _2025,Fixed_cost-Medium _2018,Fixed_cost-Medium _2020,Fixed_cost-Medium _2025,Infra_cost-High _2018,Infra_cost-High _2020,Infra_cost-High _2025,Infra_cost-Low _2018,Infra_cost-Low _2020,Infra_cost-Low _2025,Infra_cost-Medium _2018,Infra_cost-Medium _2020,Infra_cost-Medium _2025,Insurance_cost-Medium _2018,Insurance_cost-Medium _2020,Insurance_cost-Medium _2025,Pre_dev_cost-High _2018,Pre_dev_cost-High _2020,Pre_dev_cost-High _2025,Pre_dev_cost-Low _2018,Pre_dev_cost-Low _2020,Pre_dev_cost-Low _2025,Pre_dev_cost-Medium _2018,Pre_dev_cost-Medium _2020,Pre_dev_cost-Medium _2025,Var_cost-Medium _2018,Var_cost-Medium _2020,Var_cost-Medium _2025,Type
52,Coal - CCS ASC Partial FOAK ,734.0,0.91,0.38,25.0,0.2,0.2,0.2,0.2,0.2,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,,,3800.0,,,3400000.0,,,2100000.0,,,2600000.0,,,56400.0,,,15000.0,,,5000.0,,,10000.0,,,9600.0,,,80000.0,,,40000.0,,,60000.0,,,3.0,Coal
53,Coal - CCS ASC FOAK ,624.0,0.91,0.32,25.0,0.2,0.2,0.2,0.2,0.2,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,,,3800.0,,,5500000.0,,,3400000.0,,,4200000.0,,,78500.0,,,15000.0,,,5000.0,,,10000.0,,,15800.0,,,110000.0,,,60000.0,,,70000.0,,,3.0,Coal
54,Coal - CCS ASC retrofit FOAK ,390.0,0.91,0.31,15.0,0.25,0.25,0.25,0.25,,,,,4,0.2,0.2,0.2,0.2,0.2,,,,5,,,3800.0,,,3000000.0,,,1900000.0,,,2400000.0,,,80700.0,,,0.0,,,0.0,,,0.0,,,8200.0,,,50000.0,,,20000.0,,,30000.0,,,3.0,Coal_Retro
55,Recip Gas 2000 hr ,20.0,0.22,0.32,15.0,1.0,,,,,,,,1,0.5,0.5,,,,,,,2,-31900.0,-31900.0,-31900.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,10000.0,10000.0,10000.0,10300.0,10300.0,10300.0,700.0,700.0,700.0,3400.0,3400.0,3400.0,1000.0,1000.0,1000.0,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2.0,2.0,2.0,Recip_gas
56,RECIP GAS 500 hrs ,20.0,0.05,0.32,15.0,1.0,,,,,,,,1,0.5,0.5,,,,,,,2,-28500.0,-28500.0,-28500.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,10000.0,10000.0,10000.0,10300.0,10300.0,10300.0,700.0,700.0,700.0,3400.0,3400.0,3400.0,1000.0,1000.0,1000.0,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2.0,2.0,2.0,Recip_gas
57,Nuclear - PWR FOAK ,3300.0,0.9,1.0,60.0,0.05,0.05,0.2,0.2,0.2,0.2,0.05,0.05,8,0.2,0.2,0.2,0.2,0.2,,,,5,,,500.0,,,5100000.0,,,3700000.0,,,4100000.0,,,72900.0,,,50000.0,,,0.0,,,11500.0,,,10000.0,,,640000.0,,,110000.0,,,240000.0,,,5.0,Nuclear
58,Pumped storage ,600.0,0.21,0.77,50.0,0.222,0.222,0.222,0.222,0.111,,,,5,0.2,0.2,0.2,0.2,0.2,,,,5,15800.0,15800.0,15800.0,1500000.0,1500000.0,1600000.0,700000.0,700000.0,700000.0,1000000.0,1000000.0,1000000.0,11200.0,11200.0,11200.0,50000.0,50000.0,50000.0,10000.0,10000.0,10000.0,25000.0,25000.0,25000.0,4100.0,4100.0,4100.0,50000.0,50000.0,50000.0,30000.0,30000.0,30000.0,40000.0,40000.0,40000.0,42.0,42.0,42.0,Pumped_storage
59,OCGT 100MW 2000 hr ,96.0,0.22,0.35,25.0,0.5,0.5,,,,,,,2,0.556,0.444,,,,,,,2,2500.0,2500.0,2500.0,800000.0,800000.0,800000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,14800.0,14800.0,14800.0,25100.0,25100.0,25100.0,6300.0,6300.0,6300.0,12600.0,12600.0,12600.0,2500.0,2500.0,2500.0,90000.0,90000.0,90000.0,70000.0,70000.0,70000.0,80000.0,80000.0,80000.0,4.0,4.0,4.0,OCGT
60,Recip Diesel 2000 hr ,20.0,0.22,0.34,15.0,1.0,,,,,,,,1,0.5,0.5,,,,,,,2,-31900.0,-31900.0,-31900.0,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,10000.0,10000.0,10000.0,6500.0,6500.0,6500.0,400.0,400.0,400.0,2200.0,2200.0,2200.0,1000.0,1000.0,1000.0,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2.0,2.0,2.0,Recip_diesel
61,Recip Diesel 500 hrs ,20.0,0.05,0.34,15.0,1.0,,,,,,,,1,0.5,0.5,,,,,,,2,-28500.0,-28500.0,-28500.0,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,10000.0,10000.0,10000.0,6500.0,6500.0,6500.0,400.0,400.0,400.0,2200.0,2200.0,2200.0,1000.0,1000.0,1000.0,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2.0,2.0,2.0,Recip_diesel
62,Recip Diesel 90 hrs ,20.0,0.01,0.34,15.0,1.0,,,,,,,,1,0.5,0.5,,,,,,,2,-28000.0,-28000.0,-28000.0,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,10000.0,10000.0,10000.0,6500.0,6500.0,6500.0,400.0,400.0,400.0,2200.0,2200.0,2200.0,1000.0,1000.0,1000.0,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2.0,2.0,2.0,Recip_diesel
