hours,demand
0.08333333333333333,52152
460.75,45209
921.4166666666666,42206
1382.0833333333333,39585
1842.6666666666665,37480
2303.333333333333,35505
2764,34182
3224.6666666666665,33188
3685.333333333333,32315
4146,31567
4606.583333333333,30721
5067.25,29865
5527.916666666666,28935
5988.583333333333,27888
6449.25,26760
6909.916666666666,25520
7370.5,24327
7831.166666666666,23127
8291.833333333332,21964
8752.5,17568
