,Plant_Size,Average_Load_Factor,Efficiency,Operating_Period,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Connect_system_cost:Medium _2018,Connect_system_cost:Medium _2020,Connect_system_cost:Medium _2025,Constr_cost:High _2018,Constr_cost:High _2020,Constr_cost:High _2025,Constr_cost:Low _2018,Constr_cost:Low _2020,Constr_cost:Low _2025,Constr_cost:Medium _2018,Constr_cost:Medium _2020,Constr_cost:Medium _2025,Fixed_cost:Medium _2018,Fixed_cost:Medium _2020,Fixed_cost:Medium _2025,Infra_cost:High _2018,Infra_cost:High _2020,Infra_cost:High _2025,Infra_cost:Low _2018,Infra_cost:Low _2020,Infra_cost:Low _2025,Infra_cost:Medium _2018,Infra_cost:Medium _2020,Infra_cost:Medium _2025,Insurance_cost:Medium _2018,Insurance_cost:Medium _2020,Insurance_cost:Medium _2025,Pre-dev_cost:High _2018,Pre-dev_cost:High _2020,Pre-dev_cost:High _2025,Pre-dev_cost:Low _2018,Pre-dev_cost:Low _2020,Pre-dev_cost:Low _2025,Pre-dev_cost:Medium _2018,Pre-dev_cost:Medium _2020,Pre-dev_cost:Medium _2025,Var_cost:Medium _2018,Var_cost:Medium _2020,Var_cost:Medium _2025
Coal - CCS IGCC retro FOAK ,622,88%,27%,25 years ,25%,25%,25%,25%,,,,,4 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,"3,800",- ,- ,"5,400",- ,- ,"3,600",- ,- ,"4,200",- ,- ,"81,900",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"27,600",- ,- ,100,- ,- ,60,- ,- ,60,- ,- ,6
Coal - CCS ASC Oxy FOAK ,552,91%,32%,25 years ,18.20%,18.20%,18.20%,18.20%,18.20%,9.10%,,,6 years ,16.70%,16.70%,16.70%,16.70%,16.70%,16.70%,,,6 years ,- ,- ,"3,800",- ,- ,"4,400",- ,- ,"2,900",- ,- ,"3,400",- ,- ,"68,200",- ,- ,"15,000",- ,- ,"5,000",- ,- ,"10,000",- ,- ,"13,000",- ,- ,80,- ,- ,30,- ,- ,40,- ,- ,6
Coal - CCS ASC NH3 FOAK ,624,91%,32%,25 years ,20%,20%,20%,20%,20%,,,,5 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,"3,800",- ,- ,"5,500",- ,- ,"3,400",- ,- ,"4,200",- ,- ,"79,600",- ,- ,"15,000",- ,- ,"5,000",- ,- ,"10,000",- ,- ,"19,300",- ,- ,110,- ,- ,60,- ,- ,70,- ,- ,3
Coal - CCS IGCC FOAK ,652,88%,30%,25 years ,20%,20%,20%,20%,20%,,,,5 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,"3,800",- ,- ,"5,000",- ,- ,"3,300",- ,- ,"3,900",- ,- ,"65,300",- ,- ,"15,000",- ,- ,"5,000",- ,- ,"10,000",- ,- ,"22,700",- ,- ,80,- ,- ,50,- ,- ,60,- ,- ,5
Coal - CCS IGCC partial FOAK ,760,88%,35%,25 years ,20%,20%,20%,20%,20%,,,,5 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,"3,800",- ,- ,"3,600",- ,- ,"2,400",- ,- ,"2,800",- ,- ,"52,100",- ,- ,"15,000",- ,- ,"5,000",- ,- ,"10,000",- ,- ,"14,000",- ,- ,60,- ,- ,40,- ,- ,40,- ,- ,5
PV 1-5MW building ,1,11%,0%,25 years ,100%,,,,,,,,0 years ,100%,,,,,,,,1 years ,"1,300","1,300","1,200",800,800,700,700,600,600,700,700,600,"6,600","6,300","5,900",- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,600","2,600","2,400",20,20,20,20,20,20,20,20,20,3,3,3
EfW ,30,81%,28%,35 years ,33.30%,33.30%,33.30%,,,,,,3 years ,22.80%,22.80%,22.80%,22.80%,9%,,,,4 years ,"16,700","16,500","16,100","12,500","12,400","12,200","4,600","4,600","4,500","8,200","8,100","8,000","139,500","137,900","134,800","6,600","6,600","6,600","2,500","2,500","2,500","4,600","4,600","4,600","30,500","30,100","29,500",390,390,390,110,110,110,230,230,230,25,25,24
EfW CHP ,24,81%,22%,35 years ,33.30%,33.30%,33.30%,,,,,,3 years ,22.80%,22.80%,22.80%,22.80%,9%,,,,4 years ,"16,700","16,500","16,100","15,900","15,800","15,600","10,300","10,300","10,100","13,300","13,200","13,000","153,000","151,300","147,900","8,500","8,500","8,500","3,000","3,000","3,000","5,900","5,900","5,900","85,200","84,300","82,400",300,300,300,130,130,130,210,210,210,55,55,53
AD ,2,79%,40%,20 years ,100%,,,,,,,,1 years ,66.70%,33.30%,,,,,,,2 years ,"12,900","12,900","12,900","4,900","4,900","4,900","2,900","2,900","2,900","3,700","3,700","3,700","78,100","78,100","78,100","1,000","1,000","1,000",500,500,500,700,700,700,"54,200","54,200","54,200",440,440,440,260,260,260,340,340,340,81,81,81
AD CHP ,2,79%,32%,20 years ,100%,,,,,,,,1 years ,66.70%,33.30%,,,,,,,2 years ,"12,900","12,900","12,900","5,600","5,600","5,600","3,300","3,300","3,300","4,300","4,300","4,300","132,000","132,000","132,000","1,000","1,000","1,000",500,500,500,700,700,700,"54,200","54,200","54,200",440,440,440,260,260,260,340,340,340,81,81,81
