,estimator,mean_fit_time,mean_score_time,mean_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,mean_test_r2,param_model__estimator__C,param_model__estimator__activation,param_model__estimator__alpha,param_model__estimator__gamma,param_model__estimator__hidden_layer_sizes,param_model__estimator__kernel,param_model__estimator__learning_rate,param_model__estimator__n_estimators,param_model__estimator__n_neighbors,param_model__estimator__solver,params,rank_test_neg_mean_absolute_error,rank_test_neg_mean_squared_error,rank_test_r2,split0_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split0_test_r2,split1_test_neg_mean_absolute_error,split1_test_neg_mean_squared_error,split1_test_r2,std_fit_time,std_score_time,std_test_neg_mean_absolute_error,std_test_neg_mean_squared_error,std_test_r2
1,AdaBoostRegressor,3.1502095460891724,12.209345579147339,-5098.144241445906,-44917789.80658072,0.02549256558573328,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,1,1,-5056.344804989017,-41565344.46062747,0.10298313706502014,-5139.943677902796,-48270235.15253397,-0.05199800589355358,0.024994254112243652,0.11269569396972656,41.79943645688945,3352445.345953252,0.07749057147928685
0,GradientBoostingRegressor,0.8373489379882812,3.046571373939514,-5389.259325055009,-48720856.032317325,-0.05696348199154487,,,,,,,0.8,16,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 16}",1,3,3,-5347.099273031006,-45512455.03753898,0.017814066673351628,-5431.419377079011,-51929257.02709567,-0.13174103065644138,0.008362054824829102,0.01834547519683838,42.1600520240022,3208400.9947783425,0.0747775486648965
1,GradientBoostingRegressor,1.836504578590393,4.882307529449463,-5410.068715327122,-49138566.89982774,-0.06605191072195478,,,,,,,0.8,32,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 32}",3,4,4,-5357.864823870878,-45677548.73186765,0.0142494697933857,-5462.2726067833655,-52599585.067787826,-0.14635329123729526,0.00969851016998291,0.07645058631896973,52.20389145624358,3461018.1679600887,0.08030138051534048
2,GradientBoostingRegressor,0.9689849615097046,2.539296507835388,-5426.224419833485,-48693582.65649648,-0.05668480293367491,,,,,,,1.0,16,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 16}",4,2,2,-5163.791986731484,-42565108.322077565,0.0814125907227133,-5688.6568529354845,-54822056.990915395,-0.19478219659006313,0.006895899772644043,0.001963496208190918,262.43243310200023,6128474.334418915,0.1380973936563882
3,GradientBoostingRegressor,1.2005819082260132,2.1024656295776367,-5409.615449858953,-48366922.39829591,-0.049444176565453815,,,,,,,1.0,32,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 32}",2,1,1,-5242.734724435245,-43701676.27547441,0.05688594838615099,-5576.496175282661,-53032168.52111741,-0.15577430151705862,0.034304022789001465,0.00840449333190918,166.8807254237081,4665246.122821502,0.1063301249516048
0,SVR,0.23150551319122314,25.49420464038849,-6479.610535970737,-64226274.98587764,-0.3920932835207124,1,,,,,linear,,,,,"{'model__estimator__C': 1, 'model__estimator__kernel': 'linear'}",2,2,2,-7110.143946921838,-71779729.24009053,-0.5490655559365388,-5849.077125019635,-56672820.73166475,-0.23512101110488595,0.0008636713027954102,0.06578552722930908,630.5334109511014,7553454.254212894,0.15697227241582645
1,SVR,0.24763989448547363,25.475762128829956,-6140.821644530009,-57745412.38162791,-0.25234810761421694,10,,,,,linear,,,,,"{'model__estimator__C': 10, 'model__estimator__kernel': 'linear'}",1,1,1,-6411.2958474793,-57700601.324462615,-0.24522441206014778,-5870.347441580718,-57790223.43879319,-0.25947180316828616,0.013432025909423828,0.033921003341674805,270.47420294929134,44811.05716528743,0.007123695554069192
2,SVR,0.24533617496490479,50.134647846221924,-6553.793973734844,-65712985.01142337,-0.42420297552663944,1,,,0.001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",5,5,5,-7236.6684989001005,-74521067.54465167,-0.6082270980572102,-5870.919448569585,-56904902.47819507,-0.24017885299606864,0.05463302135467529,0.0798189640045166,682.8745251652576,8808082.5332283,0.18402412253057077
3,SVR,0.25224852561950684,50.299896478652954,-6553.9466265666015,-65715990.27303361,-0.42426788991326564,1,,,0.0001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",6,6,6,-7236.92368693657,-74526520.46316423,-0.6083447746826295,-5870.9695661966325,-56905460.08290302,-0.2401910051439017,0.0025794506072998047,0.0040874481201171875,682.977060369969,8810530.190130603,0.1840768847693639
4,SVR,0.18523156642913818,29.31848907470703,-6552.26184758032,-65682800.10666549,-0.4235509719978404,10,,,0.001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",3,3,3,-7234.106231900291,-74466318.72999884,-0.6070455920801652,-5870.417463260349,-56899281.48333215,-0.24005635191551558,0.013464570045471191,0.0742189884185791,681.8443843199711,8783518.623333346,0.18349462008232478
5,SVR,0.18727052211761475,29.25484299659729,-6553.787332739625,-65712831.44129214,-0.42419965450220654,10,,,0.0001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",4,4,4,-7236.657473717635,-74520825.04906319,-0.6082218648850332,-5870.917191761614,-56904837.83352109,-0.24017744411937994,0.00889432430267334,0.027755260467529297,682.8701409780106,8807993.60777105,0.18402221038282662
0,MLPRegressor,7.380785942077637,1.3229165077209473,-32636.397028907737,-1112327153.8819695,-23.116111153900036,,tanh,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",7,7,7,-33676.85575472176,-1180466586.8565185,-24.475366979227402,-31595.938303093717,-1044187720.9074206,-21.75685532857267,0.027773141860961914,0.005799531936645508,1040.45872581402,68139432.97454894,1.3592558253273666
1,MLPRegressor,12.17053997516632,5.954378008842468,-32622.210922228343,-1111390084.243708,-23.09577069658935,,tanh,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",3,3,3,-33665.96328025639,-1179698036.6969154,-24.458781077977733,-31578.458564200308,-1043082131.7905003,-21.732760315200974,0.051706910133361816,0.786605954170227,1043.7523580280395,68307952.45320755,1.3630103813883796
2,MLPRegressor,11.99170696735382,3.0074251890182495,-32636.472915973,-1112332056.6216474,-23.11621678537494,,tanh,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",8,8,8,-33677.03530329596,-1180478111.8164055,-24.475615713523975,-31595.91052865004,-1044186001.4268893,-21.7568178572259,1.0263298749923706,0.15097010135650635,1040.5623873229597,68146055.19475812,1.3593989281490373
3,MLPRegressor,21.09567701816559,9.979889512062073,-32622.251817535074,-1111392457.8152363,-23.09582277498219,,tanh,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",4,4,4,-33665.917556407745,-1179694741.0993097,-24.458709976292113,-31578.586078662407,-1043090174.5311629,-21.73293557367226,0.9499620199203491,1.290488362312317,1043.665738872669,68302283.28407341,1.3628872013099258
4,MLPRegressor,11.225953340530396,1.2016565799713135,-32631.28185915966,-1111982365.400489,-23.108607813354453,,relu,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",5,5,5,-33675.42656764397,-1180363082.9078698,-24.473133164886367,-31587.137150675353,-1043601647.8931084,-21.74408246182254,0.5655374526977539,0.032886505126953125,1044.1447084843076,68380717.50738072,1.3645253515319133
5,MLPRegressor,24.489415049552917,4.2452709674835205,-32523.438491048986,-1104718824.1533096,-22.950706968011893,,relu,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",2,2,2,-33623.19482194417,-1176617912.7961745,-24.392309750529147,-31423.6821601538,-1032819735.5104448,-21.509104185494635,0.02064692974090576,0.036689043045043945,1099.7563308951849,71899088.64286488,1.441602782517256
6,MLPRegressor,11.488026022911072,2.2390127182006836,-32633.03801169641,-1112098504.4490921,-23.111139312516464,,relu,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",6,6,6,-33675.441997583424,-1180363030.4598665,-24.47313214408456,-31590.634025809402,-1043833978.4383177,-21.749146480948365,0.5057519674301147,0.14368247985839844,1042.403985887011,68264526.01077443,1.361992831568097
7,MLPRegressor,6.095441460609436,3.40203595161438,-32521.850479074703,-1104619791.5452037,-22.94853455610969,,relu,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",1,1,1,-33625.0289177709,-1176749086.245228,-24.395140690218877,-31418.67204037851,-1032490496.8451796,-21.501928422000503,0.21678054332733154,0.020525217056274414,1103.1784386961936,72129294.70002425,1.446606134109187
0,KNeighborsRegressor,0.29498612880706787,43.617979764938354,-6356.184586551317,-65371713.39031713,-0.41639089915809047,,,,,,,,,5,,{'model__estimator__n_neighbors': 5},3,3,3,-7371.87137171084,-78021166.86749697,-0.6837602020688518,-5340.497801391794,-52722259.91313729,-0.14902159624732914,0.07761800289154053,0.5272529125213623,1015.686785159523,12649453.47717984,0.26736930291076133
1,KNeighborsRegressor,0.3052093982696533,48.252856612205505,-6216.541070082466,-61277557.2929275,-0.32808843655335956,,,,,,,,,20,,{'model__estimator__n_neighbors': 20},1,2,2,-7056.827301368195,-69351502.20066969,-0.49666466741025256,-5376.254838796737,-53203612.3851853,-0.15951220569646654,0.08667635917663574,0.539650559425354,840.2862312857287,8073944.907742195,0.168576230856893
2,KNeighborsRegressor,0.16648364067077637,13.262199521064758,-6305.779647173712,-60261174.62016178,-0.306129942963757,,,,,,,,,50,,{'model__estimator__n_neighbors': 50},2,1,1,-7094.272702640644,-67551280.56345211,-0.4578159240358224,-5517.286591706778,-52971068.67687144,-0.1544439618916916,0.027049541473388672,0.3685816526412964,788.4930554669328,7290105.943290335,0.1516859810720654
