,estimator,mean_fit_time,mean_score_time,mean_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,mean_test_r2,param_model__estimator__C,param_model__estimator__activation,param_model__estimator__alpha,param_model__estimator__gamma,param_model__estimator__hidden_layer_sizes,param_model__estimator__kernel,param_model__estimator__learning_rate,param_model__estimator__n_estimators,param_model__estimator__n_neighbors,param_model__estimator__solver,params,rank_test_neg_mean_absolute_error,rank_test_neg_mean_squared_error,rank_test_r2,split0_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split0_test_r2,split1_test_neg_mean_absolute_error,split1_test_neg_mean_squared_error,split1_test_r2,std_fit_time,std_score_time,std_test_neg_mean_absolute_error,std_test_neg_mean_squared_error,std_test_r2
0,LinearRegression,0.19130349159240723,0.38066089153289795,-550422.9620229028,-887001467062.5162,-19149.264107180014,,,,,,,,,,,{},1,1,1,-892982.2565204824,-1693277717053.6184,-36540.215256813935,-207863.66752532325,-80725217071.41386,-1758.3129575460941,3.647804260253906e-05,0.00035393238067626953,342559.29449757957,806276249991.1023,17390.95114963392
0,Lasso,0.2743985652923584,0.426438570022583,-31350.417249834856,-2083546669.6667883,-44.02154684215745,,,,,,,,,,,{},1,1,1,-47923.7901675737,-3634916895.789215,-77.44552785456618,-14777.04433209601,-532176443.5443618,-10.597565829748714,0.0005586147308349609,0.001455545425415039,16573.372917738845,1551370226.1224267,33.42398101240873
0,Ridge,0.14192306995391846,0.6270080804824829,-8920.446676507383,-135215650.24660388,-1.925841826120415,,,,,,,,,,,{},1,1,1,-11480.355257836418,-197632512.2056532,-3.2651133022551715,-6360.538095178347,-72798788.28755458,-0.5865703499856588,0.0023499727249145508,0.002670884132385254,2559.9085813290353,62416861.95904931,1.3392714761347564
0,ElasticNet,0.21678900718688965,0.3823115825653076,-6913.688823926642,-73961035.64471684,-0.6034452742605565,,,,,,,,,,,{},1,1,1,-7580.475820873985,-79303998.70420642,-0.7114333463686268,-6246.901826979299,-68618072.58522725,-0.4954572021524864,0.02451014518737793,0.0043566226959228516,666.7869969473431,5342963.059489585,0.10798807210807018
0,llars,1.2713947296142578,1.115748405456543,-24268.72928171719,-1279066347.5479243,-26.623239150969503,,,,,,,,,,,{},1,1,1,-39005.171574674685,-2377366817.4453263,-50.30688584843815,-9532.286988759695,-180765877.650522,-2.9395924535008597,0.09223246574401855,0.014530420303344727,14736.442292957496,1098300469.897402,23.683646697468642
0,ExtraTreesRegressor,2.1489607095718384,3.3636165857315063,-4749.006916062597,-39518286.57302158,0.14258146283663004,,,,,,,,16,,,{'model__estimator__n_estimators': 16},1,1,1,-4709.318067625773,-36034526.254164405,0.2223475118668797,-4788.695764499421,-43002046.89187876,0.0628154138063804,0.007074475288391113,0.05296051502227783,39.68884843682372,3483760.318857178,0.07976604903024966
1,ExtraTreesRegressor,3.771843194961548,5.743406414985657,-4763.621587276392,-39924908.38315759,0.13382263825013746,,,,,,,,32,,,{'model__estimator__n_estimators': 32},2,2,2,-4761.989082346618,-36989392.412890546,0.20174261160774407,-4765.254092206168,-42860424.35342464,0.06590266489253081,0.0532228946685791,0.10727941989898682,1.632504929775223,2935515.9702670462,0.06791997335760663
0,RandomForestRegressor,2.0565909147262573,2.726915121078491,-4938.290673619548,-41955008.57855289,0.0897043197850431,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,2,2,-4849.374373801107,-38187744.47341355,0.17587722545017895,-5027.206973437988,-45722272.68369222,0.0035314141199072704,0.02514183521270752,0.030112028121948242,88.91629981844062,3767264.1051393338,0.08617290566513584
1,RandomForestRegressor,3.7968826293945312,5.065974473953247,-4894.888877856676,-41471266.04913552,0.10023780812655479,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,1,1,-4832.995012604181,-38101060.697915226,0.1777480431431465,-4956.782743109171,-44841471.400355816,0.02272757310996309,0.025167465209960938,0.0692133903503418,61.893865252494834,3370205.351220295,0.0775102350165917
0,AdaBoostRegressor,1.4690214395523071,7.772860407829285,-5157.810820715216,-45699386.57319091,0.008600453764257967,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,2,2,-5146.738584179973,-42884415.33041053,0.07451834092278455,-5168.88305725046,-48514357.81597129,-0.05731743339426861,0.00309145450592041,0.08656942844390869,11.072236535243519,2814971.24278038,0.06591788715852658
