,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_r2,split1_test_r2,mean_test_r2,std_test_r2,rank_test_r2,estimator
0,0.11787652969360352,0.0005345344543457031,0.5549465417861938,0.0006223917007446289,{},-7548.976200621449,-6152.945203325054,-6850.960701973252,698.0154986481975,1,-90159154.87427948,-71355544.58506484,-80757349.72967216,9401805.14460732,1,-0.9456598733870182,-0.5551006043592076,-0.7503802388731129,0.1952796345139053,1,LinearRegression
0,0.164587140083313,0.014639973640441895,0.3758813142776489,0.002066493034362793,{},-8528.737178018828,-5183.185748109066,-6855.961463063946,1672.775714954881,1,-140438579.06469044,-49266264.93309114,-94852421.99889079,45586157.065799646,1,-2.0309095008766307,-0.07373346811751613,-1.0523214844970734,0.9785880163795573,1,Lasso
