,index,date,cluster,hour,data_type,capacity_factor
0,0,2007-01-30,39.0,0,load,36666.0
1,1,2007-01-30,39.0,1,load,36610.0
2,2,2007-01-30,39.0,2,load,35913.0
3,3,2007-01-30,39.0,3,load,35398.0
4,4,2007-01-30,39.0,4,load,33825.0
5,5,2007-01-30,39.0,5,load,33537.0
6,6,2007-01-30,39.0,6,load,36177.5
7,7,2007-01-30,39.0,7,load,43540.0
8,8,2007-01-30,39.0,8,load,48071.0
9,9,2007-01-30,39.0,9,load,48541.0
10,10,2007-01-30,39.0,10,load,49098.5
11,11,2007-01-30,39.0,11,load,49168.0
12,12,2007-01-30,39.0,12,load,49370.5
13,13,2007-01-30,39.0,13,load,49115.0
14,14,2007-01-30,39.0,14,load,49159.0
15,15,2007-01-30,39.0,15,load,48863.0
16,16,2007-01-30,39.0,16,load,50503.0
17,17,2007-01-30,39.0,17,load,54516.5
18,18,2007-01-30,39.0,18,load,55407.5
19,19,2007-01-30,39.0,19,load,53419.0
20,20,2007-01-30,39.0,20,load,50901.5
21,21,2007-01-30,39.0,21,load,47667.5
22,22,2007-01-30,39.0,22,load,43393.5
23,23,2007-01-30,39.0,23,load,38972.5
24,24,2009-09-19,61.0,0,load,26537.5
25,25,2009-09-19,61.0,1,load,24942.0
26,26,2009-09-19,61.0,2,load,24120.0
27,27,2009-09-19,61.0,3,load,23178.5
28,28,2009-09-19,61.0,4,load,22844.5
29,29,2009-09-19,61.0,5,load,22691.0
30,30,2009-09-19,61.0,6,load,23719.0
31,31,2009-09-19,61.0,7,load,25931.5
32,32,2009-09-19,61.0,8,load,29667.0
33,33,2009-09-19,61.0,9,load,33136.0
34,34,2009-09-19,61.0,10,load,34685.5
35,35,2009-09-19,61.0,11,load,34841.5
36,36,2009-09-19,61.0,12,load,34807.0
37,37,2009-09-19,61.0,13,load,34242.0
38,38,2009-09-19,61.0,14,load,33338.0
39,39,2009-09-19,61.0,15,load,32669.5
40,40,2009-09-19,61.0,16,load,32660.0
41,41,2009-09-19,61.0,17,load,33920.0
42,42,2009-09-19,61.0,18,load,34764.5
43,43,2009-09-19,61.0,19,load,35570.5
44,44,2009-09-19,61.0,20,load,36418.0
45,45,2009-09-19,61.0,21,load,34177.0
46,46,2009-09-19,61.0,22,load,31989.5
47,47,2009-09-19,61.0,23,load,29222.0
48,48,2011-01-08,17.0,0,load,35179.5
49,49,2011-01-08,17.0,1,load,35556.0
50,50,2011-01-08,17.0,2,load,33918.0
51,51,2011-01-08,17.0,3,load,33245.5
52,52,2011-01-08,17.0,4,load,31636.0
53,53,2011-01-08,17.0,5,load,30506.0
54,54,2011-01-08,17.0,6,load,31062.0
55,55,2011-01-08,17.0,7,load,32591.0
56,56,2011-01-08,17.0,8,load,34787.5
57,57,2011-01-08,17.0,9,load,38434.5
58,58,2011-01-08,17.0,10,load,40998.0
59,59,2011-01-08,17.0,11,load,41862.0
60,60,2011-01-08,17.0,12,load,42345.5
61,61,2011-01-08,17.0,13,load,42153.0
62,62,2011-01-08,17.0,14,load,41590.5
63,63,2011-01-08,17.0,15,load,41105.5
64,64,2011-01-08,17.0,16,load,42532.0
65,65,2011-01-08,17.0,17,load,47625.5
66,66,2011-01-08,17.0,18,load,48510.5
67,67,2011-01-08,17.0,19,load,46590.0
68,68,2011-01-08,17.0,20,load,43643.5
69,69,2011-01-08,17.0,21,load,40818.5
70,70,2011-01-08,17.0,22,load,38153.5
71,71,2011-01-08,17.0,23,load,35913.5
72,72,2012-05-09,69.0,0,load,28309.0
73,73,2012-05-09,69.0,1,load,27221.5
74,74,2012-05-09,69.0,2,load,27883.5
75,75,2012-05-09,69.0,3,load,27290.5
76,76,2012-05-09,69.0,4,load,26723.5
77,77,2012-05-09,69.0,5,load,26453.0
78,78,2012-05-09,69.0,6,load,28353.5
79,79,2012-05-09,69.0,7,load,34829.5
80,80,2012-05-09,69.0,8,load,39489.0
81,81,2012-05-09,69.0,9,load,40386.0
82,82,2012-05-09,69.0,10,load,40844.5
83,83,2012-05-09,69.0,11,load,41019.0
84,84,2012-05-09,69.0,12,load,41402.0
85,85,2012-05-09,69.0,13,load,41279.0
86,86,2012-05-09,69.0,14,load,41069.5
87,87,2012-05-09,69.0,15,load,40811.0
88,88,2012-05-09,69.0,16,load,41843.0
89,89,2012-05-09,69.0,17,load,42904.0
90,90,2012-05-09,69.0,18,load,42422.0
91,91,2012-05-09,69.0,19,load,41338.0
92,92,2012-05-09,69.0,20,load,40377.0
93,93,2012-05-09,69.0,21,load,39632.5
94,94,2012-05-09,69.0,22,load,36556.5
95,95,2012-05-09,69.0,23,load,32105.0
96,96,2012-07-12,64.0,0,load,26703.5
97,97,2012-07-12,64.0,1,load,24677.5
98,98,2012-07-12,64.0,2,load,23934.5
99,99,2012-07-12,64.0,3,load,23328.0
100,100,2012-07-12,64.0,4,load,23221.5
101,101,2012-07-12,64.0,5,load,22839.0
102,102,2012-07-12,64.0,6,load,25203.5
103,103,2012-07-12,64.0,7,load,30882.0
104,104,2012-07-12,64.0,8,load,35766.5
105,105,2012-07-12,64.0,9,load,37487.0
106,106,2012-07-12,64.0,10,load,38188.0
107,107,2012-07-12,64.0,11,load,38499.0
108,108,2012-07-12,64.0,12,load,38872.0
109,109,2012-07-12,64.0,13,load,38545.0
110,110,2012-07-12,64.0,14,load,38089.0
111,111,2012-07-12,64.0,15,load,37686.0
112,112,2012-07-12,64.0,16,load,38311.0
113,113,2012-07-12,64.0,17,load,39265.5
114,114,2012-07-12,64.0,18,load,38763.5
115,115,2012-07-12,64.0,19,load,37753.5
116,116,2012-07-12,64.0,20,load,36407.5
117,117,2012-07-12,64.0,21,load,35138.0
118,118,2012-07-12,64.0,22,load,34221.0
119,119,2012-07-12,64.0,23,load,30546.5
120,120,2013-03-06,54.0,0,load,31800.5
121,121,2013-03-06,54.0,1,load,32129.0
122,122,2013-03-06,54.0,2,load,31097.0
123,123,2013-03-06,54.0,3,load,30572.0
124,124,2013-03-06,54.0,4,load,29404.0
125,125,2013-03-06,54.0,5,load,29381.0
126,126,2013-03-06,54.0,6,load,32381.5
127,127,2013-03-06,54.0,7,load,38939.0
128,128,2013-03-06,54.0,8,load,42864.0
129,129,2013-03-06,54.0,9,load,44131.5
130,130,2013-03-06,54.0,10,load,44841.0
131,131,2013-03-06,54.0,11,load,44891.0
132,132,2013-03-06,54.0,12,load,44841.5
133,133,2013-03-06,54.0,13,load,44558.0
134,134,2013-03-06,54.0,14,load,44315.0
135,135,2013-03-06,54.0,15,load,43948.0
136,136,2013-03-06,54.0,16,load,44862.0
137,137,2013-03-06,54.0,17,load,46841.0
138,138,2013-03-06,54.0,18,load,48604.0
139,139,2013-03-06,54.0,19,load,48799.5
140,140,2013-03-06,54.0,20,load,46029.0
141,141,2013-03-06,54.0,21,load,42849.5
142,142,2013-03-06,54.0,22,load,38456.0
143,143,2013-03-06,54.0,23,load,34250.0
144,144,2013-05-27,33.0,0,load,24432.0
145,145,2013-05-27,33.0,1,load,22817.0
146,146,2013-05-27,33.0,2,load,22680.0
147,147,2013-05-27,33.0,3,load,21932.5
148,148,2013-05-27,33.0,4,load,21416.0
