,index,date,cluster,hour,data_type,capacity_factor
0,0,2008-11-04,53.0,0,load,0.343182070035461
1,1,2008-11-04,53.0,1,load,0.3363115026595745
2,2,2008-11-04,53.0,2,load,0.3081920434397163
3,3,2008-11-04,53.0,3,load,0.2867076684397163
4,4,2008-11-04,53.0,4,load,0.2476036125886525
5,5,2008-11-04,53.0,5,load,0.24517952127659576
6,6,2008-11-04,53.0,6,load,0.3278895168439716
7,7,2008-11-04,53.0,7,load,0.5148215868794326
8,8,2008-11-04,53.0,8,load,0.6209967863475178
9,9,2008-11-04,53.0,9,load,0.6513741134751773
10,10,2008-11-04,53.0,10,load,0.672761524822695
11,11,2008-11-04,53.0,11,load,0.6817514406028369
12,12,2008-11-04,53.0,12,load,0.6871537012411347
13,13,2008-11-04,53.0,13,load,0.6845495345744681
14,14,2008-11-04,53.0,14,load,0.6868628102836879
15,15,2008-11-04,53.0,15,load,0.6816960328014184
16,16,2008-11-04,53.0,16,load,0.7289588874113475
17,17,2008-11-04,53.0,17,load,0.8612311613475178
18,18,2008-11-04,53.0,18,load,0.8611341976950354
19,19,2008-11-04,53.0,19,load,0.8025404476950354
20,20,2008-11-04,53.0,20,load,0.7308011968085106
21,21,2008-11-04,53.0,21,load,0.6446143617021277
22,22,2008-11-04,53.0,22,load,0.5321226728723404
23,23,2008-11-04,53.0,23,load,0.41514295212765956
24,24,2010-08-12,65.0,0,load,0.17026662596041317
25,25,2010-08-12,65.0,1,load,0.11467714852694245
26,26,2010-08-12,65.0,2,load,0.0953925609321732
27,27,2010-08-12,65.0,3,load,0.08179412812293288
28,28,2010-08-12,65.0,4,load,0.07640054953442223
29,29,2010-08-12,65.0,5,load,0.08075103037704168
30,30,2010-08-12,65.0,6,load,0.11848063908817992
31,31,2010-08-12,65.0,7,load,0.24137536254007022
32,32,2010-08-12,65.0,8,load,0.3695746196509439
33,33,2010-08-12,65.0,9,load,0.444664936650893
34,34,2010-08-12,65.0,10,load,0.47038620058006414
35,35,2010-08-12,65.0,11,load,0.483819264234468
36,36,2010-08-12,65.0,12,load,0.4951025288759986
37,37,2010-08-12,65.0,13,load,0.4868467918383962
38,38,2010-08-12,65.0,14,load,0.4732738004375922
39,39,2010-08-12,65.0,15,load,0.46906324734137284
40,40,2010-08-12,65.0,16,load,0.46959751691853663
41,41,2010-08-12,65.0,17,load,0.4832468325446497
42,42,2010-08-12,65.0,18,load,0.47104767719940976
43,43,2010-08-12,65.0,19,load,0.4347300666564901
44,44,2010-08-12,65.0,20,load,0.40509082582811784
45,45,2010-08-12,65.0,21,load,0.4099755762479011
46,46,2010-08-12,65.0,22,load,0.36690327176512494
47,47,2010-08-12,65.0,23,load,0.27121813463593347
48,48,2011-11-09,32.0,0,load,0.3029104467032422
49,49,2011-11-09,32.0,1,load,0.2863947603453409
50,50,2011-11-09,32.0,2,load,0.24861424176696578
51,51,2011-11-09,32.0,3,load,0.22251520435503763
52,52,2011-11-09,32.0,4,load,0.19733764300599668
53,53,2011-11-09,32.0,5,load,0.20764399835551964
54,54,2011-11-09,32.0,6,load,0.30024525439827615
55,55,2011-11-09,32.0,7,load,0.497171777314677
56,56,2011-11-09,32.0,8,load,0.6085002622662641
57,57,2011-11-09,32.0,9,load,0.6373353747572265
58,58,2011-11-09,32.0,10,load,0.6564737237556529
59,59,2011-11-09,32.0,11,load,0.664511830334992
60,60,2011-11-09,32.0,12,load,0.6730744694424361
61,61,2011-11-09,32.0,13,load,0.67040927713747
62,62,2011-11-09,32.0,14,load,0.6643700647868555
63,63,2011-11-09,32.0,15,load,0.6560767802208707
64,64,2011-11-09,32.0,16,load,0.7164972568366436
65,65,2011-11-09,32.0,17,load,0.8527906548150669
66,66,2011-11-09,32.0,18,load,0.8443130750365047
67,67,2011-11-09,32.0,19,load,0.7899176342165327
68,68,2011-11-09,32.0,20,load,0.711790640638512
69,69,2011-11-09,32.0,21,load,0.6187357348417187
70,70,2011-11-09,32.0,22,load,0.503678815974142
71,71,2011-11-09,32.0,23,load,0.3808389685138718
72,72,2012-02-18,31.0,0,load,0.34781352738077226
73,73,2012-02-18,31.0,1,load,0.34286146608525797
74,74,2012-02-18,31.0,2,load,0.296202044100857
75,75,2012-02-18,31.0,3,load,0.2707264398806003
76,76,2012-02-18,31.0,4,load,0.222691445314112
77,77,2012-02-18,31.0,5,load,0.20603326134503486
78,78,2012-02-18,31.0,6,load,0.22844133870723687
79,79,2012-02-18,31.0,7,load,0.29144256296683496
80,80,2012-02-18,31.0,8,load,0.35185771077210887
81,81,2012-02-18,31.0,9,load,0.4651086014553558
82,82,2012-02-18,31.0,10,load,0.5239555965170503
83,83,2012-02-18,31.0,11,load,0.5397059025819497
84,84,2012-02-18,31.0,12,load,0.5495550022696948
85,85,2012-02-18,31.0,13,load,0.5396096125012037
86,86,2012-02-18,31.0,14,load,0.5213695200627261
87,87,2012-02-18,31.0,15,load,0.5090168782755822
88,88,2012-02-18,31.0,16,load,0.5088105423882692
89,89,2012-02-18,31.0,17,load,0.5807667441572555
90,90,2012-02-18,31.0,18,load,0.6862181383000674
91,91,2012-02-18,31.0,19,load,0.6684732519911413
92,92,2012-02-18,31.0,20,load,0.5949076303011128
93,93,2012-02-18,31.0,21,load,0.519099825302282
94,94,2012-02-18,31.0,22,load,0.44707484490419136
95,95,2012-02-18,31.0,23,load,0.380428353302062
96,96,2012-07-26,82.0,0,load,0.21502950603188578
97,97,2012-07-26,82.0,1,load,0.15897492331182855
98,98,2012-07-26,82.0,2,load,0.13600286119097074
99,99,2012-07-26,82.0,3,load,0.11794159318816458
100,100,2012-07-26,82.0,4,load,0.1090829057595224
101,101,2012-07-26,82.0,5,load,0.10510750099729012
102,102,2012-07-26,82.0,6,load,0.15235841919198867
103,103,2012-07-26,82.0,7,load,0.28219871521520834
104,104,2012-07-26,82.0,8,load,0.41505151519319916
105,105,2012-07-26,82.0,9,load,0.49531617535799277
106,106,2012-07-26,82.0,10,load,0.5190723138506403
107,107,2012-07-26,82.0,11,load,0.5266929859554039
108,108,2012-07-26,82.0,12,load,0.5327042381391254
109,109,2012-07-26,82.0,13,load,0.5279310012792825
110,110,2012-07-26,82.0,14,load,0.5171465122357182
111,111,2012-07-26,82.0,15,load,0.5114929089233393
112,112,2012-07-26,82.0,16,load,0.518233214575567
113,113,2012-07-26,82.0,17,load,0.5294303753937577
114,114,2012-07-26,82.0,18,load,0.5099522676314016
115,115,2012-07-26,82.0,19,load,0.47154628113952435
116,116,2012-07-26,82.0,20,load,0.4398806002998748
117,117,2012-07-26,82.0,21,load,0.4256021568978087
118,118,2012-07-26,82.0,22,load,0.41652337785603255
119,119,2012-07-26,82.0,23,load,0.3179498466236571
120,120,2012-11-07,26.0,0,load,0.3059823651594976
121,121,2012-11-07,26.0,1,load,0.3121036631497861
122,122,2012-11-07,26.0,2,load,0.27862222650178137
123,123,2012-11-07,26.0,3,load,0.2612212333383771
124,124,2012-11-07,26.0,4,load,0.23314579693797544
125,125,2012-11-07,26.0,5,load,0.23929460637990563
126,126,2012-11-07,26.0,6,load,0.3291882746193103
127,127,2012-11-07,26.0,7,load,0.5170639778807928
128,128,2012-11-07,26.0,8,load,0.6167104557271964
129,129,2012-11-07,26.0,9,load,0.633753800019258
130,130,2012-11-07,26.0,10,load,0.6476608388241606
131,131,2012-11-07,26.0,11,load,0.6481010220504285
132,132,2012-11-07,26.0,12,load,0.6538371597177325
133,133,2012-11-07,26.0,13,load,0.6445382890628224
134,134,2012-11-07,26.0,14,load,0.6390772659119358
135,135,2012-11-07,26.0,15,load,0.6372477543777597
136,136,2012-11-07,26.0,16,load,0.6999325969434778
137,137,2012-11-07,26.0,17,load,0.8376686795878785
138,138,2012-11-07,26.0,18,load,0.8355227863598222
139,139,2012-11-07,26.0,19,load,0.779041776139318
140,140,2012-11-07,26.0,20,load,0.6993686121848219
141,141,2012-11-07,26.0,21,load,0.6017992489373701
142,142,2012-11-07,26.0,22,load,0.4838714114750265
143,143,2012-11-07,26.0,23,load,0.3692174367580505
144,144,2015-08-27,43.0,0,load,0.18097678846013032
145,145,2015-08-27,43.0,1,load,0.11815186351321666
146,146,2015-08-27,43.0,2,load,0.09472065607380831
147,147,2015-08-27,43.0,3,load,0.07828952185692319
148,148,2015-08-27,43.0,4,load,0.07896316907080618
149,149,2015-08-27,43.0,5,load,0.09104488540675111
150,150,2015-08-27,43.0,6,load,0.15608113055575895
151,151,2015-08-27,43.0,7,load,0.2867394010397598
152,152,2015-08-27,43.0,8,load,0.4052720216738669
153,153,2015-08-27,43.0,9,load,0.43986234165629345
154,154,2015-08-27,43.0,10,load,0.44668668082302115
155,155,2015-08-27,43.0,11,load,0.43716775280076153
156,156,2015-08-27,43.0,12,load,0.4351175221498133
157,157,2015-08-27,43.0,13,load,0.4144834150984843
158,158,2015-08-27,43.0,14,load,0.3964560298747895
159,159,2015-08-27,43.0,15,load,0.3841253569598008
160,160,2015-08-27,43.0,16,load,0.4015962510068097
161,161,2015-08-27,43.0,17,load,0.43952551804935197
162,162,2015-08-27,43.0,18,load,0.461624075565644
163,163,2015-08-27,43.0,19,load,0.468038368602182
164,164,2015-08-27,43.0,20,load,0.47136267115764807
165,165,2015-08-27,43.0,21,load,0.49218715676942226
166,166,2015-08-27,43.0,22,load,0.39960459837446
167,167,2015-08-27,43.0,23,load,0.28663688950721244
168,168,2015-11-25,33.0,0,load,0.31703888115984474
169,169,2015-11-25,33.0,1,load,0.30008054477557294
170,170,2015-11-25,33.0,2,load,0.2657684703814893
171,171,2015-11-25,33.0,3,load,0.24743355056015232
172,172,2015-11-25,33.0,4,load,0.22196675697444535
173,173,2015-11-25,33.0,5,load,0.2305777257084279
174,174,2015-11-25,33.0,6,load,0.3339679285348173
175,175,2015-11-25,33.0,7,load,0.5483341875961045
176,176,2015-11-25,33.0,8,load,0.6655780918210441
177,177,2015-11-25,33.0,9,load,0.6838544336237826
178,178,2015-11-25,33.0,10,load,0.693505162187889
179,179,2015-11-25,33.0,11,load,0.6750384418247053
180,180,2015-11-25,33.0,12,load,0.6618290986307388
181,181,2015-11-25,33.0,13,load,0.6596324229332943
182,182,2015-11-25,33.0,14,load,0.6665153401186205
183,183,2015-11-25,33.0,15,load,0.6845720143516145
184,184,2015-11-25,33.0,16,load,0.7725708427912426
185,185,2015-11-25,33.0,17,load,0.881028044226404
186,186,2015-11-25,33.0,18,load,0.8730614336970052
187,187,2015-11-25,33.0,19,load,0.8398476971516439
188,188,2015-11-25,33.0,20,load,0.7689536501427839
189,189,2015-11-25,33.0,21,load,0.6708354689902614
190,190,2015-11-25,33.0,22,load,0.5395914183202754
191,191,2015-11-25,33.0,23,load,0.41310683166141904
192,0,2008-11-04,53.0,0,offshore,0.2116
193,1,2008-11-04,53.0,1,offshore,0.2017
194,2,2008-11-04,53.0,2,offshore,0.1997
195,3,2008-11-04,53.0,3,offshore,0.2066
196,4,2008-11-04,53.0,4,offshore,0.2145
197,5,2008-11-04,53.0,5,offshore,0.225
198,6,2008-11-04,53.0,6,offshore,0.22699999999999998
199,7,2008-11-04,53.0,7,offshore,0.2278
200,8,2008-11-04,53.0,8,offshore,0.2177
201,9,2008-11-04,53.0,9,offshore,0.1891
202,10,2008-11-04,53.0,10,offshore,0.1661
203,11,2008-11-04,53.0,11,offshore,0.1394
204,12,2008-11-04,53.0,12,offshore,0.1165
205,13,2008-11-04,53.0,13,offshore,0.1059
206,14,2008-11-04,53.0,14,offshore,0.10400000000000001
207,15,2008-11-04,53.0,15,offshore,0.1164
208,16,2008-11-04,53.0,16,offshore,0.1486
209,17,2008-11-04,53.0,17,offshore,0.1808
210,18,2008-11-04,53.0,18,offshore,0.1997
211,19,2008-11-04,53.0,19,offshore,0.2139
212,20,2008-11-04,53.0,20,offshore,0.217
213,21,2008-11-04,53.0,21,offshore,0.2162
214,22,2008-11-04,53.0,22,offshore,0.2092
215,23,2008-11-04,53.0,23,offshore,0.2064
216,24,2010-08-12,65.0,0,offshore,0.36700000000000005
217,25,2010-08-12,65.0,1,offshore,0.3748
218,26,2010-08-12,65.0,2,offshore,0.3728
