Wall time,Step,Value
1591095909.1473758,1000,300.0
1591096374.75001,2000,300.0
1591096833.018613,3000,300.0
1591097300.2245803,4000,300.0
1591097769.7301226,5000,300.0
1591098230.7229161,6000,300.0
1591098698.8735597,7000,300.0
1591099168.0229511,8000,300.0
1591099635.8069527,9000,300.0
1591100112.1171126,10000,300.0
1591100581.3012538,11000,300.0
1591101035.8624835,12000,300.0
1591101502.953147,13000,300.0
1591101966.0321708,14000,300.0
1591102422.2945497,15000,300.0
1591102892.1854935,16000,300.0
1591103360.8951428,17000,300.0
1591103817.5654619,18000,300.0
1591104283.836896,19000,300.0
1591104754.1387749,20000,300.0
1591105212.3917682,21000,300.0
1591105682.0156593,22000,300.0
1591106146.7920501,23000,300.0
1591106610.4873555,24000,300.0
1591107084.012511,25000,300.0
1591107553.240015,26000,300.0
1591108015.2451549,27000,300.0
1591108483.369528,28000,300.0
1591108954.1949046,29000,300.0
1591109410.107933,30000,300.0
1591109875.41607,31000,300.0
1591110352.7949111,32000,300.0
1591110811.481586,33000,300.0
1591111284.0229638,34000,300.0
1591111752.5124528,35000,300.0
1591112213.406768,36000,300.0
1591112680.2083757,37000,300.0
1591113147.680743,38000,300.0
1591113608.9863205,39000,300.0
1591114087.4012804,40000,300.0
1591114557.1755111,41000,300.0
1591115018.0983973,42000,300.0
1591115491.0460086,43000,300.0
1591115961.193262,44000,300.0
1591116420.5127993,45000,300.0
1591116891.1836708,46000,300.0
1591117363.1937337,47000,300.0
1591117824.040304,48000,300.0
1591118293.336803,49000,300.0
1591118759.026878,50000,300.0
1591119218.6721616,51000,300.0
1591119689.4858472,52000,300.0
1591120156.1904995,53000,300.0
1591120601.979667,54000,300.0
1591121063.4025733,55000,300.0
1591121522.3268492,56000,300.0
1591121974.223223,57000,300.0
1591122436.18043,58000,300.0
1591122894.4507458,59000,300.0
1591123341.9207408,60000,300.0
1591123802.6987245,61000,300.0
1591124261.7048328,62000,300.0
1591124716.3364885,63000,300.0
1591125176.1436203,64000,300.0
1591125634.6433055,65000,300.0
1591126084.7510266,66000,300.0
1591126543.561622,67000,300.0
1591127004.5917232,68000,300.0
1591127450.2206655,69000,300.0
1591127908.6301675,70000,300.0
1591128370.2472491,71000,300.0
1591128821.4516277,72000,300.0
1591129281.7939026,73000,300.0
1591129741.6923692,74000,300.0
1591130192.7058609,75000,300.0
1591130650.734546,76000,300.0
1591131112.9719708,77000,300.0
1591131565.284095,78000,300.0
1591132029.6045408,79000,300.0
1591132489.5895846,80000,300.0
1591132938.0292344,81000,300.0
1591133400.8551698,82000,300.0
1591133857.683802,83000,300.0
1591134306.2207143,84000,300.0
1591134768.2371805,85000,300.0
1591135225.5011897,86000,300.0
1591135680.984547,87000,300.0
1591136141.4161186,88000,300.0
1591136602.7037966,89000,300.0
1591137050.481082,90000,300.0
1591137504.9681175,91000,300.0
1591137964.3353648,92000,300.0
