,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,1180.0,0,6283.299999999998,0,10.6,2324.0,0,10,1856769379.7292116,4.802653118121277,0
1,1180.0,0,6283.299999999998,0,10.6,2324.0,0,10,1138454786.776477,4.802653118121277,0
2,1180.0,0,6274.899999999998,0,10.6,2324.0,0,10,389407828.1320183,4.8136122083807305,0
3,1180.0,0,6274.899999999998,0,10.6,2324.0,0,10,-384352521.2572668,4.8136122083807305,0
4,1180.0,0,6274.899999999998,0,10.6,2324.0,0,10,-1176496283.491751,4.8136122083807305,0
5,1180.0,0,6274.899999999998,0,10.6,2324.0,0,10,-1984069585.9533234,4.8136122083807305,0
6,1180.0,0,6272.899999999998,0,10.6,2324.0,0,10,-2805278713.3686137,4.8155540277481474,0
7,1180.0,0,6272.899999999998,0,10.6,2324.0,0,10,-3629722395.4130697,4.8155540277481474,0
8,1180.0,0,3516.300000000001,0,10.6,1074.0,0,10,-4641702248.006291,4.8155540277481474,0
9,1180.0,0,2781.9,0,10.6,1074.0,0,10,-5685351425.552805,4.823243193533995,0
10,1180.0,0,2656.1,0,10.6,1074.0,0,10,-6736428698.445344,4.8252797213199,0
11,1180.0,0,2492.3,0,10.6,1074.0,0,10,-7792953684.573909,4.8252797213199,0
12,0.0,0,2070.0,0,10.6,1074.0,0,10,-8939520831.064718,4.8252797213199,0
13,0.0,0,1679.2,0,10.6,1074.0,0,10,-10108165931.373533,4.837663087206815,0
14,0.0,0,1663.3999999999999,0,10.6,1074.0,0,10,-11277535434.254728,4.840397230971321,0
15,0.0,0,1630.3,0,10.6,1074.0,0,10,-12445532827.955433,4.849235736377716,0
16,0.0,0,1431.2,0,10.6,0.0,0,10,-13756562218.662523,4.879689245208827,0
17,0.0,0,1428.8999999999999,0,10.6,0.0,0,10,-15068147515.848635,4.879689245208827,0
18,0.0,0,1398.3,0,10.6,0.0,0,10,-16394823331.01626,4.906139050335242,0
19,0.0,0,1348.8,0,10.6,0.0,0,10,-17720953567.285633,4.917098140594695,0
20,0.0,0,1243.8000000000002,0,10.6,0.0,0,10,-19077713676.950737,304.6802393621957,0
21,0.0,0,1243.8000000000002,0,10.6,0.0,0,10,-20440524501.35507,304.68884071883514,0
22,0.0,0,1228.8000000000002,0,10.6,0.0,0,10,-21819567830.879745,304.71249993832464,0
23,0.0,0,1069.6999999999998,0,10.6,0.0,0,10,-23305375471.50544,304.79248759467004,0
24,0.0,0,1054.6999999999998,0,10.6,0.0,0,10,-24818071583.30336,304.83543506102853,0
25,0.0,0,978.4,0,0.6,0.0,0,10,-26359482690.58997,304.8607442409794,0
26,0.0,0,889.3,0,0.0,0.0,0,10,-28052700086.027714,304.9701113983357,0
27,0.0,0,795.5999999999999,0,0.0,0.0,0,10,-29814934723.71614,305.0430083049102,0
28,0.0,0,707.1,0,0.0,0.0,0,10,-31602556880.096287,305.07469434511773,0
29,0.0,0,456.8,0,0.0,0.0,0,10,-33311093176.089745,604.8383595085721,0
30,0.0,0,0.0,0,0.0,0.0,0,10,-35220341210.76704,604.8766449599714,0
31,0.0,0,0.0,0,0.0,0.0,0,10,-36603225591.090004,1204.3713763659762,0
32,0.0,0,0.0,0,0.0,0.0,0,10,-38135028697.80939,1204.411663762823,0
33,0.0,0,0.0,0,0.0,0.0,0,10,-38214889500.10014,2103.6061297238457,0
34,0.0,0,0.0,0,0.0,0.0,0,10,-38058653205.655685,2403.3284815120523,0
35,0.0,0,0.0,0,0.0,0.0,0,10,-37224843860.47054,3302.4988339061397,0
36,0.0,0,0.0,0,0.0,0.0,0,10,-36695775777.78026,3302.4988339061397,0
37,0.0,0,0.0,0,0.0,0.0,0,10,-36166456045.70247,3302.4988339061397,0
38,0.0,0,0.0,0,0.0,0.0,0,10,-35826565421.9155,3602.221185694347,0
39,0.0,0,0.0,0,0.0,0.0,0,10,-35485537276.076164,3602.221185694347,0
