,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,1024.0,560.0,361.6,0,116.80000000000001,0,851.0,10,28010108313.165096,63.718227534120174,0
1,2495.0,560.0,1301.6,0,180.8,0,911.0,10,-12188440368.331089,49.285330188494974,0
2,2495.0,560.0,1294.3000000000002,0,244.8,0,911.0,10,-16213586735.651632,46.63213206400536,0
3,2495.0,560.0,1288.4,0,292.79999999999995,0,911.0,10,-20102038697.24489,45.34105602561901,0
4,2495.0,560.0,1288.4,0,340.79999999999995,0,1051.0,10,-24491588443.484726,47.64703524733879,0
5,2495.0,560.0,1288.4,0,420.79999999999995,0,1191.0,10,-29098852871.366127,47.41904315694391,0
6,2495.0,560.0,1288.4,0,452.79999999999995,0,1278.0,10,-33448790624.962208,45.02132061645409,0
7,55451.0,560.0,90828.40000000001,0,468.79999999999995,0,898.0,10,-400852405868.51764,8.279703787155306,0
8,54427.0,560.0,91228.40000000001,0,516.8,0,918.0,10,-763676139239.5785,8.279703787155306,0
9,54427.0,560.0,91688.40000000001,0,516.8,0,876.0,10,-1033949231255.859,8.145686981028657,0
10,55898.0,0.0,92341.59999999999,0,564.8,0,976.0,10,-1183589633566.456,7.708689324856927,0
11,57369.0,0.0,93232.59999999999,0,628.8,0,1000.0,10,-1237403532955.033,7.398840178268419,0
12,58840.0,0.0,94072.59999999999,0,660.8,0,960.0,10,-1291086864941.338,7.398840178268419,0
13,60311.0,0.0,94540.49999999999,0,724.8,0,860.0,10,-1343721988920.6838,7.329100483938977,0
14,58840.0,0.0,98000.49999999999,0,772.8,0,900.0,10,-1351532947393.301,6.637131481326257,0
15,7084.0,0.0,102660.49999999999,0,884.8000000000001,0,840.0,10,-1376401663803.5076,4.829468763221721,0
16,8284.0,0.0,106889.9,0,964.8000000000001,0,900.0,10,-1400761900008.7656,4.829468763221721,0
17,9484.0,0.0,111589.9,0,1044.8000000000002,0,820.0,10,-1417371137027.4277,3.4572380176875113,0
18,9213.0,0.0,116309.9,0,1092.8000000000002,0,800.0,10,-1433624375543.6877,3.4572380176875113,0
19,8942.0,0.0,121013.0,0,1124.8000000000002,0,700.0,10,-1449367854278.8682,3.341237693696462,0
20,7471.0,0.0,125256.3,0,1220.8000000000002,0,620.0,10,-1464595809426.8518,3.2907276416715496,0
21,6000.0,0.0,37856.3,0,1268.8000000000002,0,600.0,10,-1481274706678.6682,3.2907276416715496,0
22,6000.0,0.0,36471.3,0,1348.8000000000002,0,480.0,10,-1483640432396.2888,2.7394194327665113,0
23,4800.0,0.0,37372.5,0,1380.8000000000002,0,540.0,10,-1484338161178.386,2.660559244481235,0
24,3600.0,0.0,35132.5,0,1396.8000000000002,0,520.0,10,-1485099405692.5427,2.660559244481235,0
25,2400.0,0.0,33032.5,0,1440.0,0,580.0,10,-1485886715809.8635,2.660559244481235,0
26,1200.0,0.0,31032.5,0,1376.4,0,560.0,10,-1486727991437.862,2.2887078158217333,0
27,0.0,0.0,33892.5,0,1360.4,0,580.0,10,-1487128348710.2456,2.170919622155723,0
28,0.0,0.0,25312.5,0,1328.4,0,700.0,10,-1487725818354.514,2.170919622155723,0
29,0.0,0.0,23692.5,0,1296.4,0,680.0,10,-1488297839322.5679,2.170919622155723,0
30,0.0,0.0,24820.0,0,1280.0,0,640.0,10,-1488826451403.3708,2.170919622155723,0
31,0.0,0.0,25020.0,0,1248.0,0,540.0,10,-1489725157949.5723,2.201165805905647,0
32,0.0,0.0,19020.0,0,1264.0,0,580.0,10,-1490726069182.6152,2.201165805905647,0
33,0.0,0.0,15340.0,0,1248.0,0,580.0,10,-1491737227924.8728,2.201165805905647,0
34,0.0,0.0,16640.0,0,1216.0,0,640.0,10,-1492669336298.8015,2.201165805905647,0
35,0.0,0.0,17060.0,0,1248.0,0,700.0,10,-1493499933708.38,2.2078673352226628,0
36,0.0,0.0,16860.0,0,1248.0,0,640.0,10,-1494346114035.2744,2.2078673352226628,0
37,0.0,0.0,16800.0,0,1232.0,0,620.0,10,-1495199307367.112,2.2078673352226628,0
38,0.0,0.0,16740.0,0,1216.0,0,720.0,10,-1496054454751.0571,2.2078673352226628,0
39,0.0,0.0,16540.0,0,1232.0,0,780.0,10,-1496907528461.1238,2.2078673352226628,0
