,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass
0,266003.2800000002,294156.499999999,12574.927903999946,12490.430519999998,0.0,163428.8815487999,1955.5200000000007,0
1,148954.31999999992,296479.0999999989,12663.542544999951,12497.15424,0.0,163428.8815487999,0.0,0
2,267669.3600000002,290201.75999999896,11658.160728000055,12340.267439999987,0.0,163428.8815487999,1955.5200000000007,0
3,296054.6400000002,296054.07999999897,12562.865177999984,12522.928499999995,0.0,163428.8815487999,3259.1999999999957,0
4,121624.55999999994,171715.1900000001,12519.602401999951,12497.15424,0.0,150520.3940799999,0.0,0
5,278110.8000000002,309958.0799999989,12663.542544999957,12497.15424,0.0,163428.8815487999,3041.9199999999964,0
6,72714.95999999992,227057.0600000001,15401.362597999994,14368.869794999993,0.0,142697.31404879992,0.0,0
7,112979.51999999992,232963.10000000012,18636.226753000014,16175.309234999995,0.0,153559.54973519992,0.0,0
8,201065.04000000007,283245.51999999944,52647.487200000076,12490.430519999998,0.0,163428.8815487999,1226.0800000000004,0
9,120926.87999999989,250808.2099999996,53018.490375000176,12497.15424,0.0,163428.8815487999,0.0,0
10,221159.52000000016,264383.0599999995,48809.25539999878,12340.267439999987,0.0,163428.8815487999,1769.2800000000007,0
11,243102.2400000002,277065.9999999994,52596.9841500001,12522.928499999995,0.0,163428.8815487999,2382.319999999996,0
12,42590.15999999994,197983.7500000001,52714.05383800019,12497.15424,0.0,139741.45322479992,0.0,0
13,229682.88000000015,290540.3799999991,53018.490375000176,12497.15424,0.0,163428.8815487999,1839.1200000000006,0
14,54115.919999999955,199255.65000000008,63978.71864300009,13985.454354999994,0.0,127237.64595359995,0.0,0
15,71513.99999999993,212551.35000000006,77498.56040700023,16054.929034999996,0.0,128984.62604159994,0.0,0
16,208000.80000000008,229986.60000000015,59417.38880000009,12490.430519999998,0.0,163428.8815487999,1235.7800000000004,0
17,114621.83999999988,217982.13000000012,59836.09900000017,12497.15424,0.0,163428.8815487999,0.0,0
18,209943.36000000013,234430.11999999985,55085.60159999873,12340.267439999987,0.0,163428.8815487999,1769.2800000000007,0
19,229759.20000000024,242338.44000000012,59360.391600000075,12522.928499999995,0.0,163428.8815487999,2944.9199999999955,0
20,86633.99999999994,128502.9700000001,59448.51726400018,12497.15424,0.0,134911.09013759994,0.0,0
21,219466.8000000001,252798.22000000012,59836.09900000017,12497.15424,0.0,163428.8815487999,1769.2800000000007,0
22,50303.51999999995,173358.39000000013,72005.41568100004,13985.454354999994,0.0,124970.99457359998,0.0,0
23,84781.43999999996,171296.48000000007,86787.46722900019,15972.464094999996,0.0,124062.12265439994,0.0,0
24,190575.36000000007,204122.0000000001,59693.44304000004,12490.430519999998,0.0,163428.8815487999,4041.019999999995,0
25,187208.64000000013,100236.49000000008,60114.09857500009,12497.15424,0.0,163428.8815487999,1216.3800000000006,0
26,207799.20000000007,193386.59999999995,55341.53027999874,12340.267439999987,0.0,163428.8815487999,5709.419999999994,0
27,297055.4400000001,122995.0900000001,59636.18103000002,12522.928499999995,0.0,163428.8815487999,9748.500000000056,0
28,74261.51999999995,123622.34999999995,59682.33256300012,12497.15424,0.0,132362.12087839993,0.0,0
29,284269.6800000001,132574.22000000015,60114.09857500009,12497.15424,0.0,163428.8815487999,8572.859999999986,0
30,100627.19999999988,96779.74000000003,72164.56678200002,13985.454354999994,0.0,124970.99457359998,0.0,0
31,134589.59999999995,78447.79000000005,86918.59008300022,15972.464094999996,0.0,123192.31822239995,0.0,0
32,204939.12,125922.18000000015,97959.81888000008,12490.430519999998,3406.892736,162706.5015967999,1105.8000000000004,0
33,148994.63999999996,83443.60000000006,98640.19628000015,12497.15424,3372.0470399999995,161409.16617279992,0.0,0
34,203083.44,139119.78,90798.23089199926,12340.267439999987,1791.6495360000006,159281.83092639988,562.6000000000001,0
35,241959.6,119667.62000000005,97865.84915999927,12522.928499999995,3443.190336000001,162706.5015967999,2944.9199999999955,0
36,96586.55999999988,54043.90000000005,97314.65936700004,12314.03224,3372.0470399999986,124084.23632639994,0.0,0
37,201313.44,163796.22999999998,98650.13490000015,12497.15424,3372.04704,163428.8815487999,562.6000000000001,0
38,107431.91999999993,46511.38000000003,99879.06272300026,12832.765015,4865.69328,119576.73285039999,0.0,0
39,108619.19999999988,76423.85000000006,130872.09648700025,15157.095529999995,8041.370304000001,109812.80954000005,0.0,0
40,189321.1200000001,127899.42000000006,104726.92144799967,12490.430519999998,3466.6627839999987,161047.97619679992,0.0,0
41,104116.31999999998,111651.44000000006,105461.97571100002,12497.15424,3431.2057599999994,160164.9035615999,0.0,0
42,162486.72000000015,174666.6200000001,97012.87403399631,12340.267439999987,1823.0819840000006,156959.8953663999,0.0,0
43,154600.56000000008,199401.94,104626.13088199982,12522.928499999995,3503.597184000001,161047.97619679992,0.0,0
44,73011.59999999992,57893.57000000003,103539.43774799992,12314.03224,3431.205759999999,120675.0452264,0.0,0
45,221054.4,128361.98000000005,105475.68637000001,12497.15424,3431.2057600000003,162706.5015967999,0.0,0
46,78364.07999999996,58278.57000000005,101826.79003400024,12581.127304999998,4951.056320000001,118566.8751624,0.0,0
47,97813.43999999992,67134.99000000003,134994.62810899998,14872.144929999995,8182.446976,108062.14384000006,0.0,0
48,261754.5600000004,296527.28999999893,12574.927903999946,12490.430519999998,0.0,163428.8815487999,1955.5200000000007,0
49,160164.00000000006,284311.5199999993,12663.542544999951,12497.15424,0.0,163428.8815487999,0.0,0
50,271430.64000000013,290094.3199999991,11658.160728000055,12340.267439999987,0.0,163428.8815487999,2498.719999999997,0
51,293051.5200000002,301170.1199999989,12562.865177999984,12522.928499999995,0.0,163428.8815487999,3259.1999999999957,0
52,74417.75999999995,221072.81000000008,12519.602401999951,12497.15424,0.0,150520.3940799999,0.0,0
53,285876.0000000002,310937.6799999989,12663.542544999957,12497.15424,0.0,163428.8815487999,1955.5200000000007,0
54,101460.23999999986,198229.17000000007,15401.362597999994,14368.869794999993,0.0,142697.31404879992,0.0,0
55,112517.27999999984,235073.19,18636.226753000014,16175.309234999995,0.0,152346.98338719993,0.0,0
56,247321.44000000032,269280.5600000002,14683.456479999986,12490.430519999998,0.0,163428.8815487999,1788.6800000000005,0
57,184034.88000000012,222723.44999999972,14786.929774999966,12497.15424,0.0,163428.8815487999,0.0,0
58,241607.5200000003,281045.23999999947,13612.968360000104,12340.267439999987,0.0,163428.8815487999,1839.1200000000006,0
59,257120.64,296214.8199999992,14669.371110000007,12522.928499999995,0.0,163428.8815487999,2944.9199999999955,0
60,66075.11999999995,205855.12000000023,14624.059596999969,12497.15424,0.0,146987.36641679992,0.0,0
61,249909.12000000023,303127.3199999991,14786.929774999968,12497.15424,0.0,163428.8815487999,1839.1200000000006,0
62,75819.59999999995,199324.98000000027,18074.759616,14368.869794999993,0.0,140914.9520855999,0.0,0
63,88735.67999999993,229083.3100000002,21784.798835000038,16175.309234999995,0.0,150166.57532799992,0.0,0
64,224776.08000000016,243551.3700000001,32285.200640000035,12490.430519999998,0.0,163428.8815487999,1778.9800000000007,0
65,101955.59999999985,260239.8,32512.712199999954,12497.15424,0.0,163428.8815487999,0.0,0
66,229451.76000000013,237169.74999999968,29931.468479999883,12340.267439999987,0.0,163428.8815487999,1778.9800000000007,0
67,236424.2400000001,265957.81999999995,32254.23048000008,12522.928499999995,0.0,163428.8815487999,2382.319999999996,0
68,54333.359999999964,181689.63000000012,32257.574942999938,12497.15424,0.0,141823.8240047999,0.0,0
69,227245.68000000017,273981.05999999965,32512.71219999995,12497.15424,0.0,163428.8815487999,1829.4200000000005,0
70,75136.31999999995,167689.25000000006,39341.97779999992,14368.869794999993,0.0,130875.34499759994,0.0,0
71,143048.87999999974,126668.92999999988,47795.6599139999,16175.309234999995,0.0,139414.90800159992,0.0,0
72,212654.8800000001,202953.7400000001,34401.61647999998,12490.430519999998,0.0,163428.8815487999,8002.499999999992,0
73,136985.75999999995,186215.2200000002,34644.04227499992,12497.15424,0.0,163428.8815487999,1105.8000000000004,0
74,261133.2000000002,150795.89,31893.588359999965,12340.267439999987,0.0,163428.8815487999,8503.019999999988,0
75,271814.4,174456.8599999999,34368.61611000004,12522.928499999995,0.0,163428.8815487999,9048.160000000013,0
76,96788.8799999999,110981.10999999988,34349.961263999925,12497.15424,0.0,140611.25765679992,0.0,0
77,262365.84000000014,184428.3800000002,34644.042274999934,12497.15424,0.0,163428.8815487999,8392.439999999988,0
78,132992.63999999996,68526.18000000005,41225.42262899986,14368.869794999993,0.0,129640.66497759994,0.0,0
79,159980.40000000008,75784.92000000003,50887.05932299992,16175.309234999995,0.0,135578.18590959994,0.0,0
80,236123.76000000013,131436.14999999985,46850.34815999992,12490.430519999998,14837.914415999943,163428.8815487999,1668.4000000000005,0
81,198835.2,66221.68000000005,47180.499299999836,12497.15424,14686.152240000018,163428.8815487999,0.0,0
82,264543.36000000016,111657.70999999992,43434.753119999456,12340.267439999987,7803.10521599999,163428.8815487999,1829.4200000000005,0
83,235371.84000000003,169473.32000000024,46805.406119999934,12522.928499999995,14996.00001600011,163428.8815487999,0.0,0
84,96767.03999999988,78317.76999999996,46744.276525999856,12497.15424,14686.152240000014,132268.50633359994,0.0,0
85,245736.96,154473.01999999987,47180.499299999836,12497.15424,14686.152240000014,163428.8815487999,1125.2000000000003,0
86,152500.55999999982,17689.680000000004,48372.61484699985,13318.475219999995,19843.399624000038,123964.82249759995,0.0,0
87,129557.75999999998,84230.13000000003,59254.33441899996,15269.010564999995,33674.30876799995,116272.2131312,0.0,0
88,478478.6200000004,119095.73999999998,51735.19366399967,12490.430519999998,15375.844847999866,163428.8815487999,0.0,0
89,309534.4300000001,111689.42000000004,52099.76796999959,12497.15424,15218.580720000078,162706.5015967999,0.0,0
90,396150.7199999999,173865.72000000012,47963.47204799917,12340.267439999987,8085.9972480000515,162706.5015967999,0.0,0
91,490762.3700000003,130023.62999999983,51685.56574799992,12522.928499999995,15539.661648000292,163428.8815487999,0.0,0
92,256538.07,74573.53,51650.395681999646,12497.15424,15218.580720000076,130515.62926639992,0.0,0
93,370014.8500000001,217189.54000000018,52099.76796999958,12497.15424,15218.580720000076,163428.8815487999,0.0,0
94,261092.91000000003,74466.09000000005,52853.66904199964,13284.189719999997,20343.561448000004,122315.14256639994,0.0,0
95,289993.9999999998,74217.67000000001,62529.80626599972,15138.816864999995,34675.89327999982,114849.5668992,0.0,0
96,260346.9600000002,294817.72999999905,12574.927903999946,12490.430519999998,0.0,163428.8815487999,1955.5200000000007,0
97,157517.27999999994,286974.60999999905,12663.542544999951,12497.15424,0.0,163428.8815487999,0.0,0
98,266922.0000000002,290410.31999999896,11658.160728000055,12340.267439999987,0.0,163428.8815487999,3041.9199999999964,0
99,294816.24000000017,297643.559999999,12562.865177999984,12522.928499999995,0.0,163428.8815487999,3259.1999999999957,0
100,62422.55999999994,228889.86000000013,12519.602401999951,12497.15424,0.0,149798.01412799992,0.0,0
101,280390.3200000001,305586.2199999988,12663.542544999957,12497.15424,0.0,163428.8815487999,3061.3199999999956,0
102,73781.99999999996,228128.3000000001,15396.498144999996,14368.869794999993,0.0,140804.38372559994,0.0,0
103,109614.9599999998,233990.10000000012,18636.226753000014,16175.309234999995,0.0,153198.35975919993,0.0,0
104,223820.64000000016,280140.0799999995,35821.323999999906,12490.430519999998,0.0,163428.8815487999,1226.0800000000004,0
105,132118.55999999994,255843.94000000012,36073.754374999895,12497.15424,0.0,163428.8815487999,0.0,0
106,220860.00000000023,281255.88999999943,33209.792999999416,12340.267439999987,0.0,163428.8815487999,1769.2800000000007,0
107,269640.0000000001,264447.2099999996,35786.96175000009,12522.928499999995,0.0,163428.8815487999,2944.9199999999955,0
108,67318.55999999995,185843.23000000024,35818.617117999886,12497.15424,0.0,142697.31404879992,0.0,0
109,237337.2000000002,302446.679999999,36073.754374999895,12497.15424,0.0,163428.8815487999,1839.1200000000006,0
110,92079.35999999993,171182.25000000006,43902.736410000114,14368.869794999993,0.0,130514.15502159995,0.0,0
111,98830.07999999986,199859.49000000017,53118.24051900016,16175.309234999995,0.0,139414.90800159992,0.0,0
112,222679.44000000015,224960.32000000027,45693.549440000126,12490.430519999998,0.0,163428.8815487999,1778.9800000000007,0
113,123854.39999999994,220323.8000000003,46015.54870000005,12497.15424,0.0,162345.3116207999,0.0,0
114,214212.24000000005,240795.78000000014,42362.29007999938,12340.267439999987,0.0,163428.8815487999,1778.9800000000007,0
115,228270.9600000002,259612.72000000023,45649.71707999993,12522.928499999995,0.0,163428.8815487999,2935.2199999999957,0
116,43315.19999999994,180586.57000000007,45721.46768900008,12497.15424,0.0,140611.25765679992,0.0,0
117,222950.1600000001,265769.7799999997,46015.54870000006,12497.15424,0.0,163428.8815487999,1839.1200000000006,0
118,119908.79999999994,114054.63000000015,54928.610592000055,14368.869794999993,0.0,127237.64595359995,0.0,0
119,116269.91999999988,145619.80999999988,67446.67787200028,16175.309234999995,0.0,132393.81714159995,0.0,0
120,217992.2400000001,188932.84,46916.07536000012,12490.430519999998,0.0,163428.8815487999,6343.799999999993,0
121,131364.0,173203.4400000001,47246.689675,12497.15424,0.0,163428.8815487999,1105.8000000000004,0
122,216126.0000000001,191774.66000000015,43495.688519999436,12340.267439999987,0.0,163428.8815487999,5930.579999999992,0
123,219528.00000000012,221670.68000000034,46871.0702699999,12522.928499999995,0.0,163428.8815487999,8023.839999999991,0
124,95096.87999999996,97537.76000000011,46889.53596600002,12497.15424,0.0,137336.22283359992,0.0,0
125,239199.12000000023,198240.8300000003,47246.68967500001,12497.15424,0.0,163428.8815487999,7678.519999999989,0
126,91181.51999999996,116968.08999999994,56399.83811000001,14368.869794999993,0.0,125737.60186959994,0.0,0
127,117271.43999999992,111520.52999999988,68768.81755400027,16175.309234999995,0.0,128101.55340639994,0.0,0
128,202428.72000000012,135168.8199999999,91807.75296000014,12490.430519999998,2375.859407999998,163067.6915727999,1105.8000000000004,0
129,137446.5599999999,104094.19999999992,92449.92429100018,12497.15424,2351.5591199999985,162057.8338847999,0.0,0
130,212014.80000000008,134329.12999999983,85094.67745199852,12340.267439999987,1249.4398079999985,159643.02090239988,1709.1400000000006,0
131,187639.92000000013,181190.74000000008,91719.68471999947,12522.928499999995,2401.1722079999968,162706.5015967999,1699.4400000000005,0
132,72581.75999999994,79093.91,90059.61905700002,12497.15424,2351.5591199999985,124084.23632639994,0.0,0
133,209832.48000000007,158421.04000000007,92454.71580000015,12497.15424,2351.5591199999985,163428.8815487999,29.1,0
134,67459.67999999995,94985.69999999992,93715.99787600037,14166.024654999996,3393.1808399999986,121297.91365439998,0.0,0
135,92629.43999999994,93549.84999999992,120523.98128700072,16175.309234999995,5607.797712000006,111320.22484800004,0.0,0
136,278998.1600000001,153772.86999999985,95687.6502370002,12490.430519999998,3137.927519999986,161696.64390879992,0.0,0
137,258829.7400000001,71002.16000000006,96354.1801110002,12497.15424,3105.83279999999,160164.9035615999,0.0,0
138,288915.1600000001,144761.29000000007,88631.35429399637,12340.267439999987,1650.203519999993,157969.75305439992,0.0,0
139,305120.2,146253.86000000002,95590.743842,12522.928499999995,3171.359519999985,161409.16617279992,0.0,0
140,206171.60000000012,18525.860000000004,93181.77425600003,12497.15424,3105.83279999999,121544.84965839998,0.0,0
141,332017.3500000001,133006.97999999992,96367.8907700002,12497.15424,3105.83279999999,162706.5015967999,0.0,0
142,152585.3800000001,67834.47000000003,97606.3464180004,14140.711049999994,4481.559599999987,118928.0651384,0.0,0
143,163290.8400000002,88966.58999999994,121065.65538000065,16175.309234999995,7406.525280000032,109812.80954000005,0.0,0
144,256137.12000000023,298174.4399999989,12574.927903999946,12490.430519999998,0.0,163428.8815487999,1955.5200000000007,0
145,147255.8399999999,294609.9599999991,12663.542544999951,12497.15424,0.0,163428.8815487999,0.0,0
146,268932.96000000025,285709.81999999925,11658.160728000055,12340.267439999987,0.0,163428.8815487999,2498.719999999997,0
147,287078.4,295926.0999999989,12562.865177999984,12522.928499999995,0.0,163428.8815487999,3259.1999999999957,0
148,58232.15999999995,235030.53000000012,12519.602401999951,12497.15424,0.0,150520.3940799999,0.0,0
149,279411.8400000002,310735.43999999884,12663.542544999957,12497.15424,0.0,163428.8815487999,3051.6199999999963,0
150,79411.67999999995,222113.24000000008,15401.362597999994,14368.869794999993,0.0,142697.31404879992,0.0,0
151,110021.03999999976,231766.25000000012,18636.226753000014,16175.309234999995,0.0,153559.54973519992,0.0,0
152,222756.48000000013,294320.8199999991,13106.003679999973,12490.430519999998,0.0,163428.8815487999,1839.1200000000006,0
153,132650.63999999996,275408.2199999992,13198.360774999968,12497.15424,0.0,163428.8815487999,0.0,0
154,239687.28000000014,279069.07999999914,12150.518760000068,12340.267439999987,0.0,163428.8815487999,1839.1200000000006,0
155,259851.60000000012,289331.1799999991,13093.431510000008,12522.928499999995,0.0,163428.8815487999,2995.359999999995,0
156,54252.71999999995,218369.4300000001,13038.141218999963,12497.15424,0.0,147886.6557447999,0.0,0
157,252422.64000000013,298499.91999999905,13198.36077499997,12497.15424,0.0,163428.8815487999,1839.1200000000006,0
158,103638.95999999982,176726.95000000004,16069.595015999996,14368.869794999993,0.0,141798.02472079993,0.0,0
159,99095.03999999996,217724.79000000004,19435.60317100002,16175.309234999995,0.0,152346.98338719993,0.0,0
160,211707.36000000013,267467.13999999955,16931.32671999993,12490.430519999998,0.0,163428.8815487999,1226.0800000000004,0
161,169472.88000000018,189870.18000000005,17050.640599999922,12497.15424,0.0,163428.8815487999,0.0,0
162,258840.72000000012,211591.23000000007,15696.959040000063,12340.267439999987,0.0,163428.8815487999,4041.019999999995,0
163,290921.76000000024,217107.8,16915.085039999874,12522.928499999995,0.0,163428.8815487999,2944.9199999999955,0
164,94690.7999999999,155660.81,16824.850595999924,12497.15424,0.0,141889.42789839994,0.0,0
165,217670.4000000001,291231.9199999992,17050.640599999922,12497.15424,0.0,163428.8815487999,1839.1200000000006,0
166,36052.559999999976,217459.35000000012,20747.485006000006,14368.869794999993,0.0,137446.79119359993,0.0,0
167,121683.59999999985,171829.7400000001,25118.007700999966,16175.309234999995,0.0,147759.87069199994,0.0,0
168,188027.28,243950.41999999995,18942.57904000004,12490.430519999998,0.0,163428.8815487999,6896.6999999999925,0
169,168436.08000000022,156175.89,19076.06607499997,12497.15424,0.0,163428.8815487999,1206.6800000000005,0
170,240981.12000000017,185342.6900000001,17561.58228000009,12340.267439999987,0.0,163428.8815487999,8210.079999999989,0
171,206264.16000000012,264272.37999999983,18924.40802999999,12522.928499999995,0.0,163428.8815487999,4694.799999999994,0
172,108910.7999999999,107757.58000000005,18872.613327999952,12497.15424,0.0,144470.09342079994,0.0,0
173,244362.2400000001,215649.46000000022,19076.06607499997,12497.15424,0.0,163428.8815487999,7839.539999999988,0
174,120664.79999999994,96680.99000000003,23143.40624899993,14368.869794999993,0.0,135017.9728855999,0.0,0
175,137799.36000000002,107797.08,28071.821630999937,16175.309234999995,0.0,144220.9460495999,0.0,0
176,198175.92000000013,166832.2,63361.02079999997,12490.430519999998,7097.693200000009,163428.8815487999,1115.5000000000002,0
177,115806.9599999999,154315.43999999994,63807.521500000126,12497.15424,7025.097999999996,163067.6915727999,0.0,0
178,252248.16000000012,109825.01,58741.72559999863,12340.267439999987,3732.603200000009,162706.5015967999,2392.019999999996,0
179,252867.83999999997,135690.40000000017,63300.24060000022,12522.928499999995,7173.3131999999905,163428.8815487999,2944.9199999999955,0
180,76206.95999999995,92139.28000000006,63021.884356000155,12497.15424,7025.097999999996,128237.92105039992,0.0,0
181,170622.4800000001,221193.68,63807.521500000126,12497.15424,7025.097999999997,163428.8815487999,1658.7000000000005,0
182,112651.91999999982,63632.130000000056,71020.61852500006,13909.310429999996,10136.861000000004,122315.14256639994,0.0,0
183,147697.43999999974,40359.52000000006,85449.11069900004,16044.043839999995,16752.854799999976,114752.26674240005,0.0,0
184,249435.58999999985,89264.47000000007,66983.90406400022,12490.430519999998,7262.060832000012,163428.8815487999,0.0,0
185,144665.84000000008,97705.62000000008,67451.14346100015,12497.15424,7187.784479999993,162057.8338847999,0.0,0
186,170106.33000000005,186094.77000000005,62089.35632899904,12340.267439999987,3819.042432000001,161047.97619679992,0.0,0
187,180596.01000000007,198703.17000000004,66919.64854799976,12522.928499999995,7339.432031999987,163067.6915727999,0.0,0
188,87543.48999999999,60356.00000000003,66459.19983000023,12497.15424,7187.784479999993,126704.70645839995,0.0,0
189,210486.79999999987,164368.98000000007,67455.93497000019,12497.15424,7187.784479999994,163428.8815487999,0.0,0
190,80726.41999999997,73913.19000000006,67982.86031000009,13838.849879999994,10371.609359999997,121659.10363039994,0.0,0
191,85720.95,98297.33000000005,90096.66529700016,15848.842019999995,17140.815647999974,112203.29748320003,0.0,0
192,263890.08000000025,301486.1199999989,12574.927903999946,12490.430519999998,0.0,163428.8815487999,1955.5200000000007,0
193,150782.39999999985,294233.91999999905,12663.542544999951,12497.15424,0.0,163428.8815487999,0.0,0
194,266325.12000000017,287112.85999999923,11658.160728000055,12340.267439999987,0.0,163428.8815487999,1955.5200000000007,0
195,291132.0000000001,295586.3999999991,12562.865177999984,12522.928499999995,0.0,163428.8815487999,3259.1999999999957,0
196,85790.87999999996,209067.1800000001,12519.602401999951,12497.15424,0.0,150520.3940799999,0.0,0
197,284542.5600000003,302928.6599999989,12663.542544999957,12497.15424,0.0,163428.8815487999,3051.6199999999963,0
198,78170.39999999995,223418.32000000012,15401.362597999994,14368.869794999993,0.0,142697.31404879992,0.0,0
199,111827.51999999992,233870.0200000001,18636.226753000014,16175.309234999995,0.0,153198.35975919993,0.0,0
200,223777.4400000002,302106.3199999996,12527.604319999951,12490.430519999998,0.0,163428.8815487999,1235.7800000000004,0
201,133183.44000000006,278442.67999999993,12615.88547499996,12497.15424,0.0,163428.8815487999,0.0,0
202,259130.88000000024,260147.0900000001,11614.287240000062,12340.267439999987,0.0,163428.8815487999,1839.1200000000006,0
203,261987.84000000003,294550.25999999966,12515.586989999987,12522.928499999995,0.0,163428.8815487999,2995.359999999995,0
204,59258.15999999995,217049.9300000001,12455.665918999955,12497.15424,0.0,147886.6557447999,0.0,0
205,247453.92000000025,308286.8399999996,12615.885474999961,12497.15424,0.0,163428.8815487999,1839.1200000000006,0
206,81725.03999999995,197005.92999999988,15334.367995999995,14368.869794999993,0.0,141798.02472079993,0.0,0
207,113657.75999999982,210258.29999999987,18477.92139500001,16175.309234999995,0.0,148595.7674935999,0.0,0
208,211961.52000000008,273315.59999999945,12619.62239999995,12490.430519999998,0.0,163428.8815487999,1235.7800000000004,0
209,149071.67999999982,226211.77999999988,12708.551999999956,12497.15424,0.0,163428.8815487999,0.0,0
210,208092.24,274750.5699999995,11699.596800000061,12340.267439999987,0.0,163428.8815487999,1769.2800000000007,0
