year,type,run_id,,index,run_id,Type,value,Technology,year,value_perc
2013.0,Predicted,3.0,2,546,3.0,Predicted,6499.442127771686,Nuclear,2013.0,25.389945327239666
2013.0,Predicted,3.0,3,810,3.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,3.0,4,1074,3.0,Predicted,1164.6594965502272,Wind,2013.0,4.549719862249001
2013.0,Predicted,3.0,5,1338,3.0,Predicted,7337.5297260274,Gas,2013.0,28.663918366898937
2013.0,Predicted,4.0,0,24,4.0,Predicted,10769.156359589022,Coal,2013.0,41.9741006794954
2013.0,Predicted,4.0,1,288,4.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,4.0,2,552,4.0,Predicted,6476.016276924013,Nuclear,2013.0,25.241063471756764
2013.0,Predicted,4.0,3,816,4.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,4.0,4,1080,4.0,Predicted,1164.521776304565,Wind,2013.0,4.538865687333934
2013.0,Predicted,4.0,5,1344,4.0,Predicted,7246.9752602739745,Gas,2013.0,28.245970161413897
2013.0,Predicted,5.0,0,30,5.0,Predicted,10899.224178082175,Coal,2013.0,42.43172369950104
2013.0,Predicted,5.0,1,294,5.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,5.0,2,558,5.0,Predicted,6487.298120378077,Nuclear,2013.0,25.255672963744015
2013.0,Predicted,5.0,3,822,5.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,5.0,4,1086,5.0,Predicted,1164.543411401597,Wind,2013.0,4.533679045526499
2013.0,Predicted,5.0,5,1350,5.0,Predicted,7135.433041095892,Gas,2013.0,27.778924291228453
2013.0,Predicted,6.0,0,36,6.0,Predicted,10832.006450913223,Coal,2013.0,42.21821106798359
2013.0,Predicted,6.0,1,300,6.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,6.0,2,564,6.0,Predicted,6499.442127771686,Nuclear,2013.0,25.331855258568066
2013.0,Predicted,6.0,3,828,6.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,6.0,4,1092,6.0,Predicted,1164.6594965502272,Wind,2013.0,4.539310484212607
2013.0,Predicted,6.0,5,1356,6.0,Predicted,7161.081504566212,Gas,2013.0,27.910623189235746
2013.0,Predicted,7.0,0,42,7.0,Predicted,10761.491916666648,Coal,2013.0,42.05555289516224
2013.0,Predicted,7.0,1,306,7.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,7.0,2,570,7.0,Predicted,6484.1140208785355,Nuclear,2013.0,25.339702180233253
2013.0,Predicted,7.0,3,834,7.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,7.0,4,1098,7.0,Predicted,1164.5387031367568,Wind,2013.0,4.550978563890566
2013.0,Predicted,7.0,5,1362,7.0,Predicted,7178.609223744294,Gas,2013.0,28.053766360713933
2013.0,Predicted,8.0,0,48,8.0,Predicted,10926.690656392675,Coal,2013.0,42.5946662413581
2013.0,Predicted,8.0,1,312,8.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,8.0,2,576,8.0,Predicted,6448.123598966571,Nuclear,2013.0,25.13621747132726
