year,type,run_id,,index,run_id,Type,value,Technology,year,value_perc
2013.0,Actual,-1.0,0,2,-1.0,Actual,14355.798134214343,Coal,2013.0,43.31162484956308
2013.0,Actual,-1.0,1,11,-1.0,Actual,7526.513864487052,Nuclear,2013.0,22.7075876851997
2013.0,Actual,-1.0,2,20,-1.0,Actual,9135.930887632725,CCGT,2013.0,27.56321923429858
2013.0,Actual,-1.0,3,29,-1.0,Actual,2127.12670918952,Wind,2013.0,6.417568230938639
2013.0,Actual,-1.0,4,65,-1.0,Actual,0.0,Solar,2013.0,0.0
2013.0,Predicted,0.0,0,0,0.0,Predicted,7240.49087671233,CCGT,2013.0,28.278381006069587
2013.0,Predicted,0.0,1,576,0.0,Predicted,10658.510366438337,Coal,2013.0,41.62776008304895
2013.0,Predicted,0.0,2,1152,0.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,0.0,3,1728,0.0,Predicted,6492.859018885658,Nuclear,2013.0,25.358438299436674
2013.0,Predicted,0.0,4,2304,0.0,Predicted,43.480803652968,,2013.0,0.1698181453557797
2013.0,Predicted,0.0,5,2880,0.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,0.0,6,3456,0.0,Predicted,1168.9920648327618,Wind,2013.0,4.5656024660890155
2013.0,Predicted,1.0,0,6,1.0,Predicted,7304.019287671233,CCGT,2013.0,28.441959673951665
2013.0,Predicted,1.0,1,582,1.0,Predicted,10687.02413584473,Coal,2013.0,41.61543083810183
2013.0,Predicted,1.0,2,1158,1.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,1.0,3,1734,1.0,Predicted,6481.508511975155,Nuclear,2013.0,25.239090487498945
2013.0,Predicted,1.0,4,2310,1.0,Predicted,38.892127853881256,,2013.0,0.1514465239599534
2013.0,Predicted,1.0,5,2886,1.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,1.0,6,3462,1.0,Predicted,1168.9920648327618,Wind,2013.0,4.552072476487616
2013.0,Predicted,2.0,0,12,2.0,Predicted,6947.909095890411,CCGT,2013.0,27.201332261715084
2013.0,Predicted,2.0,1,588,2.0,Predicted,10906.864091324182,Coal,2013.0,42.700793862855946
2013.0,Predicted,2.0,2,1164,2.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,2.0,3,1740,2.0,Predicted,6471.238108161274,Nuclear,2013.0,25.335146947861535
2013.0,Predicted,2.0,4,2316,2.0,Predicted,47.566762557077574,,2013.0,0.18622571122792705
