Wall time,Step,Value
1591095908.5370152,1000,4.276426315307617
1591096383.1673377,2000,0.3627283275127411
1591096851.1306684,3000,0.0
1591097326.6923063,4000,0.0
1591097807.4122791,5000,0.0
1591098276.3267717,6000,0.0
1591098752.9417088,7000,0.0
1591099232.5946953,8000,0.0
1591099703.0514357,9000,0.0
1591100185.212779,10000,0.0
1591100660.4989245,11000,0.0
1591101127.0739677,12000,0.0
1591101606.6083937,13000,0.0
1591102082.4563513,14000,0.0
1591102548.5249178,15000,0.0
1591103025.3484912,16000,0.0
1591103500.0550954,17000,0.0
1591103964.5254438,18000,0.0
1591104438.4047496,19000,0.0
1591104915.5352862,20000,0.0
1591105379.6766462,21000,0.0
1591105853.791532,22000,0.0
1591106330.9416814,23000,0.0
1591106797.2454858,24000,0.0
1591107277.8346155,25000,0.0
1591107754.4813397,26000,0.0
1591108221.977013,27000,0.0
1591108698.7409186,28000,0.0
1591109178.704338,29000,0.0
1591109647.090042,30000,0.0
1591110125.193442,31000,0.0
1591110602.975087,32000,0.0
1591111072.4985478,33000,0.0
1591111557.0299242,34000,0.0
1591112036.6730685,35000,0.0
1591112504.057721,36000,0.0
1591112984.5269346,37000,0.0
1591113459.9778748,38000,0.0
1591113929.2825956,39000,0.0
1591114409.3696434,40000,0.0
1591114887.8169951,41000,0.0
1591115357.3522742,42000,0.0
1591115836.1373672,43000,0.0
1591116319.1336806,44000,0.0
1591116786.0743692,45000,0.0
1591117262.5028024,46000,0.0
1591117739.3350577,47000,0.0
1591118210.0740685,48000,0.0
1591118692.4825442,49000,0.0
1591119170.648642,50000,0.0
1591119641.6993823,51000,0.0
1591120116.4096978,52000,0.0
1591120600.521083,53000,0.0
1591121067.2083707,54000,0.0
1591121547.0742085,55000,0.0
1591122019.7288046,56000,0.0
1591122479.4968178,57000,0.0
1591122947.369191,58000,0.0
1591123415.9429927,59000,0.0
1591123871.361874,60000,0.0
1591124338.8797748,61000,0.0
1591124808.4828725,62000,0.0
1591125267.2703552,63000,0.0
1591125734.853112,64000,0.0
1591126203.886014,65000,0.0
1591126660.726631,66000,0.0
1591127126.143537,67000,0.0
1591127597.4204605,68000,0.0
1591128051.3220217,69000,0.0
1591128518.2989342,70000,0.0
1591128984.4069242,71000,0.0
1591129439.2642107,72000,0.0
1591129908.1536818,73000,0.0
1591130377.6594884,74000,0.0
1591130834.6684225,75000,0.0
1591131300.0904071,76000,0.0
1591131767.065124,77000,0.0
1591132227.6673276,78000,0.0
1591132691.6091225,79000,0.0
1591133156.0045106,80000,0.0
1591133610.5904226,81000,0.0
1591134076.6337652,82000,0.0
1591134541.720385,83000,0.0
1591134996.387484,84000,0.0
1591135461.978483,85000,0.0
1591135926.0756848,86000,0.0
1591136383.8489103,87000,0.0
1591136844.9680195,88000,0.0
1591137310.2660801,89000,0.0
1591137767.248277,90000,0.0
1591138234.886535,91000,0.0
1591138701.9328675,92000,0.0
1591139156.7258499,93000,0.0
1591139621.9458258,94000,0.0
1591140085.912767,95000,0.0
1591140540.8957174,96000,0.0
1591141006.632564,97000,0.0
1591141473.0553255,98000,0.0
1591141932.4756062,99000,0.0
1591142396.6052125,100000,0.0
1591142864.3674645,101000,0.0
1591143320.7279775,102000,0.0
1591143783.7089317,103000,0.0
1591144248.8599527,104000,0.0
1591144701.6904519,105000,0.0
1591145167.5874002,106000,0.0
1591145633.3463287,107000,0.0
1591146087.9365973,108000,0.0
1591146553.9110787,109000,0.0
1591147016.8761313,110000,0.0
1591147474.7392814,111000,0.0
1591147938.7906284,112000,0.0
1591148400.8441315,113000,0.0
1591148856.4603631,114000,0.0
1591149319.4692676,115000,0.0
1591149788.5761406,116000,0.0
1591150249.4482107,117000,0.0
1591150718.1711373,118000,0.0
1591151179.319744,119000,0.0
1591151631.4939034,120000,0.0
1591152102.7007134,121000,0.0
