,Plant Type,Connection and Use 2016,Connection and Use 2017,Connection and Use 2020,Construction Cost-H 2016,Construction Cost-H 2017,Construction Cost-H 2020,Construction Cost-L 2016,Construction Cost-L 2017,Construction Cost-L 2020,Construction Cost-M 2016,Construction Cost-M 2017,Construction Cost-M 2020,Fixed O+M 2016,Fixed O+M 2017,Fixed O+M 2020,Insurance 2016,Insurance 2017,Insurance 2020,Pre-Development High 2016,Pre-Development High 2017,Pre-Development High 2020,Pre-Development Low 2016,Pre-Development Low 2017,Pre-Development Low 2020,Pre-Development Med 2016,Pre-Development Med 2017,Pre-Development Med 2020,Variable O+M 2016,Variable O+M 2017,Variable O+M 2020
10,Offshore Round 3," 60,600.00 "," 57,200.00 "," 49,400.00 "," 3,100.00 "," 3,000.00 "," 2,600.00 "," 2,200.00 "," 2,100.00 "," 1,800.00 "," 2,600.00 "," 2,400.00 "," 2,100.00 "," 70,900.00 "," 67,000.00 "," 57,800.00 "," 32,800.00 "," 31,000.00 "," 26,700.00 ", 150.00 , 150.00 , 150.00 , 50.00 , 50.00 , 50.00 , 105.00 , 105.00 , 105.00 ,0,0,0
11,Biomass conversion," 17,500.00 "," 17,500.00 "," 17,500.00 ", 700.00 , 700.00 , 700.00 , 300.00 , 300.00 , 300.00 , 400.00 , 400.00 , 400.00 ," 40,900.00 "," 41,000.00 "," 41,000.00 "," 1,300.00 "," 1,300.00 "," 1,300.00 ", 60.00 , 60.00 , 60.00 , 60.00 , 60.00 , 60.00 , 60.00 , 60.00 , 60.00 , 1.00 , 2.00 , 3.00 
12,Hydropower 5-16MW,0,0,0,,,,,,," 3,100.00 "," 3,100.00 "," 3,300.00 "," 43,500.00 "," 43,600.00 "," 43,700.00 ",0,0,0,,,,,,, 50.00 , 50.00 , 50.00 , 10.00 , 11.00 , 12.00 
13,Energy from Waste,0,0,0," 5,200.00 "," 5,200.00 "," 5,100.00 "," 4,500.00 "," 4,500.00 "," 4,500.00 "," 4,900.00 "," 4,900.00 "," 4,800.00 "," 222,000.00 "," 222,000.00 "," 222,000.00 ",0,0,0,,,,,,,0,0,0, 25.00 , 25.00 , 25.00 
14,Biomass CHP," 1,400.00 "," 1,400.00 "," 1,400.00 "," 5,000.00 "," 5,000.00 "," 4,900.00 "," 2,700.00 "," 2,700.00 "," 2,700.00 "," 3,900.00 "," 3,800.00 "," 3,800.00 "," 149,900.00 "," 149,100.00 "," 146,700.00 "," 25,400.00 "," 25,300.00 "," 24,900.00 ",,,,,,,0,0,0, 10.00 , 11.00 , 12.00 
15,AD," 8,700.00 "," 8,700.00 "," 8,700.00 "," 7,200.00 "," 7,200.00 "," 7,000.00 "," 1,700.00 "," 1,700.00 "," 1,700.00 "," 4,000.00 "," 3,900.00 "," 3,900.00 "," 301,000.00 "," 301,000.00 "," 301,000.00 "," 58,000.00 "," 58,100.00 "," 58,200.00 ", 580.00 , 580.00 , 580.00 , 50.00 , 50.00 , 50.00 , 180.00 , 180.00 , 180.00 , 30.00 , 30.00 , 30.00 
16,AD CHP," 8,700.00 "," 8,700.00 "," 8,700.00 "," 7,200.00 "," 7,200.00 "," 7,200.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 4,200.00 "," 4,200.00 "," 4,100.00 "," 364,000.00 "," 364,000.00 "," 365,000.00 "," 58,000.00 "," 58,100.00 "," 58,200.00 ",,,,,,,0,0,0, 20.00 , 20.00 , 20.00 
17,ACT CHP," 5,600.00 "," 5,500.00 "," 5,400.00 "," 10,600.00 "," 10,500.00 "," 10,300.00 "," 1,000.00 "," 1,000.00 ", 900.00 ," 5,900.00 "," 5,800.00 "," 5,700.00 "," 425,800.00 "," 421,800.00 "," 410,000.00 "," 21,900.00 "," 21,700.00 "," 21,100.00 ", 90.00 , 90.00 , 90.00 , 90.00 , 90.00 , 90.00 , 90.00 , 90.00 , 90.00 , 10.00 , 11.00 , 12.00 
18,Large scale solar PV,0,0,0," 1,100.00 "," 1,100.00 ", 900.00 , 900.00 , 900.00 , 800.00 ," 1,000.00 "," 1,000.00 ", 900.00 ," 22,600.00 "," 22,400.00 "," 21,900.00 ",0,0,0,,,,,,,0,0,0,0,0,0
19,Solar <4kW,0,0,0," 2,500.00 "," 2,400.00 "," 2,100.00 "," 1,500.00 "," 1,400.00 "," 1,300.00 "," 1,900.00 "," 1,800.00 "," 1,600.00 "," 23,700.00 "," 23,600.00 "," 23,500.00 ",0,0,0,,,,,,,0,0,0,0,0,0
20,Onshore 1MW<5MW,0,0,0," 2,300.00 "," 2,300.00 "," 2,300.00 "," 1,600.00 "," 1,600.00 "," 1,600.00 "," 2,000.00 "," 2,000.00 "," 2,000.00 "," 29,600.00 "," 29,400.00 "," 29,000.00 ",0,0,0,,,,,,,0,0,0,0,0,0
21,Onshore <15kW,0,0,0," 6,100.00 "," 6,100.00 "," 6,100.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,500.00 "," 5,500.00 "," 5,500.00 "," 73,000.00 "," 73,000.00 "," 73,000.00 ",0,0,0,,,,,,,0,0,0,0,0,0
22,AD < 250kW,0,0,0," 8,000.00 "," 8,000.00 "," 8,000.00 "," 4,000.00 "," 4,000.00 "," 4,000.00 "," 6,000.00 "," 6,000.00 "," 6,000.00 "," 924,000.00 "," 924,000.00 "," 924,000.00 ",0,0,0,,,,,,,0,0,0,0,0,0
23,AD > 500kW,0,0,0," 6,000.00 "," 6,000.00 "," 6,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 "," 4,500.00 "," 4,500.00 "," 4,500.00 "," 714,800.00 "," 714,800.00 "," 714,800.00 ",0,0,0,,,,,,,0,0,0,0,0,0
24,Hydropower 100kW-1000kW,0,0,0," 10,000.00 "," 10,000.00 "," 10,000.00 "," 2,000.00 "," 2,000.00 "," 2,000.00 "," 4,500.00 "," 4,500.00 "," 4,500.00 "," 104,000.00 "," 104,000.00 "," 104,000.00 ",0,0,0,,,,,,,0,0,0,0,0,0
25,Hydropower <15kW,0,0,0," 21,400.00 "," 21,400.00 "," 21,400.00 "," 4,200.00 "," 4,200.00 "," 4,200.00 "," 9,500.00 "," 9,500.00 "," 9,500.00 "," 110,000.00 "," 110,000.00 "," 110,000.00 ",0,0,0,,,,,,,0,0,0,0,0,0
