,testing_time,training_time,root_mean_squared_error,mean_absolute_error,mean_squared_error,median_absolute_error,estimator
0,26.24814887537165,185.86507712701132,20478.61944919623,15245.056221751714,419374239.3282494,9503.368828821292,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
1,26.223993899966445,186.72707977829486,20478.61944919623,15245.056221751714,419374239.3282494,9503.368828821292,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
2,24.78276236221791,174.86013943686825,16786.238359690662,12446.26542531803,281779349.75754803,7648.049794680645,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
3,24.147498985998634,170.1041552559315,16786.238359690662,12446.26542531803,281779349.75754803,7648.049794680645,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
4,23.57259375866973,167.60981305120367,2731.815124887388,1940.9104396333184,7494845.656409423,1344.9469607589706,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
5,23.965787170807744,167.65496148459957,2731.815124887388,1940.9104396333184,7494845.656409423,1344.9469607589706,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
6,26.391542988002282,188.49164743973475,2699.5443178585147,1922.2494711155214,7319762.630026854,1340.091961290133,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
7,26.780243225293816,188.08013728540996,2699.5443178585147,1922.2494711155214,7319762.630026854,1340.091961290133,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
8,5.712416803922679,62.76666601186056,4101.544412272312,2867.3601277309112,16837653.24917059,2131.633408762614,"{""hidden_layer_sizes"": 10, ""learning_rate"": ""adaptive"", ""solver"": ""adam""}"
9,4.554897225891182,37.49901858178297,1933.4243152339914,1422.6869651065272,3760662.9621184096,1066.9400094084906,"{""power"": 0.1}"
10,4.545764129785918,37.683654427869136,2317.755533154887,1734.1071531248629,5390224.096143165,1313.1774534682474,{}
11,25.8123127255955,179.7427719050223,16495.600723446423,11775.190720888875,272105582.6025871,7226.927091200057,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
12,25.69430711224777,179.89158523884666,16495.600723446423,11775.190720888875,272105582.6025871,7226.927091200057,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
13,25.02565483553796,172.9857038492737,12460.217313763324,8243.67356310372,155259537.18739223,4373.902253469406,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
14,24.610048550229596,169.95003328064558,12460.217313763324,8243.67356310372,155259537.18739223,4373.902253469406,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
15,24.19395701488611,167.64191401179292,2729.605647324918,1936.0496207590506,7483992.000227059,1337.2350176205057,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
16,24.15937545819664,167.92301882021275,2729.605647324918,1936.0496207590506,7483992.000227059,1337.2350176205057,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
17,26.183449925795383,182.9197656401484,2693.469667305377,1916.1223363853953,7287795.559341292,1332.4329820603073,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
18,25.795148227897396,182.40937524449328,2693.469667305377,1916.1223363853953,7287795.559341292,1332.4329820603073,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
19,5.835835536405891,64.73861114591516,3760.560201895125,2675.5224756345583,14156085.275697192,2011.5743151189054,"{""hidden_layer_sizes"": 10, ""learning_rate"": ""adaptive"", ""solver"": ""adam""}"
20,4.547274979699675,37.680607395551,1830.5959704342604,1330.8249750512698,3368865.9041899242,981.4171691717978,"{""power"": 0.1}"
21,4.574677054599306,37.86765422873335,2321.7350485416596,1739.8351743933038,5409382.2732489435,1320.650107843584,{}
22,26.007376102663937,180.13338953489924,13733.880467295015,9026.946474284989,188620645.41811967,4653.367071146965,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
23,26.026475324889663,181.8357881387698,13733.880467295015,9026.946474284989,188620645.41811967,4653.367071146965,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
24,25.080122687527666,176.21188674420895,10351.394489355176,6329.922965340121,107154129.73964064,3179.6080892916684,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
25,24.42098672058152,172.94290673630167,10351.394489355176,6329.922965340121,107154129.73964064,3179.6080892916684,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
26,24.48765447439291,170.89735122628068,2727.732004593059,1933.0592923518634,7474393.047277085,1332.688005891664,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
