,index,capacity_factor,cluster,counts,data_type
0,0,0.0,0.0,615,solar
1,1,0.0,0.0,615,solar
2,2,0.0,0.0,615,solar
3,3,0.0,0.0,615,solar
4,4,0.0,0.0,615,solar
5,5,0.0,0.0,615,solar
6,6,0.0,0.0,615,solar
7,7,0.0,0.0,615,solar
8,8,0.019,0.0,615,solar
9,9,0.08800000000000001,0.0,615,solar
10,10,0.1661,0.0,615,solar
11,11,0.2206,0.0,615,solar
12,12,0.2278,0.0,615,solar
13,13,0.1976,0.0,615,solar
14,14,0.1385,0.0,615,solar
15,15,0.0549,0.0,615,solar
16,16,0.0011,0.0,615,solar
17,17,0.0,0.0,615,solar
18,18,0.0,0.0,615,solar
19,19,0.0,0.0,615,solar
20,20,0.0,0.0,615,solar
21,21,0.0,0.0,615,solar
22,22,0.0,0.0,615,solar
23,23,0.0,0.0,615,solar
24,24,0.0,1.0,565,solar
25,25,0.0,1.0,565,solar
26,26,0.0,1.0,565,solar
27,27,0.0,1.0,565,solar
28,28,0.0042,1.0,565,solar
29,29,0.0592,1.0,565,solar
30,30,0.1449,1.0,565,solar
31,31,0.2549,1.0,565,solar
32,32,0.3674,1.0,565,solar
33,33,0.4656,1.0,565,solar
34,34,0.5367,1.0,565,solar
35,35,0.5719,1.0,565,solar
36,36,0.5704,1.0,565,solar
37,37,0.5328,1.0,565,solar
38,38,0.4585,1.0,565,solar
39,39,0.3537,1.0,565,solar
40,40,0.247,1.0,565,solar
41,41,0.1478,1.0,565,solar
42,42,0.0644,1.0,565,solar
43,43,0.0098,1.0,565,solar
44,44,0.0,1.0,565,solar
45,45,0.0,1.0,565,solar
46,46,0.0,1.0,565,solar
47,47,0.0,1.0,565,solar
48,48,0.0,2.0,408,solar
49,49,0.0,2.0,408,solar
50,50,0.0,2.0,408,solar
51,51,0.0,2.0,408,solar
52,52,0.0,2.0,408,solar
53,53,0.0,2.0,408,solar
54,54,0.004,2.0,408,solar
55,55,0.0542,2.0,408,solar
56,56,0.1647,2.0,408,solar
57,57,0.3029,2.0,408,solar
58,58,0.4089,2.0,408,solar
59,59,0.455,2.0,408,solar
60,60,0.451,2.0,408,solar
61,61,0.4129,2.0,408,solar
62,62,0.3383,2.0,408,solar
63,63,0.2286,2.0,408,solar
