,index,date,cluster,hour,data_type,capacity_factor
114,18,2009-01-29,55.0,18,offshore,0.6064
115,19,2009-01-29,55.0,19,offshore,0.6278
116,20,2009-01-29,55.0,20,offshore,0.6387
117,21,2009-01-29,55.0,21,offshore,0.639
118,22,2009-01-29,55.0,22,offshore,0.6386
119,23,2009-01-29,55.0,23,offshore,0.6457
120,24,2009-09-05,84.0,0,offshore,0.6824
121,25,2009-09-05,84.0,1,offshore,0.6508
122,26,2009-09-05,84.0,2,offshore,0.6201
123,27,2009-09-05,84.0,3,offshore,0.5961
124,28,2009-09-05,84.0,4,offshore,0.5728
125,29,2009-09-05,84.0,5,offshore,0.5558
126,30,2009-09-05,84.0,6,offshore,0.5387
127,31,2009-09-05,84.0,7,offshore,0.5426
128,32,2009-09-05,84.0,8,offshore,0.5603
129,33,2009-09-05,84.0,9,offshore,0.5295
130,34,2009-09-05,84.0,10,offshore,0.4701
131,35,2009-09-05,84.0,11,offshore,0.4262
132,36,2009-09-05,84.0,12,offshore,0.42200000000000004
133,37,2009-09-05,84.0,13,offshore,0.4351
134,38,2009-09-05,84.0,14,offshore,0.447
135,39,2009-09-05,84.0,15,offshore,0.4523
136,40,2009-09-05,84.0,16,offshore,0.4424
137,41,2009-09-05,84.0,17,offshore,0.4191
138,42,2009-09-05,84.0,18,offshore,0.4344
139,43,2009-09-05,84.0,19,offshore,0.4565
140,44,2009-09-05,84.0,20,offshore,0.4684
141,45,2009-09-05,84.0,21,offshore,0.4851
142,46,2009-09-05,84.0,22,offshore,0.4799
143,47,2009-09-05,84.0,23,offshore,0.4702
144,48,2011-02-25,97.0,0,offshore,0.3875
145,49,2011-02-25,97.0,1,offshore,0.4066
146,50,2011-02-25,97.0,2,offshore,0.4242
147,51,2011-02-25,97.0,3,offshore,0.42
148,52,2011-02-25,97.0,4,offshore,0.4303
149,53,2011-02-25,97.0,5,offshore,0.4618
150,54,2011-02-25,97.0,6,offshore,0.5019
151,55,2011-02-25,97.0,7,offshore,0.5325
152,56,2011-02-25,97.0,8,offshore,0.5524
153,57,2011-02-25,97.0,9,offshore,0.5670000000000001
154,58,2011-02-25,97.0,10,offshore,0.5776
155,59,2011-02-25,97.0,11,offshore,0.575
156,60,2011-02-25,97.0,12,offshore,0.5314
157,61,2011-02-25,97.0,13,offshore,0.5112
158,62,2011-02-25,97.0,14,offshore,0.4753
159,63,2011-02-25,97.0,15,offshore,0.4447
160,64,2011-02-25,97.0,16,offshore,0.4432
161,65,2011-02-25,97.0,17,offshore,0.4409
162,66,2011-02-25,97.0,18,offshore,0.4202
163,67,2011-02-25,97.0,19,offshore,0.3913
164,68,2011-02-25,97.0,20,offshore,0.3772
165,69,2011-02-25,97.0,21,offshore,0.3737
166,70,2011-02-25,97.0,22,offshore,0.3541
167,71,2011-02-25,97.0,23,offshore,0.3515
168,72,2012-06-13,129.0,0,offshore,0.1104
169,73,2012-06-13,129.0,1,offshore,0.1077
170,74,2012-06-13,129.0,2,offshore,0.1123
171,75,2012-06-13,129.0,3,offshore,0.1196
172,76,2012-06-13,129.0,4,offshore,0.12300000000000001
173,77,2012-06-13,129.0,5,offshore,0.1128
174,78,2012-06-13,129.0,6,offshore,0.1038
175,79,2012-06-13,129.0,7,offshore,0.0937
176,80,2012-06-13,129.0,8,offshore,0.0802
177,81,2012-06-13,129.0,9,offshore,0.0629
178,82,2012-06-13,129.0,10,offshore,0.0459
179,83,2012-06-13,129.0,11,offshore,0.0329
180,84,2012-06-13,129.0,12,offshore,0.0232
181,85,2012-06-13,129.0,13,offshore,0.0164
182,86,2012-06-13,129.0,14,offshore,0.0127
183,87,2012-06-13,129.0,15,offshore,0.01
184,88,2012-06-13,129.0,16,offshore,0.0102
185,89,2012-06-13,129.0,17,offshore,0.0149
186,90,2012-06-13,129.0,18,offshore,0.0253
187,91,2012-06-13,129.0,19,offshore,0.0432
188,92,2012-06-13,129.0,20,offshore,0.0699
189,93,2012-06-13,129.0,21,offshore,0.0981
190,94,2012-06-13,129.0,22,offshore,0.1259
191,95,2012-06-13,129.0,23,offshore,0.1467
192,0,2009-01-29,55.0,0,onshore,0.2071
193,1,2009-01-29,55.0,1,onshore,0.2001
