,Wall time,Step,Value,max_bid
13,1594034864.062927,14000,54.80968475341797,120
14,1594036848.776584,15000,55.56440734863281,120
15,1594037534.1798668,16000,56.03479766845703,120
16,1594038189.052428,17000,56.936729431152344,120
17,1594038805.963673,18000,59.13523864746094,120
18,1594039454.737943,19000,58.25831985473633,120
19,1594040207.063293,20000,58.34555435180664,120
20,1594040907.41337,21000,58.27157211303711,120
21,1594041555.902727,22000,58.57316207885742,120
22,1594042195.300066,23000,55.89196395874024,120
23,1594042925.920724,24000,53.78468704223633,120
24,1594043754.023236,25000,57.03509902954102,120
25,1594044875.249168,26000,58.25983810424805,120
26,1594045965.233651,27000,57.11664199829102,120
27,1594046843.211202,28000,57.45356750488281,120
28,1594047975.829233,29000,55.44761276245117,120
29,1594049153.615642,30000,58.85251998901367,120
30,1594049863.0612528,31000,60.83819580078125,120
31,1594050508.137461,32000,57.61874771118164,120
32,1594051175.747069,33000,57.47224044799805,120
33,1594051983.7538402,34000,58.65546035766602,120
34,1594052808.159641,35000,60.10667419433594,120
35,1594053607.0297222,36000,59.48873901367188,120
36,1594054495.554789,37000,58.4961929321289,120
37,1594055292.657593,38000,57.47172546386719,120
38,1594056090.714561,39000,58.28134155273438,120
39,1594056906.118211,40000,58.86470031738281,120
0,1593769839.1745431,1000,48.634361267089844,100
1,1593770705.246413,2000,49.03897094726562,100
2,1593771413.8788419,3000,55.09716033935547,100
3,1593772125.8443198,4000,58.48004531860352,100
4,1593773206.26405,5000,57.76392364501953,100
5,1593774250.0760279,6000,58.42226791381836,100
6,1593775329.2291212,7000,58.98527145385742,100
7,1593776271.4661498,8000,57.89699172973633,100
8,1593777039.986264,9000,58.1236572265625,100
9,1593777835.6240695,10000,58.75399780273438,100
10,1593778758.825792,11000,58.57192993164063,100
11,1593780037.924876,12000,58.7653923034668,100
12,1593781104.3754966,13000,58.71210098266602,100
13,1593781965.82841,14000,57.92743682861328,100
14,1593782741.164896,15000,58.178001403808594,100
15,1593783598.714821,16000,58.773231506347656,100
16,1593784570.929987,17000,58.21712875366211,100
17,1593785544.504895,18000,57.9991569519043,100
18,1593786566.078395,19000,57.73385238647461,100
19,1593787590.536632,20000,58.17986679077149,100
20,1593788485.4045818,21000,58.19016647338867,100
21,1593789387.6500866,22000,61.12780380249024,100
22,1593790252.101974,23000,61.00037384033203,100
23,1593791201.17242,24000,60.54911422729492,100
24,1593792155.8492901,25000,61.95038604736328,100
25,1593793115.7346725,26000,60.32213592529297,100
26,1593793982.305404,27000,61.00173568725586,100
27,1593794950.585396,28000,64.95816802978516,100
28,1593795936.254213,29000,64.35186004638672,100
29,1593796852.926749,30000,65.58528137207031,100
30,1593797701.429134,31000,63.51637268066406,100
0,1593769822.654364,1000,51.71681213378906,110
1,1593770677.22399,2000,51.63708877563477,110
2,1593771375.270926,3000,56.04037475585938,110
3,1593772078.8747454,4000,53.6596908569336,110
4,1593773095.527133,5000,52.61679077148438,110
5,1593774152.200641,6000,56.11951065063477,110
6,1593775198.508759,7000,59.617393493652344,110
7,1593776162.16985,8000,57.77636337280274,110
8,1593776918.81777,9000,56.581581115722656,110
9,1593777695.118622,10000,57.48012924194336,110
10,1593778557.7535,11000,57.18685913085938,110
11,1593779763.970171,12000,57.38749694824219,110
12,1593780902.049166,13000,57.45458602905274,110
13,1593781753.1139698,14000,56.45640563964844,110
14,1593782539.0560908,15000,57.08148956298828,110
15,1593783333.096534,16000,57.84017181396485,110
16,1593784280.755923,17000,57.287452697753906,110
17,1593785250.9691908,18000,57.024757385253906,110
18,1593786221.2519689,19000,56.69742965698242,110
19,1593787243.736421,20000,57.47919845581055,110
20,1593788161.4653606,21000,57.31413650512695,110
21,1593789044.001146,22000,56.90695190429688,110
22,1593789931.688096,23000,53.75149154663086,110
23,1593790809.261719,24000,52.74929809570313,110
24,1593791754.8854556,25000,54.07535934448242,110
25,1593792694.169356,26000,54.06307601928711,110
26,1593793578.696324,27000,53.18542861938477,110
27,1593794508.788913,28000,54.54571151733398,110
28,1593795423.045684,29000,55.1404914855957,110
29,1593796376.6178539,30000,53.71445846557617,110
30,1593797261.8753679,31000,51.173118591308594,110
0,1594026181.0808911,1000,65.97327423095703,160
1,1594026818.775607,2000,65.78444671630861,160
2,1594027502.773998,3000,64.0728759765625,160
3,1594028139.541027,4000,67.17500305175781,160
4,1594028783.7486851,5000,66.64311218261719,160
5,1594029442.167413,6000,66.55587005615234,160
6,1594030120.4030578,7000,69.20196533203125,160
7,1594030781.200999,8000,66.98136901855469,160
8,1594031461.2405386,9000,66.33731842041016,160
9,1594032169.454248,10000,67.82151794433594,160
10,1594032823.573875,11000,67.03004455566406,160
11,1594033554.0114794,12000,68.13638305664061,160
12,1594034236.094074,13000,67.91385650634766,160
13,1594034834.473171,14000,65.92948150634766,160
14,1594036816.1594582,15000,66.96923065185547,160
15,1594037500.817271,16000,67.93756866455078,160
16,1594038153.742672,17000,68.75205993652344,160
17,1594038762.478268,18000,68.31420135498047,160
18,1594039408.508286,19000,66.56936645507811,160
19,1594040153.8769732,20000,68.28256225585939,160
20,1594040851.56883,21000,67.85683441162111,160
21,1594041506.3443148,22000,68.10587310791016,160
22,1594042138.8095622,23000,67.61476898193361,160
23,1594042855.312333,24000,65.96421813964844,160
24,1594043667.815606,25000,63.46670532226562,160
25,1594044768.5626502,26000,61.11497116088867,160
26,1594045875.486548,27000,59.46786117553711,160
27,1594046753.28059,28000,61.534950256347656,160
28,1594047819.424271,29000,63.45671463012695,160
29,1594049032.129798,30000,63.504310607910156,160
30,1594049786.8646052,31000,72.2843246459961,160
31,1594050425.611043,32000,73.3053970336914,160
32,1594051095.1418712,33000,72.42489624023438,160
33,1594051877.863749,34000,72.49768829345703,160
34,1594052699.185782,35000,71.30682373046875,160
35,1594053498.065675,36000,72.98965454101562,160
36,1594054358.084665,37000,72.29927825927734,160
37,1594055176.861759,38000,67.41182708740234,160
38,1594055981.25731,39000,70.01435089111328,160
39,1594056780.581449,40000,68.3795166015625,160
0,1593769833.090745,1000,57.27724075317383,130
1,1593770696.986073,2000,57.32925415039063,130
2,1593771403.1610088,3000,62.85757827758789,130
3,1593772115.0105212,4000,63.72333145141602,130
4,1593773180.9289448,5000,63.2202262878418,130
5,1593774225.0829902,6000,63.3010139465332,130
6,1593775295.2630448,7000,64.86856842041016,130
7,1593776243.835299,8000,64.53736877441406,130
8,1593777010.702456,9000,64.72300720214844,130
9,1593777805.9040806,10000,65.55368041992189,130
10,1593778715.19254,11000,65.15196990966797,130
11,1593779982.5352829,12000,65.77362060546875,130
12,1593781064.1836958,13000,65.53907775878906,130
13,1593781922.9836311,14000,64.30058288574219,130
14,1593782700.975242,15000,65.11676025390625,130
15,1593783552.174651,16000,65.66148376464844,130
16,1593784522.0908089,17000,63.76141357421875,130
17,1593785498.044841,18000,63.67673873901367,130
18,1593786514.4676142,19000,62.9371223449707,130
19,1593787537.450021,20000,63.6900634765625,130
20,1593788433.808276,21000,63.83949661254883,130
21,1593789338.928545,22000,65.26239776611328,130
22,1593790205.0367,23000,68.78276062011719,130
23,1593791146.792521,24000,67.28956604003906,130
24,1593792098.0678189,25000,69.08267211914061,130
25,1593793053.1896784,26000,66.84822845458984,130
26,1593793921.516654,27000,62.8472785949707,130
27,1593794883.753553,28000,61.71012496948242,130
28,1593795861.050603,29000,61.43481063842773,130
29,1593796784.728689,30000,61.57050704956055,130
30,1593797641.1971252,31000,64.75067138671875,130
0,1593769866.7855961,1000,68.12467193603516,170
1,1593770712.404682,2000,69.32741546630861,170
2,1593771410.71791,3000,85.48150634765625,170
3,1593772113.6773481,4000,77.46177673339844,170
4,1593773168.524101,5000,74.40117645263672,170
5,1593774205.337496,6000,73.23456573486328,170
6,1593775256.575063,7000,75.53428649902344,170
7,1593776207.222839,8000,72.75666809082031,170
8,1593776969.360214,9000,72.83655548095703,170
9,1593777757.9248538,10000,75.00418853759766,170
10,1593778646.254551,11000,76.07694244384766,170
11,1593779886.405646,12000,76.85352325439453,170
12,1593780985.2141938,13000,76.46306610107422,170
13,1593781837.7912948,14000,74.58369445800781,170
14,1593782621.3772538,15000,76.16870880126953,170
15,1593783437.919484,16000,77.11921691894531,170
16,1593784389.407139,17000,76.32162475585938,170
17,1593785364.880917,18000,76.21076202392578,170
18,1593786353.538854,19000,75.51421356201172,170
19,1593787366.6309211,20000,77.14861297607422,170
20,1593788275.6143858,21000,76.83840942382812,170
21,1593789161.2888489,22000,76.93274688720703,170
22,1593790046.688359,23000,77.59378051757812,170
23,1593790936.522484,24000,76.88508605957031,170
24,1593791886.9601989,25000,79.68502807617188,170
25,1593792836.0632918,26000,79.78498077392578,170
26,1593793714.004498,27000,78.280029296875,170
27,1593794660.4006119,28000,79.25769805908203,170
28,1593795587.4061859,29000,78.6751480102539,170
29,1593796539.79778,30000,79.7715072631836,170
30,1593797412.114759,31000,78.22086334228516,170
0,1594026185.754998,1000,71.4420166015625,180
1,1594026834.0358949,2000,71.62344360351562,180
2,1594027516.481559,3000,75.18282318115234,180
3,1594028157.162208,4000,75.798583984375,180
4,1594028805.505027,5000,73.97941589355469,180
5,1594029466.318223,6000,74.0938949584961,180
6,1594030151.336689,7000,77.01728057861328,180
7,1594030818.090507,8000,73.97918701171875,180
8,1594031506.365375,9000,73.75048065185547,180
9,1594032213.553548,10000,75.14962005615234,180
10,1594032883.912972,11000,74.20718383789062,180
11,1594033621.273186,12000,75.28742980957031,180
12,1594034293.4877188,13000,73.87674713134766,180
13,1594034885.504608,14000,71.3138656616211,180
14,1594036872.183042,15000,73.17760467529297,180
15,1594037560.739784,16000,73.5881118774414,180
16,1594038217.788407,17000,73.2060775756836,180
17,1594038838.9394631,18000,73.15946960449219,180
18,1594039484.4364529,19000,71.41785430908203,180
19,1594040245.2280939,20000,73.21360778808594,180
20,1594040944.7081509,21000,72.98957824707031,180
21,1594041590.767601,22000,73.57907104492188,180
22,1594042240.7912722,23000,73.21357727050781,180
23,1594042972.2655108,24000,70.8750228881836,180
24,1594043810.882493,25000,57.28656387329102,180
25,1594044953.343359,26000,55.58451843261719,180
26,1594046024.031049,27000,51.63782501220703,180
27,1594046898.11025,28000,58.88685989379883,180
28,1594048075.992397,29000,68.67806243896484,180
29,1594049224.0089278,30000,69.01232147216797,180
30,1594049909.9005039,31000,70.4931411743164,180
31,1594050561.3573716,32000,67.81200408935547,180
32,1594051228.72248,33000,67.64781951904297,180
33,1594052052.931039,34000,69.17137145996094,180
34,1594052882.126894,35000,50.6949577331543,180
35,1594053684.8745859,36000,48.33838272094727,180
36,1594054581.330718,37000,48.67036437988281,180
37,1594055372.0668216,38000,47.30498886108398,180
38,1594056173.047803,39000,50.54387283325195,180
39,1594056977.812052,40000,51.5479621887207,180
0,1593769868.6372402,1000,77.2201919555664,200
1,1593770713.940756,2000,77.00144958496094,200
2,1593771416.142578,3000,79.53679656982422,200
3,1593772121.158803,4000,80.54190826416016,200
4,1593773187.248307,5000,82.88339233398438,200
5,1593774222.584973,6000,84.23332977294922,200
6,1593775283.268745,7000,87.21296691894531,200
7,1593776229.1944342,8000,83.84451293945312,200
8,1593776988.6596198,9000,83.47377014160156,200
9,1593777779.0900512,10000,84.75421905517578,200
10,1593778673.8926456,11000,84.36646270751953,200
11,1593779918.7607944,12000,86.41156005859375,200
12,1593781006.224334,13000,87.8591079711914,200
13,1593781856.5696,14000,85.5657958984375,200
14,1593782637.8260748,15000,86.11652374267578,200
15,1593783459.9623098,16000,85.83984375,200
16,1593784415.1859431,17000,85.04852294921875,200
17,1593785389.217848,18000,84.70706939697266,200
18,1593786377.626909,19000,83.35581970214844,200
19,1593787390.556776,20000,85.21957397460938,200
20,1593788297.157805,21000,84.78662872314453,200
21,1593789183.946718,22000,96.61135864257812,200
22,1593790067.573091,23000,102.80386352539062,200
23,1593790969.970956,24000,92.79513549804688,200
24,1593791911.4657366,25000,88.41649627685547,200
25,1593792866.8652759,26000,84.7591323852539,200
26,1593793742.919989,27000,82.47789764404297,200
27,1593794693.836833,28000,81.89923095703125,200
28,1593795623.628212,29000,77.87313842773438,200
29,1593796571.567278,30000,78.61279296875,200
30,1593797445.329946,31000,82.87305450439453,200
0,1593769831.788383,1000,62.87263107299805,150
1,1593770691.9177198,2000,63.18746566772461,150
2,1593771392.3615491,3000,54.30356216430664,150
3,1593772099.1792572,4000,49.97845077514648,150
4,1593773151.565824,5000,45.04653549194336,150
5,1593774202.04343,6000,50.221641540527344,150
6,1593775264.372739,7000,53.5049057006836,150
7,1593776216.514105,8000,51.63251495361328,150
8,1593776977.956856,9000,51.18048095703125,150
9,1593777772.7713199,10000,52.07361221313477,150
10,1593778666.80528,11000,52.23112869262695,150
11,1593779927.32108,12000,57.05121231079102,150
12,1593781020.4172661,13000,60.553428649902344,150
13,1593781872.99712,14000,59.52686309814453,150
14,1593782656.06812,15000,61.283485412597656,150
15,1593783487.5521102,16000,58.408912658691406,150
16,1593784447.8920732,17000,57.470741271972656,150
17,1593785424.7717726,18000,57.01652526855469,150
18,1593786432.284294,19000,56.082786560058594,150
19,1593787451.004739,20000,57.013572692871094,150
20,1593788356.057643,21000,56.711097717285156,150
21,1593789250.446188,22000,57.02513885498047,150
22,1593790129.5522518,23000,54.62444305419922,150
23,1593791051.201845,24000,44.56782531738281,150
24,1593791990.628778,25000,43.68650436401367,150
25,1593792959.204028,26000,44.01072692871094,150
26,1593793827.6095982,27000,42.52588653564453,150
27,1593794781.9005034,28000,45.26629257202149,150
28,1593795736.9569259,29000,47.98015213012695,150
29,1593796669.01458,30000,49.28461456298828,150
30,1593797537.2375119,31000,49.476295471191406,150
0,1594026180.66359,1000,60.14862823486328,140
1,1594026816.9005618,2000,59.76231002807617,140
2,1594027497.218014,3000,53.4107551574707,140
3,1594028132.474216,4000,60.74592971801758,140
4,1594028774.931188,5000,63.99588012695313,140
5,1594029428.411702,6000,65.55442047119139,140
6,1594030101.328104,7000,66.93124389648439,140
7,1594030760.885083,8000,64.44172668457031,140
8,1594031439.9985368,9000,64.36370086669922,140
9,1594032149.299768,10000,65.34297943115234,140
10,1594032794.410371,11000,64.96630859375,140
11,1594033523.649388,12000,65.50955963134766,140
12,1594034206.423017,13000,65.31244659423828,140
13,1594034802.511325,14000,63.8185043334961,140
14,1594036780.613308,15000,65.83934783935547,140
15,1594037461.9134722,16000,66.14563751220703,140
16,1594038109.3260171,17000,64.99695587158203,140
17,1594038718.527223,18000,64.91017150878906,140
18,1594039363.395257,19000,65.40423583984375,140
19,1594040090.896217,20000,69.50023651123047,140
20,1594040790.743125,21000,67.97962951660156,140
21,1594041453.51521,22000,68.17331695556639,140
22,1594042079.4181252,23000,67.82793426513672,140
23,1594042789.212392,24000,66.68000793457031,140
24,1594043564.065824,25000,75.46147155761719,140
25,1594044639.0726519,26000,74.97313690185547,140
26,1594045776.281203,27000,73.32026672363281,140
27,1594046676.1437712,28000,74.00837707519531,140
28,1594047681.236177,29000,72.98133850097656,140
29,1594048933.726221,30000,73.73162078857422,140
30,1594049712.589537,31000,74.31221771240234,140
31,1594050352.683393,32000,71.11044311523438,140
32,1594051008.6060169,33000,71.32320404052734,140
33,1594051747.6920376,34000,71.22627258300781,140
34,1594052594.97875,35000,83.26862335205078,140
35,1594053392.726995,36000,83.60472106933594,140
36,1594054247.0638864,37000,81.50038146972656,140
37,1594055078.8658078,38000,80.65863037109375,140
38,1594055862.5219722,39000,81.09336853027344,140
39,1594056662.159029,40000,82.3572998046875,140
