,Wall time,Step,Value,max_bid
0,1594026179.905199,1000,74.13886260986328,190
1,1594026815.2919412,2000,74.93801879882812,190
2,1594027495.544379,3000,33.13834762573242,190
3,1594028131.716585,4000,38.314064025878906,190
4,1594028770.464777,5000,37.49972152709961,190
5,1594029425.525876,6000,37.04841232299805,190
6,1594030096.571553,7000,38.86680221557617,190
7,1594030755.28024,8000,37.100982666015625,190
8,1594031434.068187,9000,36.97526168823242,190
9,1594032142.817417,10000,37.46800994873047,190
10,1594032783.329749,11000,38.60578155517578,190
11,1594033510.061444,12000,40.05598068237305,190
12,1594034192.862329,13000,39.15296936035156,190
13,1594034787.948035,14000,40.87152099609375,190
14,1594036759.765586,15000,42.536048889160156,190
15,1594037436.947406,16000,46.67959976196289,190
16,1594038085.002976,17000,56.84887313842773,190
17,1594038693.1931071,18000,66.15280151367189,190
18,1594039332.813186,19000,64.83155822753906,190
19,1594040051.477149,20000,62.32727813720703,190
20,1594040755.805871,21000,52.58831787109375,190
21,1594041421.923666,22000,52.83597183227539,190
22,1594042035.6107688,23000,53.2433090209961,190
23,1594042745.725722,24000,51.24862289428711,190
24,1594043514.9557269,25000,53.39592742919922,190
25,1594044531.971319,26000,65.78708648681639,190
26,1594045704.0267901,27000,62.87561416625977,190
27,1594046610.7687259,28000,63.81681442260742,190
28,1594047567.253089,29000,67.60062408447266,190
29,1594048853.0410721,30000,69.06171417236328,190
30,1594049660.451031,31000,73.39737701416016,190
31,1594050297.856979,32000,70.74467468261719,190
32,1594050945.840322,33000,70.36598968505861,190
33,1594051647.911167,34000,71.54935455322266,190
34,1594052516.2055962,35000,72.28305053710938,190
35,1594053316.1020591,36000,77.47674560546875,190
36,1594054158.258115,37000,77.44548797607422,190
37,1594055006.024914,38000,75.96430206298828,190
38,1594055772.83814,39000,77.50145721435547,190
39,1594056570.752023,40000,78.44014739990234,190
40,1594057439.7485306,41000,77.66120147705078,190
0,1594026183.9473991,1000,54.35190963745117,120
1,1594026826.8823721,2000,54.81091690063477,120
2,1594027509.9162118,3000,62.72024917602539,120
3,1594028148.726562,4000,58.44084167480469,120
4,1594028796.239758,5000,55.24762344360352,120
5,1594029457.571434,6000,54.9527816772461,120
6,1594030139.179827,7000,56.682044982910156,120
7,1594030803.043425,8000,55.12002182006836,120
8,1594031488.676675,9000,54.87854766845703,120
9,1594032196.5133731,10000,56.0446662902832,120
10,1594032859.4187891,11000,55.47720718383789,120
11,1594033594.7912278,12000,56.10618209838867,120
12,1594034271.289458,13000,55.99423217773438,120
