N2EX Day Ahead Auction Prices in GBP/MWh,,,,,,,,,
UK time,CET/CEST time,28/12/2017,27/12/2017,26/12/2017,25/12/2017,24/12/2017,23/12/2017,22/12/2017,21/12/2017
23 - 00,00 - 01,"48,98","55,04","51,43","50,95","50,00","64,92","48,84","54,00"
00 - 01,01 - 02,"52,10","54,96","52,00","52,12","52,12","60,00","48,10","48,93"
01 - 02,02 - 03,"52,10","52,03","50,00","50,00","58,00","51,01","48,09","47,47"
02 - 03,03 - 04,"51,70","45,61","45,64","50,00","47,30","50,83","45,67","46,54"
03 - 04,04 - 05,"48,18","43,07","40,57","42,93","42,41","45,00","45,39","46,09"
04 - 05,05 - 06,"47,08","37,48","31,45","38,94","34,01","36,00","44,62","46,01"
05 - 06,06 - 07,"48,99","43,10","33,76","39,96","37,10","36,63","45,09","49,67"
06 - 07,07 - 08,"49,92","46,42","37,93","52,00","34,92","45,90","56,45","54,00"
07 - 08,08 - 09,"46,59","43,00","32,00","37,20","33,93","43,96","58,58","57,42"
08 - 09,09 - 10,"49,72","48,01","40,99","57,00","41,13","49,98","61,63","61,62"
09 - 10,10 - 11,"54,83","52,06","44,00","51,58","42,45","54,00","61,98","63,41"
10 - 11,11 - 12,"53,33","50,59","44,52","60,19","52,83","54,90","60,94","60,89"
11 - 12,12 - 13,"53,44","58,00","44,54","61,75","46,20","50,50","59,04","59,34"
12 - 13,13 - 14,"51,38","57,30","54,51","74,99","55,00","49,70","56,59","60,23"
13 - 14,14 - 15,"55,00","50,59","54,51","73,25","54,10","48,66","54,98","56,56"
14 - 15,15 - 16,"55,89","48,06","61,70","57,73","55,00","46,05","52,82","52,66"
15 - 16,16 - 17,"47,75","46,54","48,52","51,60","46,64","45,71","52,82","60,85"
16 - 17,17 - 18,"70,93","67,00","69,00","61,00","72,80","61,36","57,50","64,88"
17 - 18,18 - 19,"94,96","88,00","75,50","59,35","79,30","73,95","62,75","66,66"
18 - 19,19 - 20,"88,00","76,30","70,55","50,00","63,47","68,00","62,38","65,39"
19 - 20,20 - 21,"67,96","69,37","65,55","48,54","49,49","54,54","59,05","63,08"
20 - 21,21 - 22,"53,00","53,00","50,20","46,69","50,56","50,92","48,95","57,00"
21 - 22,22 - 23,"57,82","47,51","54,44","50,00","46,41","48,00","48,89","51,73"
22 - 23,23 - 00,"49,92","46,96","46,91","50,00","42,86","44,56","45,01","47,77"
,,,,,,,,,
Min,,"46,59","37,48","31,45","37,20","33,93","36,00","44,62","46,01"
Max,,"94,96","88,00","75,50","74,99","79,30","73,95","62,75","66,66"
Average,,"56,23","53,33","50,01","52,82","49,50","51,46","53,59","55,93"
UK time,CET/CEST time,28/12/2017,27/12/2017,26/12/2017,25/12/2017,24/12/2017,23/12/2017,22/12/2017,21/12/2017
