Company,Name,Fuel,Capacity,Start_date
EDF renewables,Boundary Lane,Wind,6.00,2013.00
EDF renewables,Broomhill,Wind,8.00,2009.00
EDF renewables,Burnfoot,Wind,30.10,2010.00
EDF renewables,Burnhead Moss,Wind,26.00,2015.00
EDF renewables,Cemmaes,Wind,15.30,2002.00
EDF renewables,Cold Northcott,Wind,6.60,1993.00
EDF renewables,Corriemoillie,Wind,47.50,2017.00
EDF renewables,Deeping,Wind,16.00,2006.00
EDF renewables,Fairfield,Wind,6.50,2011.00
EDF renewables,Fallago Rig,Wind,144.00,2013.00
EDF renewables,Glass Moor,Wind,16.00,2006.00
EDF renewables,Glass Moor II,Wind,12.00,2013.00
EDF renewables,Great Orton,Wind,4.00,1999.00
EDF renewables,Green Rigg,Wind,36.00,2012.00
EDF renewables,High Hedley I,Wind,2.40,2001.00
EDF renewables,High Hedley II,Wind,5.20,2008.00
EDF renewables,Kirkheaton,Wind,1.80,2000.00
EDF renewables,Langley,Wind,8.00,2008.00
EDF renewables,Llangwyryfon,Wind,9.40,1993.00
EDF renewables,Longpark,Wind,38.00,2009.00
EDF renewables,Park Spring,Wind,8.60,2015.00
EDF renewables,Pearie Law,Wind,19.20,2016.00
EDF renewables,Red House,Wind,12.00,2006.00
EDF renewables,Red Tile,Wind,24.00,2006.00
EDF renewables,Rhodders ,Wind,12.00,2016.00
EDF renewables,Roade,Wind,7.20,2014.00
EDF renewables,Rusholme,Wind,24.00,2010.00
EDF renewables,Teesside (offshore),Wind (offshore),62.00,2013.00
EDF renewables,Trimdon,Wind,5.20,2008.00
EDF renewables,Walkway,Wind,14.00,2008.00
EDF renewables,Winscales I,Wind,2.00,1999.00
EDF renewables,Winscales II,Wind,6.80,2005.00
Eggborough Power Ltd,Eggborough,Coal,1960.00,1967.00
Eneco,Burn of Whilk,Wind,22.50,2015.00
Eneco,Lochluichart,Wind,69.00,2014.00
Eneco,Moy,Wind,60.00,2016.00
Eneco,Tullo,Wind,17.00,2010.00
Eneco,Twinshiels,Wind,25.00,2015.00
Eneco,Oaklands,Solar,5.00,2016.00
Eneco,Oaklands,Solar,5.00,2016.00
Engie,Deeside,CCGT,515.00,1994.00
Engie,Dinorwig,Pumped storage,1800.00,1983.00
Engie,Ffestiniog,Pumped storage,360.00,1961.00
EPR,Eye Suffolk,Biomass_poultry_litter,14.30,1992.00
EPR,Glanford,Meat,14.00,1993.00
EPR,Thetford,Biomass_poultry_litter,41.50,1998.00
EPR,Westfield,Biomass_poultry_litter,12.50,2000.00
EPR,EPR Ely Ltd,Straw,38.00,2001.00
EPUKi,South Humber Bank,CCGT,1365.00,1996.00
EPUKi,Langage,CCGT,905.00,2010.00
ESB,Coolkeeragh,CCGT,408.00,2005.00
ESB,Coolkeeragh OCGT,Gas oil,53.00,2005.00
ESB,Carrington,CCGT,910.00,2016.00
Falck renewables LTD,Assel Valley,Wind,25.00,2016.00
Falck renewables LTD,Auchrobert,Wind,38.80,2017.00
Falck renewables LTD,Ben Aketil,Wind,27.60,2007.00
Falck renewables LTD,Boyndie,Wind,16.30,2006.00
Falck renewables LTD,Cambrian,Wind,58.50,2016.00
Falck renewables LTD,Earlsburn,Wind,37.50,2006.00
Falck renewables LTD,Kilbraur,Wind,67.50,2008.00
Falck renewables LTD,Kingsburn,Wind,22.50,2016.00
Falck renewables LTD,Millennium,Wind,65.00,2007.00
Falck renewables LTD,Nutberry,Wind,15.00,2011.00
Falck renewables LTD,Spaldington,Wind,11.80,2016.00
Falck renewables LTD,West Browncastle,Wind,30.00,2014.00
Foresight Group ,Shotwick Solar Park,Solar,72.20,2016.00
Fred Olsen Renewables,Brockloch Rig ,Wind,61.50,2017.00
Fred Olsen Renewables,Crystal Rig,Wind,62.50,2003.00
Fred Olsen Renewables,Crystal Rig II,Wind,138.00,2003.00
Fred Olsen Renewables,Crystal Rig III,Wind,13.80,2016.00
Fred Olsen Renewables,Mid Hill,Wind,75.90,2013.00
Fred Olsen Renewables,Pauls Hill,Wind,64.40,2005.00
Fred Olsen Renewables,Rothes,Wind,50.60,2004.00
Fred Olsen Renewables,Rothes II,Wind,41.40,2013.00
Greencoat,Bin Mountain Wind Farm ,Wind,9.00,2007.00
Greencoat,Bishopthorpe,Wind,20.00,2017.00
Greencoat,Bogenlea,Wind,2.30,2014.00
Greencoat,Braes of Doune Wind Farm,Wind,72.00,2006.00
Greencoat,Carcant Wind Farm,Wind,6.00,2010.00
Greencoat,Cotton Farm,Wind,16.40,2013.00
Greencoat,Drone Hill,Wind,28.60,2012.00
Greencoat,Earls Hall Farm,Wind,10.30,2013.00
Greencoat,Kildrummy,Wind,18.40,2013.00
Greencoat,Langhope Rig,Wind,20.00,2015.00
Greencoat,Maerdy,Wind,24.00,2012.00
Greencoat,North Rhins,Wind,22.00,2010.00
Greencoat,Screggagh,Wind,20.00,2011.00
Greencoat,Sixpenny Wood,Wind,20.50,2013.00
Greencoat,Stroupster,Wind,29.90,2015.00
Greencoat,Tappaghan Wind Farm,Wind,28.50,2004.00
Greencoat,Yelvertoft,Wind,16.40,2013.00
Greencoat,Slieve Divena,Wind,30.00,2009.00
Greencoat,30 Acres,Solar,5.00,2016.00
Greencoat,Ainderby,Solar,5.00,2017.00
Greencoat,Ashby,Solar,5.00,2016.00
Greencoat,Bann Road,Solar,45.80,2017.00
Greencoat,Bedborough,Solar,5.00,2015.00
Greencoat,Berthllwyd,Solar,5.00,2017.00
Greencoat,Bilsborrow,Solar,5.00,2017.00
Greencoat,Bodwen,Solar,5.00,2017.00
Greencoat,Bryn Bachau,Solar,4.60,2016.00
Greencoat,Carnemough,Solar,10.10,2016.00
Greencoat,Chatteris,Solar,4.30,2016.00
Greencoat,Coltishall 1,Solar,33.70,2015.00
Greencoat,Coltishall 2.1,Solar,4.70,2016.00
Greencoat,Coltishall 2.2,Solar,4.90,2016.00
Greencoat,Coltishall 2.3,Solar,5.00,2016.00
Greencoat,Coltishall 2.4,Solar,3.70,2016.00
Greencoat,Common Farm,Solar,3.40,2017.00
Greencoat,Ebnal Lodge,Solar,5.00,2017.00
Greencoat,Eveley,Solar,49.30,2016.00
Greencoat,Fanny House,Solar,4.90,2015.00
Greencoat,Ferry Farm,Solar,4.90,2015.00
Greencoat,Hunger Hill,Solar,5.00,2017.00
Greencoat,Lagness,Solar,4.80,2016.00
Greencoat,Lower House,Solar,8.20,2016.00
Greencoat,Manor Farm,Solar,4.90,2016.00
Greencoat,Margate,Solar,3.40,2015.00
Greencoat,Merston,Solar,5.00,2016.00
Greencoat,Ramsey Airfields,Solar,5.00,2016.00
Greencoat,Ramsey Heights,Solar,5.00,2016.00
Greencoat,Redbridge,Solar,6.50,2013.00
Greencoat,Sandhutton,Solar,5.00,2017.00
Greencoat,Sellindge,Solar,11.20,2016.00
Greencoat,Stonebarrow,Solar,7.50,2014.00
Greencoat,Westover,Solar,7.00,2014.00
Greencoat,Wilton,Solar,9.50,2015.00
Greencoat,Wrangle Farm,Solar,10.80,2014.00
Greencoat,Wraysbury,Solar,3.00,2017.00
Greencoat,Common Farm,Solar,3.40,2017.00
Greencoat,Manor Farm,Solar,4.90,2016.00
Indian Queens Power Ltd,Indian Queens,Gas,140.00,1996.00
Infinis,Ardrossan,Wind,30.00,2004.00
Infinis,A'Chruach,Wind,42.60,2016.00
Infinis,Blackstone Edge,Wind,6.00,2013.00
Infinis,Dalswinton,Wind,30.00,2007.00
Infinis,Galawhistle,Wind,55.20,2016.00
Infinis,Glenkerie,Wind,19.40,2012.00
Infinis,Gordonstown,Wind,12.30,2013.00
Infinis,Hill of Fiddes,Wind,6.90,2010.00
Infinis,Lissett,Wind,30.00,2007.00
Infinis,Low Spinney,Wind,8.00,2011.00
Infinis,Minsca,Wind,36.80,2007.00
Infinis,Mynydd Clogau,Wind,14.30,2005.00
Infinis,North Steads,Wind,18.50,2016.00
Infinis,Rheidol,Wind,2.40,1997.00
Infinis,Seamer,Wind,10.30,2012.00
Infinis,Sisters,Wind,8.20,2016.00
Infinis,Tedder Hill,Wind,6.80,2013.00
Infinis,Westfield,Wind,9.80,2013.00
Infinis,Wingates,Wind,14.70,2013.00
Infinis,Bears down reservoir ,Wind,9.60,2001.00
Infinis,Beinn ghlas windfarm,Wind,8.40,1999.00
Infinis,Bryn titli wind farm,Wind,10.00,1994.00
Infinis,Carno,Wind,33.60,1997.00
Infinis,Causeymire wind farm,Wind,48.30,2004.00
Infinis,Farr wind farm ltd,Wind,92.00,2005.00
Infinis,Fynnon Oer,Wind,32.00,2006.00
Infinis,Kirkby moor wind farm,Wind,4.80,1993.00
Infinis,Lambirgg,Wind,6.50,2000.00
Infinis,Llyn Alaw,Wind,20.40,1997.00
Infinis,Mynydd gorddu ,Wind,10.20,1998.00
Infinis,Novar,Wind,17.00,1997.00
Infinis,Taff Ely  ,Wind,9.00,1993.00
Infinis,Tow law wind farm,Wind,2.30,2001.00
Infinis,Trysglwyn,Wind,5.60,1996.00
Infinis,Windy Standard,Wind,21.60,1996.00
Innogy renewables,An Suidhe,Wind,19.30,2005.00
Innogy renewables,Bilbster,Wind,3.90,2007.00
Innogy renewables,Bradwell,Wind,20.50,2013.00
Innogy renewables,Burgar Hill,Wind,5.00,2006.00
Innogy renewables,Galloper,Wind (offshore),33.00,2013.00
