,Fuel,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Coal,GBP/kWh,0.00635320142,0.00625917927,0.00660043197,0.00611,0.00528,0.005,0.00507,0.00474,0.00421,0.00405,0.00406352107,0.00444,0.00409,0.00389,0.0045,0.00497,0.00522919998,0.00565512011,0.00900881082,0.00753405424,0.00869274991,0.0110958977,0.0091136728,0.00842375732,0.00779075695,0.0066926379,0.00746526098,0.01015943663
1,Oil,GBP/kWh,0.00445714343,0.0047179559,0.0048129483,0.00472,0.00526,0.00684,0.00709,0.00746,0.00599,0.00715,0.0101,0.00981,0.01061,0.01308,0.012048683,0.01932,0.02117,0.01983731524,0.02372543826,0.02220398602,0.03487284368,0.04417661496,0.04798502872,0.04488661584,0.04053018189,0.02702637393,0.02393103932,0.03082835111
2,Gas,GBP/kWh,0.00562,0.00607,0.00595,0.00556,0.00588,0.00584,0.00592,0.00593,0.0056,0.00468,0.00534,0.00647,0.00601,0.0065,0.00706,0.00973,0.01264,0.01047,0.01481,0.01135,0.01307,0.01711,0.021354879,0.02299285501,0.01889735614,0.01585520201,0.0127587316,0.01524149451
