,year,price
0,2013,4.94
1,2014,9.55
2,2015,18.08
3,2016,18.08
4,2017,18.08
5,2018,18.08
0,2009,13.685217391304345
1,2010,14.353867924528306
2,2011,13.214302788844616
3,2012,7.497410358565736
4,2013,4.602989130434782
5,2014,5.996598984771577
6,2015,7.936227544910171
7,2016,5.611363636363635
8,2017,5.75960199004975
9,2018,15.26517948717949
