,estimator,mean_fit_time,mean_score_time,mean_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,mean_test_r2,param_model__estimator__C,param_model__estimator__gamma,param_model__estimator__kernel,param_model__estimator__learning_rate,param_model__estimator__n_estimators,param_model__estimator__n_neighbors,params,rank_test_neg_mean_absolute_error,rank_test_neg_mean_squared_error,rank_test_r2,split0_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split0_test_r2,split1_test_neg_mean_absolute_error,split1_test_neg_mean_squared_error,split1_test_r2,split2_test_neg_mean_absolute_error,split2_test_neg_mean_squared_error,split2_test_r2,split3_test_neg_mean_absolute_error,split3_test_neg_mean_squared_error,split3_test_r2,split4_test_neg_mean_absolute_error,split4_test_neg_mean_squared_error,split4_test_r2,std_fit_time,std_score_time,std_test_neg_mean_absolute_error,std_test_neg_mean_squared_error,std_test_r2
0,LinearRegression,56.99670729637146,4.84223108291626,-2249.3353724360063,-9444808.950776901,0.8060672378105996,,,,,,,{},1,1,1,-2341.4306723670957,-10673484.844743932,0.799206805597274,-2036.5677527132164,-7536601.836868003,0.8391558823133947,-2263.6855328390343,-9960917.25819468,0.7932133413100003,-2306.717587526723,-10035361.766008908,0.7807646808559875,-2298.275316733962,-9017679.04806898,0.8179954789763418,17.7343161526871,0.9819026432589191,109.22029860066853,1090729.9581784282,0.0204433309721464
0,Lasso,787.9657652378082,3.130403184890747,-2249.550206753945,-9446957.221240157,0.8060019241204935,,,,,,,{},1,1,1,-2335.4589401726803,-10621671.56065807,0.8001814830825671,-2038.2176312989268,-7554098.621026732,0.8387824509207734,-2263.8033325419033,-9958471.92642116,0.7932641025062331,-2308.0523491255058,-10047281.023790935,0.7805043871215983,-2302.218780630709,-9053262.97430388,0.8172771969712956,332.70081973114554,0.15715493655244828,108.11234791369962,1071438.1532531073,0.020238323752359687
0,Ridge,26.99229226112366,5.034224367141723,-2252.2328066429122,-9444701.581695812,0.8060627862707632,,,,,,,{},1,1,1,-2346.748757451712,-10656014.815399988,0.7995353385718232,-2039.9368972029333,-7542690.815882667,0.8390259212120125,-2265.1632275608513,-9953601.771951834,0.79336520785204,-2308.5109573430195,-10039061.843518026,0.7806838657055245,-2300.8041936560458,-9032138.661726538,0.8177035980124162,9.415740221147788,0.8719684051459354,109.26703417770419,1083270.6393903173,0.020347001957921627
0,ElasticNet,54.49470434188843,6.134713459014892,-4628.63769301089,-31139231.957811795,0.358834729304393,,,,,,,{},1,1,1,-4512.609789226949,-30399492.891011268,0.42812960899090013,-4398.77009283558,-27695209.47667976,0.40892465060207667,-4552.427508073655,-30340681.024974827,0.37013171155572017,-4821.374655701732,-33353381.29686426,0.27134306044449036,-4858.006419216533,-33907395.09952886,0.3156446149287776,26.518078960894407,1.729861886687527,179.92616802650437,2263244.255692076,0.058238441727147955
0,llars,46.8515528678894,8.002740383148193,-2333.3081561305034,-10164815.44658266,0.7910126500237801,,,,,,,{},1,1,1,-2335.6118193073685,-10723807.257157464,0.7982610342895523,-2129.4961268479024,-8265038.246275249,0.8236093721964185,-2366.827751371594,-10864321.879178781,0.7744586425140766,-2405.7960383527843,-10827148.612176709,0.7634677842314271,-2428.80904477287,-10143761.238125095,0.7952664168874256,12.670819195981329,1.4855915466517196,106.8111662795644,984892.1774773645,0.020813143441319838
0,ExtraTreesRegressor,9321.519581747056,58.06293330192566,-1604.9960931059245,-5562579.529637376,0.8858740521569856,,,,,32,,{'model__estimator__n_estimators': 32},1,1,1,-1591.8873952424747,-6519743.747523606,0.8773514121092919,-1314.5644445982975,-3741706.0578908026,0.9201436630393355,-1723.3900893889797,-6247484.726287975,0.8703031431524769,-1739.0566420656571,-6179342.445068117,0.8650029313323663,-1656.081894234212,-5124620.6714163795,0.8965691111514573,3182.768860972011,22.872692462195523,154.35122845945148,1026941.3930557128,0.02019644920280792
0,RandomForestRegressor,16567.4611266613,13.98874111175537,-1646.2854098477978,-5882618.893886032,0.8792190467334424,,,,,32,,{'model__estimator__n_estimators': 32},1,1,1,-1628.3098721860706,-6735104.744017246,0.8732993523896274,-1344.4370010150114,-3978769.558078803,0.9150840463004966,-1752.8713598746224,-6532333.28397391,0.8643895913453684,-1804.3134794551368,-6679994.112038072,0.854064832810557,-1701.4953367081487,-5486892.771322129,0.8892574108211629,3411.9654378758064,9.45835335591821,161.75113812272303,1055074.367939749,0.021329589559163042
0,AdaBoostRegressor,8897.55066537857,26.898185539245606,-3544.4867822876226,-18551963.36084495,0.6173565859950855,,,,,32,,{'model__estimator__n_estimators': 32},1,1,1,-3344.0768281114356,-16938096.590895217,0.6813634206251616,-3524.5979937358547,-17509107.648021057,0.626316233870737,-3694.8143295176574,-20086256.566324178,0.5830131285662443,-3600.1144612219537,-19467995.635685947,0.5746930993354961,-3558.8302988512114,-18758360.363298368,0.6213970475777884,3250.7387472102682,12.95315448415865,115.28942729512332,1177105.3037404313,0.03792920157698675
0,GradientBoostingRegressor,6417.616139602661,8.161521387100219,-1833.616582331571,-6744402.868713452,0.861570008301348,,,,0.8,32,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 32}",1,1,1,-1893.8808845229244,-7898618.892376897,0.8514136737094083,-1590.0453661385297,-5054566.24318798,0.8921240790561131,-1921.2543325391423,-7461649.753638198,0.8450969035862205,-1930.4112602056766,-7336946.935463406,0.8397138868827952,-1832.491068251581,-5970232.518900777,0.879501498272203,2913.670794297775,2.420801786116681,126.49867602825634,1063264.1953675176,0.02052946140074588
0,SVR,19170.82212781906,5221.664779186249,-5926.746660779901,-51217167.49704639,-0.0534926190426271,10,0.001,rbf,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",1,1,1,-5899.158773933264,-52675171.859315716,0.009102052240281345,-5737.367773587134,-48818733.2713834,-0.04190712757159074,-5959.382503441345,-51782022.75516698,-0.07498938060143638,-6004.203587773741,-50880668.25362752,-0.1115733446201248,-6033.620665164021,-51929241.345738344,-0.0480952946602649,6958.570408048381,1203.3487870420274,104.98779071271294,1327976.3420081658,0.03979178065192398
