,hour,variable,value
0,1,predictions,22950.23958333333
1,2,predictions,22687.992187500004
2,3,predictions,22162.968750000007
3,4,predictions,22066.781249999996
4,5,predictions,22576.528645833336
5,6,predictions,24399.278645833336
6,7,predictions,29582.575520833332
7,8,predictions,31996.111979166664
8,9,predictions,32119.486979166668
9,10,predictions,32102.98697916667
10,11,predictions,31873.12334280304
11,12,predictions,31070.109375
12,13,predictions,31057.221354166675
13,14,predictions,31146.723958333343
14,15,predictions,31326.10677083334
15,16,predictions,32509.520833333325
16,17,predictions,34363.8125
17,18,predictions,34316.83593749999
18,19,predictions,33777.302083333336
19,20,predictions,32718.140624999996
20,21,predictions,31243.888020833332
21,22,predictions,29891.999999999993
22,23,predictions,26485.32291666666
23,24,predictions,24547.776041666668
24,25,predictions,24130.55989583334
25,26,predictions,23544.8125
26,27,predictions,23469.52083333334
27,28,predictions,23186.997395833336
28,29,predictions,23119.028645833332
29,30,predictions,25122.057291666664
30,31,predictions,29623.96354166666
31,32,predictions,32152.781249999996
32,33,predictions,33020.2578125
33,34,predictions,32731.609375000004
34,35,predictions,32712.783854166668
35,36,predictions,32954.052083333336
36,37,predictions,32808.0078125
37,38,predictions,31920.429687500004
38,39,predictions,32532.58854166667
39,40,predictions,33387.880208333336
40,41,predictions,34486.778645833336
41,42,predictions,34627.895833333336
42,43,predictions,33607.86197916667
43,44,predictions,33233.02343750001
44,45,predictions,32496.26041666667
45,46,predictions,30058.83333333334
46,47,predictions,26389.437500000004
47,48,predictions,24422.807291666664
48,49,predictions,24017.598958333336
49,50,predictions,23832.656250000004
50,51,predictions,23509.22135416667
51,52,predictions,23398.583333333336
52,53,predictions,23346.119791666664
53,54,predictions,25706.705729166668
54,55,predictions,30452.273437499996
55,56,predictions,33124.1875
56,57,predictions,33320.549479166664
57,58,predictions,32140.96354166666
58,59,predictions,32331.619791666664
59,60,predictions,32775.4609375
60,61,predictions,32443.04947916667
61,62,predictions,31783.773437499996
62,63,predictions,31800.4609375
63,64,predictions,32861.986979166664
64,65,predictions,33722.33593749999
65,66,predictions,33760.99739583333
66,67,predictions,33827.22135416666
67,68,predictions,32804.13541666667
68,69,predictions,32142.880208333332
69,70,predictions,30012.268229166668
70,71,predictions,25974.0390625
71,72,predictions,24515.817708333332
72,73,predictions,23552.09895833333
73,74,predictions,23060.252604166675
74,75,predictions,22810.539062500004
75,76,predictions,22839.8203125
76,77,predictions,22698.364583333332
77,78,predictions,25281.48958333333
78,79,predictions,30068.33333333333
79,80,predictions,32087.64583333333
80,81,predictions,32429.020833333332
81,82,predictions,32157.239583333336
82,83,predictions,31838.218750000004
83,84,predictions,31641.28385416667
84,85,predictions,31303.0390625
85,86,predictions,31620.268229166668
86,87,predictions,32205.79427083333
87,88,predictions,33642.9140625
88,89,predictions,34428.442708333336
89,90,predictions,34153.36055871212
90,91,predictions,33826.70052083334
91,92,predictions,32882.299479166664
92,93,predictions,32337.47395833334
93,94,predictions,30439.979166666668
