,hour,variable,value
0,1,actuals,22705.58333333333
1,2,actuals,22424.33333333333
2,3,actuals,22304.08333333333
3,4,actuals,22099.66666666667
4,5,actuals,22870.58333333333
5,6,actuals,24666.25
6,7,actuals,29032.41666666667
7,8,actuals,30905.66666666667
8,9,actuals,30622.58333333333
9,10,actuals,29866.25
10,11,actuals,29249.75
11,12,actuals,29068.75
12,13,actuals,28815.33333333333
13,14,actuals,28535.58333333333
14,15,actuals,28891.91666666667
15,16,actuals,30335.75
16,17,actuals,31852.5
17,18,actuals,32450.5
18,19,actuals,32533.66666666667
19,20,actuals,32090.08333333333
20,21,actuals,31295.33333333333
21,22,actuals,29489.91666666667
22,23,actuals,25933.91666666667
23,24,actuals,23823.33333333333
24,25,actuals,23427.25
25,26,actuals,23271.16666666667
26,27,actuals,22707.41666666667
27,28,actuals,22532.16666666667
28,29,actuals,22882.41666666667
29,30,actuals,25305.41666666667
30,31,actuals,29709.58333333333
31,32,actuals,32005.41666666667
32,33,actuals,32488.5
33,34,actuals,32107.5
34,35,actuals,31839.0
35,36,actuals,31774.25
36,37,actuals,31490.25
37,38,actuals,31277.91666666667
38,39,actuals,31525.5
39,40,actuals,32607.08333333333
40,41,actuals,33477.666666666664
41,42,actuals,33667.5
42,43,actuals,33685.0
43,44,actuals,33152.75
44,45,actuals,31834.16666666667
45,46,actuals,30015.08333333333
46,47,actuals,26408.33333333333
47,48,actuals,23994.0
48,49,actuals,23138.66666666667
49,50,actuals,22843.75
50,51,actuals,22407.41666666667
51,52,actuals,22191.33333333333
52,53,actuals,22396.08333333333
53,54,actuals,25162.91666666667
54,55,actuals,29605.5
55,56,actuals,31070.91666666667
56,57,actuals,30681.33333333333
57,58,actuals,29838.91666666667
58,59,actuals,29675.83333333333
59,60,actuals,29864.91666666667
60,61,actuals,29557.66666666667
61,62,actuals,29566.83333333333
62,63,actuals,29734.66666666667
63,64,actuals,30837.58333333333
64,65,actuals,31985.91666666667
65,66,actuals,31979.41666666667
66,67,actuals,31263.0
67,68,actuals,30268.08333333333
68,69,actuals,29084.58333333333
69,70,actuals,26971.25
70,71,actuals,23528.41666666667
71,72,actuals,21738.5
72,73,actuals,21321.5
73,74,actuals,21204.75
74,75,actuals,20813.416666666668
75,76,actuals,21106.0
76,77,actuals,20858.0
77,78,actuals,22840.5
78,79,actuals,26765.91666666667
79,80,actuals,28873.25
80,81,actuals,29459.75
81,82,actuals,29088.08333333333
82,83,actuals,28480.75
83,84,actuals,27400.5
84,85,actuals,26505.58333333333
