,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,estimator
0,23.060979032516478,5.394588601815376,1.1329693794250488,0.3071838128563904,{},-2341.4306723670957,-2036.5677527132164,-2263.6855328390343,-2306.717587526723,-2298.275316733962,-2249.3353724360063,109.22029860066853,1,-10673484.844743932,-7536601.836868003,-9960917.25819468,-10035361.766008908,-9017679.04806898,-9444808.950776901,1090729.9581784282,1,0.799206805597274,0.8391558823133947,0.7932133413100003,0.7807646808559875,0.8179954789763418,0.8060672378105996,0.0204433309721464,1,LinearRegression
0,67.27315196990966,17.881325569313354,0.11980071067810058,0.011979054948646107,{},-2335.4589401726803,-2038.2176312989268,-2263.8033325419033,-2308.0523491255058,-2302.218780630709,-2249.550206753945,108.11234791369962,1,-10621671.56065807,-7554098.621026732,-9958471.92642116,-10047281.023790935,-9053262.97430388,-9446957.221240157,1071438.1532531073,1,0.8001814830825671,0.8387824509207734,0.7932641025062331,0.7805043871215983,0.8172771969712956,0.8060019241204935,0.020238323752359687,1,Lasso
0,11.744073152542114,4.983414018191347,2.599998712539673,0.43993709631720157,{},-2346.748757451712,-2039.9368972029333,-2265.1632275608513,-2308.5109573430195,-2300.8041936560458,-2252.2328066429122,109.26703417770419,1,-10656014.815399988,-7542690.815882667,-9953601.771951834,-10039061.843518026,-9032138.661726538,-9444701.581695812,1083270.6393903173,1,0.7995353385718232,0.8390259212120125,0.79336520785204,0.7806838657055245,0.8177035980124162,0.8060627862707632,0.020347001957921627,1,Ridge
0,19.566080236434935,8.571198458663755,1.6634963035583497,0.9213625976713211,{},-4512.609789226949,-4398.77009283558,-4552.427508073655,-4821.374655701732,-4858.006419216533,-4628.63769301089,179.92616802650437,1,-30399492.891011268,-27695209.47667976,-30340681.024974827,-33353381.29686426,-33907395.09952886,-31139231.957811795,2263244.255692076,1,0.42812960899090013,0.40892465060207667,0.37013171155572017,0.27134306044449036,0.3156446149287776,0.358834729304393,0.058238441727147955,1,ElasticNet
0,20.264833784103395,5.716914419972528,2.6608699321746827,1.629470902901363,{},-2335.6118193073685,-2129.4961268479024,-2366.827751371594,-2405.7960383527843,-2428.80904477287,-2333.3081561305034,106.8111662795644,1,-10723807.257157464,-8265038.246275249,-10864321.879178781,-10827148.612176709,-10143761.238125095,-10164815.44658266,984892.1774773645,1,0.7982610342895523,0.8236093721964185,0.7744586425140766,0.7634677842314271,0.7952664168874256,0.7910126500237801,0.020813143441319838,1,llars
