,predictions,actuals,hour
147,19967.869791666664,19953.33333333333,148
148,19760.658854166664,19568.08333333333,149
149,20083.486979166664,20137.25,150
150,20758.502604166668,21195.454545454544,151
151,22766.794270833332,22368.41666666667,152
152,24427.156249999993,24119.33333333333,153
153,24689.117187499996,25173.41666666667,154
154,24485.796874999996,25905.16666666667,155
155,24497.458333333332,26340.5,156
156,23813.06770833333,26058.41666666667,157
157,24471.72135416667,25720.5,158
158,24889.411458333336,26101.83333333333,159
159,24826.82291666666,27165.5,160
160,25699.49739583333,28050.0,161
161,26198.859375,28609.41666666667,162
162,26809.200520833332,28840.75,163
163,26487.1484375,28387.91666666667,164
164,26091.40364583333,27492.0,165
165,24647.848958333332,26132.41666666667,166
166,22928.041666666664,23086.5,167
167,21197.46875,21450.166666666668,168
