,predictions,actuals,hour
0,22950.23958333333,22705.58333333333,1
1,22687.992187500004,22424.33333333333,2
2,22162.968750000007,22304.08333333333,3
3,22066.781249999996,22099.66666666667,4
4,22576.528645833336,22870.58333333333,5
5,24399.278645833336,24666.25,6
6,29582.575520833332,29032.41666666667,7
7,31996.111979166664,30905.66666666667,8
8,32119.486979166668,30622.58333333333,9
9,32102.98697916667,29866.25,10
10,31873.12334280304,29249.75,11
11,31070.109375,29068.75,12
12,31057.221354166675,28815.33333333333,13
13,31146.723958333343,28535.58333333333,14
14,31326.10677083334,28891.91666666667,15
15,32509.520833333325,30335.75,16
16,34363.8125,31852.5,17
17,34316.83593749999,32450.5,18
18,33777.302083333336,32533.66666666667,19
19,32718.140624999996,32090.08333333333,20
20,31243.888020833332,31295.33333333333,21
21,29891.999999999993,29489.91666666667,22
22,26485.32291666666,25933.91666666667,23
23,24547.776041666668,23823.33333333333,24
24,24130.55989583334,23427.25,25
25,23544.8125,23271.16666666667,26
26,23469.52083333334,22707.41666666667,27
27,23186.997395833336,22532.16666666667,28
28,23119.028645833332,22882.41666666667,29
29,25122.057291666664,25305.41666666667,30
30,29623.96354166666,29709.58333333333,31
31,32152.781249999996,32005.41666666667,32
32,33020.2578125,32488.5,33
33,32731.609375000004,32107.5,34
34,32712.783854166668,31839.0,35
35,32954.052083333336,31774.25,36
36,32808.0078125,31490.25,37
37,31920.429687500004,31277.91666666667,38
38,32532.58854166667,31525.5,39
39,33387.880208333336,32607.08333333333,40
40,34486.778645833336,33477.666666666664,41
41,34627.895833333336,33667.5,42
42,33607.86197916667,33685.0,43
43,33233.02343750001,33152.75,44
44,32496.26041666667,31834.16666666667,45
45,30058.83333333334,30015.08333333333,46
46,26389.437500000004,26408.33333333333,47
47,24422.807291666664,23994.0,48
48,24017.598958333336,23138.66666666667,49
49,23832.656250000004,22843.75,50
50,23509.22135416667,22407.41666666667,51
51,23398.583333333336,22191.33333333333,52
52,23346.119791666664,22396.08333333333,53
53,25706.705729166668,25162.91666666667,54
54,30452.273437499996,29605.5,55
55,33124.1875,31070.91666666667,56
56,33320.549479166664,30681.33333333333,57
57,32140.96354166666,29838.91666666667,58
58,32331.619791666664,29675.83333333333,59
59,32775.4609375,29864.91666666667,60
60,32443.04947916667,29557.66666666667,61
61,31783.773437499996,29566.83333333333,62
62,31800.4609375,29734.66666666667,63
63,32861.986979166664,30837.58333333333,64
64,33722.33593749999,31985.91666666667,65
65,33760.99739583333,31979.41666666667,66
66,33827.22135416666,31263.0,67
67,32804.13541666667,30268.08333333333,68
68,32142.880208333332,29084.58333333333,69
69,30012.268229166668,26971.25,70
70,25974.0390625,23528.41666666667,71
71,24515.817708333332,21738.5,72
72,23552.09895833333,21321.5,73
73,23060.252604166675,21204.75,74
74,22810.539062500004,20813.416666666668,75
75,22839.8203125,21106.0,76
76,22698.364583333332,20858.0,77
77,25281.48958333333,22840.5,78
78,30068.33333333333,26765.91666666667,79
79,32087.64583333333,28873.25,80
80,32429.020833333332,29459.75,81
81,32157.239583333336,29088.08333333333,82
82,31838.218750000004,28480.75,83
83,31641.28385416667,27400.5,84
84,31303.0390625,26505.58333333333,85
85,31620.268229166668,25601.16666666667,86
86,32205.79427083333,25786.08333333333,87
87,33642.9140625,27649.66666666667,88
88,34428.442708333336,29229.16666666667,89
89,34153.36055871212,30208.91666666667,90
90,33826.70052083334,30920.58333333333,91
91,32882.299479166664,30516.08333333333,92
92,32337.47395833334,29484.66666666667,93
93,30439.979166666668,28889.5,94
94,26716.86458333334,26113.91666666667,95
95,24407.61458333333,24034.58333333333,96
96,23427.911458333332,22876.75,97
97,23309.562500000007,22403.0,98
98,22958.015625000004,22030.83333333333,99
99,22715.11458333334,21938.58333333333,100
100,22747.554687500004,22015.75,101
101,24978.71614583334,24416.91666666667,102
102,28949.98177083333,28207.58333333333,103
103,32039.726562500004,29956.58333333333,104
104,32280.210937500004,29983.66666666667,105
105,31868.880208333332,29738.5,106
106,31557.776041666668,29331.0,107
107,31270.390625000004,29413.16666666667,108
108,31454.033854166668,29263.0,109
109,30827.736979166664,29113.58333333333,110
110,31331.611979166675,29050.41666666667,111
111,31450.509548611117,29951.58333333333,112
112,31908.144965277785,31006.16666666667,113
113,31837.88020833333,31366.08333333333,114
114,31342.817708333332,30870.66666666667,115
115,31396.611979166657,30342.33333333333,116
116,30490.447916666664,29660.83333333333,117
117,28469.882812500004,28873.5,118
118,24838.770833333332,26086.58333333333,119
119,23472.48958333333,23950.5,120
120,22364.372395833336,23290.16666666667,121
121,21818.143229166668,22713.83333333333,122
122,21612.736979166664,22169.83333333333,123
123,21373.575520833332,21904.666666666668,124
124,21357.348958333332,21571.75,125
125,21561.427083333332,22310.25,126
126,23128.41903409091,23551.66666666667,127
127,25141.104166666664,26007.58333333333,128
128,26517.494791666668,27000.25,129
129,27122.653645833336,27258.33333333333,130
130,27345.747395833332,26744.08333333333,131
131,26635.39322916667,26357.33333333333,132
132,26067.544270833336,25534.25,133
133,26148.497395833336,24487.58333333333,134
134,25360.69010416668,23978.33333333333,135
135,25679.20052083334,24438.91666666667,136
136,27212.29166666667,25703.41666666667,137
137,27198.203125000004,26482.58333333333,138
138,27371.6015625,26599.5,139
139,27253.43229166667,26273.83333333333,140
140,27348.171875,26326.33333333333,141
141,27026.2890625,26170.5,142
142,23709.1015625,24102.91666666667,143
143,21845.921874999996,22088.41666666667,144
144,20831.098958333336,20812.58333333333,145
145,20863.669270833332,20519.58333333333,146
146,20194.492187499993,20209.916666666668,147
