,Year,Coal,Petroleum,Natural Gas
0,2007,0.3288674698795181,0.31610153789142115,0.40604545995477803
1,2008,0.3287724031605319,0.3097594189741262,0.4108368452739314
2,2009,0.3276358747839447,0.31236839696054197,0.4181372549019608
3,2010,0.32760441670667306,0.31063364894391843,0.4168601099572389
4,2011,0.32669475296821143,0.3150798781050882,0.4185475956820412
5,2012,0.32501428843589253,0.31043581111818763,0.42443089936559275
6,2013,0.326226216655512,0.3184915523196117,0.42929038751887266
7,2014,0.3271960107403145,0.3155169225078602,0.4315163778930062
8,2015,0.32510719390185805,0.31926639842799664,0.4331048489464331
9,2016,0.3251691603926427,0.3156044769216539,0.4335451080050826
10,2017,0.32603917821309125,0.31493446557134946,0.43676395289298514
