,accepted_price,day,segment_demand,segment_hour,year
0,87.02560910269574,5,52268.303657895616,53.0,2013
1,87.02560910269574,5,52262.41891305684,106.0,2013
2,87.00786352441402,5,48706.35167477559,159.0,2013
3,75.35863393578528,5,44352.48117192486,212.0,2013
4,75.35863393578528,5,44240.67101998836,265.0,2013
5,71.60698391258036,5,41703.50531664728,318.0,2013
6,72.71407914945533,5,41685.85108213098,371.0,2013
7,72.71407914945533,5,41545.45788383478,424.0,2013
8,70.71101993141255,5,41375.64096134475,477.0,2013
9,70.71101993141255,5,41372.27825000831,530.0,2013
10,70.46976960924378,5,40830.04104700797,583.0,2013
11,68.7003719546784,5,39532.03447114361,636.0,2013
12,68.7003719546784,5,39121.78368809841,689.0,2013
13,67.4856549442979,5,37688.42798094249,742.0,2013
14,65.64302524074111,5,32294.63899729887,795.0,2013
15,65.19078086469065,5,31244.63238249667,848.0,2013
16,59.81567398790814,5,25195.11468824801,901.0,2013
17,48.55893738577787,5,20827.79334005153,954.0,2013
18,48.55893738577787,5,20410.817134333447,1007.0,2013
19,48.55893738577787,5,19899.685011195146,1060.0,2013
20,42.01167549900262,5,18704.241131092087,1113.0,2013
21,40.888480943190416,5,17400.34981038896,1166.0,2013
22,32.765341614422226,5,15027.116284699137,1219.0,2013
23,32.765341614422226,5,14879.997663730055,1272.0,2013
