,accepted_price,day,segment_demand,segment_hour,year
0,87.00786352441402,0,50838.291592819514,26.0,2013
1,87.00786352441402,0,50708.05687315846,52.0,2013
2,80.44761823061589,0,47280.21226464366,78.0,2013
3,72.04532554961676,0,42479.05923406193,104.0,2013
4,72.04532554961676,0,42444.830878253575,130.0,2013
5,69.43451645575796,0,39681.517275188795,156.0,2013
6,69.43451645575796,0,39333.38985147943,182.0,2013
7,69.43451645575796,0,39306.67503718998,208.0,2013
8,68.46083763960628,0,39117.166823324216,234.0,2013
9,68.46083763960628,0,38785.73615854575,260.0,2013
10,68.46083763960628,0,38674.70271165523,286.0,2013
11,67.8247434085549,0,38462.65387323273,312.0,2013
12,66.60561317411003,0,37428.28965746317,338.0,2013
13,66.5372303114239,0,36523.32532340812,364.0,2013
14,65.40792674631848,0,31380.72357268938,390.0,2013
15,63.653476037905,0,29366.259607675696,416.0,2013
16,49.6319250041978,0,22407.88532322104,442.0,2013
17,44.640881256198114,0,19978.50689877436,468.0,2013
18,44.640881256198114,0,18941.638169165166,494.0,2013
19,44.640881256198114,0,18570.135282952528,520.0,2013
20,38.57130109422583,0,16909.64260727403,546.0,2013
21,38.57130109422583,0,15853.572604894289,572.0,2013
22,30.907132131507485,0,14522.840918101161,598.0,2013
23,30.907132131507485,0,14149.668355995436,624.0,2013
