,CCGT,Coal,Onshore,Offshore,PV,Nuclear,Recip_gas
0,0,0,0,0,0,0,0
1,31912,14475,8766.3,6983.8,3377.8,9361,680
2,31912,14475,26416.1,6983.8,3697.8,9361,670
3,31912,14475,26389.9,6983.8,3937.8,9361,670
4,31912,14475,26370.9,6983.8,4241.8,9361,660
5,31912,14475,26353,6983.8,4529.8,9361,660
6,31912,14475,26326.7,6983.8,4977.8,9361,660
7,31912,14475,26262.2,6983.8,5281.8,9361,660
8,30286,14475,71410,6983.8,5585.8,9361,660
9,29036,14475,71356.2,6983.8,5585.8,9361,660
10,27361,14475,71309.1,6983.8,5585.8,9361,660
11,24616,14475,71182.7,6983.8,5585.8,9361,540
12,24616,14475,71140.7,6983.8,5585.8,9361,540
13,20737,14475,71115,6983.8,5585.8,9361,540
14,19009,14475,71043.4,6983.8,5585.8,9361,540
15,16584,14475,70981,6983.8,5585.8,9361,540
16,15364,14475,70845.6,6979.5,5585.8,9361,540
17,14788,14475,70476.2,6979.5,5585.8,9361,540
18,14172,14475,70243.4,6919.5,5585.8,9361,540
19,12052,14475,69800.4,6859.5,5585.8,9361,0
20,11644,14475,69319.3,6769.5,5585.8,9361,0
21,10464,14475,68685.4,6679.5,5528,9361,0
22,10464,12515,68389.3,6589.5,5482.6,9361,0
23,10464,10554,68212.5,6589.5,5213.6,9361,0
24,9544,8542,67832.4,6305.1,4359.1,9361,0
25,4500,8542,67465.3,5652.3,3244.2,9361,0
26,4441,8179,66653.2,5652.3,2501.7,9361,0
27,910,8179,65534.4,3842.3,2208.4,9361,0
28,910,8179,65282.8,2889.3,1888.4,9361,0
29,910,4178,64994.9,2290.5,1648.4,9361,0
30,910,4178,63840.8,2022,1344.4,9361,0
31,0,4178,62840,2022,1056,9361,0
