,contributed_CCGT,contributed_Coal,contributed_Onshore,contributed_Offshore,contributed_PV,contributed_Nuclear,contributed_Recip_gas,contributed_Biomass,total_CCGT,total_Coal,total_Onshore,total_Offshore,total_PV,total_Nuclear,total_Recip_gas,Carbon_tax,total_genco_wealth,Electricity_cost,Carbon_emitted
0,332779.5599999987,208506.2799999995,23300.55530880004,29579.745223999984,3154.551064599939,165604.86687359976,9809.124999999989,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,130.889,12213713146.865,89.6166477059304,1173.6539022494394
1,226156.14000000036,200298.1799999997,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,1884.7100000000005,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,130.889,6179619954.221884,54.63978712566473,915.5073211956424
2,333180.47999999905,208286.65999999945,21601.84304159999,29224.130127999983,1658.9456695999324,165604.86687359976,12555.68,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,130.889,14308832452.437464,89.57623519449989,1180.5245962306785
3,353407.67999999813,216075.26999999958,23278.20383160005,29656.706700000013,3188.160174599965,165604.86687359976,13047.469999999998,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,130.889,30691591617.583996,109.61984762728564,1240.840594707458
4,167084.9400000003,112193.4300000001,22184.551131900018,29595.668287999968,3116.600719849977,147569.69311280004,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,130.889,18250377061.576607,45.610901931021054,589.5778331951403
5,338329.0799999988,236455.6899999996,23464.752699000044,29595.668287999964,3122.2863189999775,165604.86687359976,11764.645000000004,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,130.889,33185152592.570774,90.38286667949916,1251.2553910246177
6,155762.82000000018,135203.75999999998,25534.738373500033,33535.97722699999,4482.145953499983,134623.61240160023,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,130.889,12188481542.443512,43.16549979639674,617.8919242564817
7,177843.06000000017,147622.55999999997,31310.357158399936,38306.24775700007,7415.26058399993,145936.22987440007,0.0,0,31912.0,14475.0,8862.6,6983.8,3377.7999999999997,9361.0,971.5,130.889,-12231954047.522732,43.56579033039202,690.426096938882
8,216898.08000000025,180848.6600000001,22760.01966600005,29579.745223999984,183577.21874334893,274881.78842879983,1299.8000000000002,0,36325.0,14475.0,8756.1,6983.8,72385.79999999984,15961.0,670.0,141.85567,-52097551896.542496,53.637703426427635,849.2595436666824
9,139787.00999999998,125159.72000000007,22769.864390000042,29595.668287999964,181700.92584089763,266552.30530879996,0.0,0,36325.0,14475.0,8756.1,6983.8,72385.79999999984,15961.0,670.0,141.85567,-63071400819.6373,48.021014277499404,563.0487791885605
10,260413.11000000013,174598.98000000013,21082.14288239991,29224.130127999983,96543.61083694949,279676.0325183998,649.9,0,36325.0,14475.0,8756.1,6983.8,72385.79999999984,15961.0,670.0,141.85567,-70495790531.06523,54.59030915623807,922.3302341140421
11,264097.0500000001,179491.37999999995,22541.19727869996,29656.706700000013,185533.28711404777,266623.06905919994,1949.7000000000003,0,36325.0,14475.0,8756.1,6983.8,72385.79999999984,15961.0,670.0,141.85567,-76708916681.61955,55.2018980984499,943.3641178892419
12,109681.17000000011,43324.15999999999,20466.530296900008,27752.617415499957,172371.59484119865,229406.49620560027,0.0,0,36325.0,14475.0,8756.1,6983.8,72385.79999999984,15961.0,670.0,141.85567,-95884200865.28825,36.111572572037055,319.3262190756795
13,292666.4399999996,149495.62000000017,22946.59386980003,29595.668287999964,181698.83540559758,273209.9948255999,1299.8000000000002,0,36325.0,14475.0,8756.1,6983.8,72385.79999999984,15961.0,670.0,141.85567,-106377940149.0328,58.1862427642084,934.0323733967614
14,106498.6800000001,57422.39999999998,21794.281816900024,29241.218556999993,190113.97505169798,215250.06051360036,0.0,0,36325.0,14475.0,8756.1,6983.8,72385.79999999984,15961.0,670.0,141.85567,-136293663720.08162,35.72100221434323,344.32454891519933
15,150954.0000000001,55947.54000000004,21535.025716800083,28937.514976000013,310310.8547013514,198718.6164488003,0.0,0,36325.0,14475.0,8756.1,6983.8,72385.79999999984,15961.0,670.0,141.85567,-171922741070.1372,39.585273702456405,431.27784886091973
16,215333.34000000014,142041.13000000012,21358.093962899988,27952.275391,240717.458470299,257041.95210400014,1299.8000000000002,0,36325.0,14475.0,8729.9,6983.8,139329.79999999984,15961.0,670.0,152.82234,-179865766521.53354,46.33518563664336,759.4880766397424
17,106263.87000000007,112494.04000000005,21845.906080199988,28822.736222999967,236119.01450889808,257936.0815752001,0.0,0,36325.0,14475.0,8729.9,6983.8,139329.79999999984,15961.0,670.0,152.82234,-193426209638.33157,37.182073651750905,466.73463196791965
18,240345.66000000032,161313.85000000003,20856.123803199866,29224.130127999983,129420.95051474951,270492.96165919997,649.9,0,36325.0,14475.0,8729.9,6983.8,139329.79999999984,15961.0,670.0,152.82234,-202908718569.73157,50.76809326371506,851.0247284223026
19,252658.08000000002,142888.88000000015,21463.04315169994,28041.842625999998,244087.3055254979,257938.29294240012,1949.7000000000003,0,36325.0,14475.0,8729.9,6983.8,139329.79999999984,15961.0,670.0,152.82234,-210966297641.1771,50.540662526481505,839.3924331742415
20,95288.76000000005,43588.89999999998,19085.0413589,26782.023894999966,216536.93026229934,187694.95095680028,0.0,0,36325.0,14475.0,8729.9,6983.8,139329.79999999984,15961.0,670.0,152.82234,-231947839047.43945,31.068507430119723,290.7003670821996
