,accepted_price,segment_demand,segment_hour,year
1,47.64955570013022,21964.0,8291.83,2018
2,50.925088305460406,23127.0,7831.17,2018
3,51.14302737314801,24327.0,7370.5,2018
4,52.519435177790406,25520.0,6909.92,2018
5,53.07979026102995,26760.0,6449.25,2018
6,53.30181137818203,27888.0,5988.58,2018
7,53.617733139290976,28935.0,5527.92,2018
8,53.92973159163155,29865.0,5067.25,2018
9,54.01114825084564,30721.0,4606.58,2018
10,54.97930184293391,31567.0,4146.0,2018
11,55.023253014496774,32315.0,3685.33,2018
12,55.64662350676958,33188.0,3224.67,2018
13,56.031112223572656,34182.0,2764.0,2018
14,58.629630397171475,35505.0,2303.33,2018
15,60.042865026181445,37480.0,1842.67,2018
16,60.5288910737381,39585.0,1382.08,2018
17,63.81027345009083,42206.0,921.42,2018
18,68.38241837028444,45209.0,460.75,2018
19,86.97046088108013,52152.0,0.08,2018
0,40.03428747022588,17568.0,8752.5,2018
1,47.48299001043769,21964.0,8291.83,2018
2,49.21301503468952,23127.0,7831.17,2018
3,53.808039120180474,24327.0,7370.5,2018
4,53.808039120180474,25520.0,6909.92,2018
5,54.7752366764078,26760.0,6449.25,2018
6,55.43618792212803,27888.0,5988.58,2018
7,55.566140659989415,28935.0,5527.92,2018
8,56.397555601283514,29865.0,5067.25,2018
9,56.65893707075528,30721.0,4606.58,2018
10,56.79660633770805,31567.0,4146.0,2018
11,57.797739831475916,32315.0,3685.33,2018
12,59.31672564354037,33188.0,3224.67,2018
13,59.416379285854994,34182.0,2764.0,2018
14,60.15751573819002,35505.0,2303.33,2018
15,61.185031598695154,37480.0,1842.67,2018
16,63.35209512973549,39585.0,1382.08,2018
17,66.33802619421348,42206.0,921.42,2018
18,72.46211746157672,45209.0,460.75,2018
19,86.94556697308974,52152.0,0.08,2018
0,41.14441783730494,17568.0,8752.5,2018
1,44.95577132660984,21964.0,8291.83,2018
2,45.42298959070134,23127.0,7831.17,2018
3,48.79346910566829,24327.0,7370.5,2018
4,50.13738901099006,25520.0,6909.92,2018
5,51.21064478517076,26760.0,6449.25,2018
6,52.03486772727631,27888.0,5988.58,2018
7,52.03486772727631,28935.0,5527.92,2018
8,53.45479804213654,29865.0,5067.25,2018
9,53.59659717108226,30721.0,4606.58,2018
10,55.71187379352631,31567.0,4146.0,2018
11,55.71187379352631,32315.0,3685.33,2018
12,57.451469518106755,33188.0,3224.67,2018
13,57.61985250694537,34182.0,2764.0,2018
14,58.00202791992596,35505.0,2303.33,2018
15,58.943374446382926,37480.0,1842.67,2018
16,62.12667316473179,39585.0,1382.08,2018
17,65.58860027424757,42206.0,921.42,2018
18,66.90857117212285,45209.0,460.75,2018
19,87.02623464202827,52152.0,0.08,2018
0,27.244301796064093,17568.0,8752.5,2018
1,45.58176084346767,21964.0,8291.83,2018
2,46.584087398753326,23127.0,7831.17,2018
3,48.5005681519464,24327.0,7370.5,2018
4,50.27903624639489,25520.0,6909.92,2018
5,50.93083478438867,26760.0,6449.25,2018
6,53.51343642599054,27888.0,5988.58,2018
7,54.17870160314744,28935.0,5527.92,2018
8,55.02658680959508,29865.0,5067.25,2018
9,55.07596834251371,30721.0,4606.58,2018
10,56.414689770863696,31567.0,4146.0,2018
11,57.07809891713958,32315.0,3685.33,2018
12,57.93354863588922,33188.0,3224.67,2018
13,58.230934372964164,34182.0,2764.0,2018
14,59.92173263261623,35505.0,2303.33,2018
15,62.432926852224114,37480.0,1842.67,2018
