£/MW/yr,Medium 46300 46300 46300,,
Variable O+M,,,
£/MWh,Medium 0.1 0.1 0.1,,
Insurance,,,
£/MW/yr,Medium 2000 2000 2000,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 6700 6700 6700,,
,Co-firing Standard CHP,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High,,
£/kW,Medium Included in Construction costs,,
,Low,,
Construction costs,High,,
£/kW,Medium 4300 4300 4300,,
,Low,,
Fixed O+M,,,
£/MW/yr,Medium 260000 260000 260000,,
Variable O+M,,,
£/MWh,Medium 2 2 2,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,ACT Advanced,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 1000 1000 1000,,
£/kW,Medium 410 410 410,,
,Low 170 170 170,,
Construction costs,High 6900 6800 6600,,
£/kW,Medium 6800 6700 6500,,
,Low 5100 5000 4900,,
Fixed O+M,,,
£/MW/yr,Medium 414800 410900 399500,,
Variable O+M,,,
£/MWh,Medium 13 13 13,,
Insurance,,,
£/MW/yr,Medium 21900 21700 21050,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,ACT standard,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 1005 1005 1005,,
£/kW,Medium 360 360 360,,
,Low 165 165 165,,
Construction costs,High 10100 10000 9800,,
£/kW,Medium 5600 5500 5400,,
,Low 900 900 900,,
Fixed O+M,,,
£/MW/yr,Medium 426000 422000 410000,,
Variable O+M,,,
£/MWh,Medium 25 25 25,,
Insurance,,,
£/MW/yr,Medium 21890 21680 21070,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 5570 5520 5360,,
Dedicated biomass >50MW,,,
Commissioning,,,
2016 2017 2020,,,
Pre-development High 40 40 40,,,
£/kW Medium 30 30 30,,,
Low 15 15 15,,,
Construction costs High 4600 4600 4500,,,
£/kW Medium 2500 2500 2400,,,
Low 2000 2100 2000,,,
Fixed O+M,,,
£/MW/yr Medium 96500 95900 94400,,,
Variable O+M,,,
£/MWh Medium 5 5 5,,,
Insurance,,,
£/MW/yr Medium 14320 14240 14020,,,
Connection and Use,,,
of System charges,,,
£/MW/yr Medium 1380 1370 1350,,,
Dedicated biomass 5-50MW,,,
Commissioning,,,
2016 2017 2020,,,
Pre-development High 110 110 110,,,
£/kW Medium 95 95 95,,,
Low 40 40 40,,,
Construction costs High 5100 5000 4900,,,
£/kW Medium 3600 3500 3500,,,
Low 2500 2500 2500,,,
Fixed O+M,,,
£/MW/yr Medium 112000 111000 109000,,,
Variable O+M,,,
£/MWh Medium 5 5 5,,,
Insurance,,,
£/MW/yr Medium 16600 16500 16200,,,
Connection and Use,,,
of System charges,,,
£/MW/yr Medium 1600 1600 1600,,,
,Onshore >5 MW,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 240 240 240,,
£/kW,Medium 100 100 100,,
,Low 30 30 30,,
Construction costs,High 1800 1800 1700,,
£/kW,Medium 1500 1500 1400,,
,Low 1100 1100 1100,,
Fixed O+M,,,
£/MW/yr,Medium 37100 37100 37200,,
Variable O+M,,,
£/MWh,Medium 5 5 5,,
Insurance,,,
£/MW/yr,Medium 3000 3010 3010,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 4510 4510 4510,,
,Offshore Round 2,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 120 120 120,,
£/kW,Medium 70 70 70,,
,Low 50 50 50,,
Construction costs,High 2900 2700 2400,,
£/kW,Medium 2500 2300 2000,,
,Low 2100 2000 1700,,
Fixed O+M,,,
£/MW/yr,Medium 62900 60500 54600,,
Variable O+M,,,
£/MWh,Medium 2 2 2,,
Insurance,,,
£/MW/yr,Medium 11600 11100 10000,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 45900 44200 39900,,
,Offshore Round 3,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 150 150 150,,
£/kW,Medium 105 105 105,,
,Low 50 50 50,,
Construction costs,High 3100 3000 2600,,
£/kW,Medium 2600 2400 2100,,
,Low 2200 2100 1800,,
Fixed O+M,,,
£/MW/yr,Medium 70900 67000 57800,,
Variable O+M,,,
£/MWh,Medium Included in fixed O+M,,
Insurance,,,
£/MW/yr,Medium 32800 31000 26700,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 60600 57200 49400,,
,,Bioliquids,
