,id,run_number,time_taken,timestamp_start,timestamp_end,reward,individual_m_1,individual_c_1,individual_m_2,individual_c_2,individual_m_3,individual_c_3,individual_m_4,individual_c_4,individual_m_5,individual_c_5,individual_m_6,individual_c_6,individual_m_7,individual_c_7,individual_m_8,individual_c_8,individual_m_9,individual_c_9,individual_m_10,individual_c_10,individual_m_11,individual_c_11,individual_m_12,individual_c_12,individual_m_13,individual_c_13,individual_m_14,individual_c_14,individual_m_15,individual_c_15,individual_m_16,individual_c_16,individual_m_17,individual_c_17,attr_nuclear_sub,attr_future_price_uncertainty_c,attr_future_price_uncertainty_m,coal,nuclear,ccgt,wind,solar
0,1,1,6889.775979558006,1571294676.4486282,1571301566.2246072,24.202825170513293,0.00162688551747,24.23676004122842,0.00089262948857,-13.49865600756075,0.00013462809877,24.48416355981355,0.00275759723425,-22.86750991186494,0.00122570293934,-27.51302242850774,0.00011105492711,10.2064310682055,0.00104803491048,49.91901665795223,0.00107107043336,25.07915199933014,0.00291227229504,32.00532793766205,0.00092367173777,46.58485731501028,0.00145484878632,41.71445326099716,0.0016546561005,-14.07297358598847,0.00297165761107,-29.99040619842934,0.00071381596154,26.28147289681068,0.00163697245445,-1.83845005942641,0.00032624025609,6.16530309143393,0.00153662253906,37.81904665735324,146.96280380809887,0.00077322436188,5.677044965e-05,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
1,2,1,0.0,0.0,0.0,99999999.0,0.00075581520626,13.40153940571268,0.00182722628613,0.15714585155201,0.00021861520529,13.68029916361386,0.00128569967561,21.6723749878536,0.00188788579146,-12.74558646419268,0.00265598291341,47.09725338786414,0.00131101211079,39.65424176788906,0.00131352690317,-26.05829553533908,0.00130909194148,-16.08073444423565,0.00062893966767,40.57703042872984,0.00065942485218,13.25538141200845,0.00281250132685,37.21894844006468,0.00212922223352,-2.48986866902353,5.619422783e-05,24.05798595499951,0.00129148749394,27.36812416832535,0.00270950316727,-19.64791649732533,0.00202001046313,13.41585931911857,84.84364541526162,0.00014307364284,0.00028670729381,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
2,3,1,0.0,0.0,0.0,99999999.0,3.82252919e-05,37.72855509023491,0.001005921996,-21.67328534016331,0.00158475137905,-14.32402833849085,0.00200808080797,19.47531160114231,0.00173140965862,-24.55754887133379,0.00142758897165,6.07195330367862,0.00131879563571,16.408285873677,0.00134686324593,23.01587414002093,0.00165154366774,-9.75141200192076,0.00215412471457,-10.65555949545498,0.00158692943363,-11.19859383794395,0.00108566373656,23.4761716100099,0.00226631950247,-0.04789732751314,0.00284183572108,13.61939189622926,0.00134613583724,-8.19476095156771,0.00049940475778,9.43582573564022,0.00114678043948,0.37056075099588,112.24562744248797,1.307312986e-05,0.00040312712803,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
3,4,1,0.0,0.0,0.0,99999999.0,0.0023759534019,19.8953968961142,0.00035781385381,-2.28099828217728,0.00208589776722,27.40074248812536,0.00204961721611,25.0327824883321,0.00162663403323,34.56756471200454,0.00044729941372,14.55303573115028,0.0015329892307,-3.07518851095286,0.00247605758247,-8.57726679964333,0.00225727744778,-12.32369293960914,0.00014810191178,-9.37109322046291,0.00134057474253,14.09204613672971,0.00056356776796,26.01414168359331,0.00016748091658,13.04073756088616,0.00285325686392,41.09578111506266,0.00141656506234,5.19374575388323,0.00189977332698,10.26578268238367,0.0005866134163,-4.13899886815,94.2818580597956,0.00088875396894,0.00053486730097,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
4,5,1,0.0,0.0,0.0,99999999.0,0.0023759534019,19.8953968961142,0.00035781385381,-2.28099828217728,0.00208589776722,27.40074248812536,0.00200808080797,19.47531160114231,0.00173140965862,-24.55754887133379,0.00142758897165,6.07195330367862,0.00131879563571,16.408285873677,0.00134686324593,23.01587414002093,0.00165154366774,-9.75141200192076,0.00215412471457,-9.37109322046291,0.00134057474253,14.09204613672971,0.00056356776796,25.16495707407123,0.0002566412012,-16.35216744416705,0.00212668232817,15.32105645029211,0.00260113561006,5.19374575388323,0.00189977332698,10.26578268238367,0.0005866134163,-4.13899886815,94.2818580597956,0.00088875396894,0.00053486730097,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
5,6,1,0.0,0.0,0.0,99999999.0,1.005279239e-05,2.6068242441915,0.00142341745039,16.69479197003962,0.00129019034008,10.74987568056677,0.00275586361757,10.25324190792719,0.00037692183562,45.98633450056637,0.00212700344827,19.69790732708791,0.00182016903158,17.5323171419921,0.00175990366498,9.34981731063981,0.00051529957769,41.27875702863386,0.00108286421419,30.48957322938313,0.00058623426785,-25.60866666921838,0.00139663179026,26.01414168359331,0.00016748091658,13.04073756088616,0.00285325686392,41.09578111506266,0.00141656506234,-27.42568973202495,0.0026008124608,-22.08158337542503,0.00068533764383,21.8050530084904,11.42283078559997,0.00064607187787,0.000547822642,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
6,7,1,0.0,0.0,0.0,99999999.0,0.0002620152926,7.42021178332917,0.00018659073579,15.23512863058485,0.00297163451275,28.19595855305551,0.00268430060726,-29.55061609907084,0.00287894904739,44.23955054471659,0.00254803555362,-23.72614175880498,0.00275892895206,22.46082250293851,0.00125572552088,42.35045690145964,0.00269612836933,45.65125748036321,0.00049310549266,15.7132701310824,0.00223236293791,24.19967159652558,0.00169955226134,18.72376973132045,0.00236989332168,26.90309262446837,0.0,-11.00559166480466,0.00260405662989,13.23976931568005,0.00075508694992,49.92385710189383,0.00254639887068,4.5574902056678,147.02692328651605,0.00052980058997,0.00084817551315,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
7,8,1,0.0,0.0,0.0,99999999.0,0.00132569772352,-11.69856697298991,0.00180775454823,28.63616455770617,0.00090896137041,28.83640205369287,0.00030473801782,-15.7338727081564,0.00151888704043,24.00354353448545,0.00279838845836,34.1822308632925,7.535398089e-05,14.8099737462513,0.00048727101867,-7.53736694749894,0.00283892294878,-1.60463720740281,0.00131474809788,1.84458705743238,0.00055615738151,41.51810013786628,0.00103969955877,22.21003283149809,0.0008826593489,-13.60941713920159,0.00115775868769,-20.29572463059219,0.00175671079699,3.84002293841715,0.00086803715633,5.74499081977699,0.0001882484702,-24.09938988155662,103.46244551428619,0.00062141838007,0.00018372010013,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
8,9,1,0.0,0.0,0.0,99999999.0,0.00162688551747,24.23676004122842,0.00089262948857,-13.49865600756075,0.00013462809877,24.48416355981355,0.00275759723425,-22.86750991186494,0.00122570293934,-27.51302242850774,0.00011105492711,10.2064310682055,0.00104803491048,49.91901665795223,0.00107107043336,25.07915199933014,0.00291227229504,32.00532793766205,0.00092367173777,46.58485731501028,0.00145484878632,41.71445326099716,0.0016546561005,-14.07297358598847,0.00297165761107,-29.99040619842934,0.00071381596154,26.28147289681068,0.00163697245445,-1.83845005942641,0.00032624025609,6.16530309143393,0.00153662253906,37.81904665735324,146.96280380809887,0.00077322436188,5.677044965e-05,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
9,10,1,0.0,0.0,0.0,99999999.0,0.00137661804759,-28.84595497083463,0.00094220830485,-10.91223922946837,0.0008695180672,43.80398939827499,0.00172265971871,-9.97208870989832,0.0022705946856,24.77460811707942,0.00055173049488,-7.74480682086981,0.00104635201993,2.6249617646999,0.00056963397068,29.82406709229203,0.00190690350526,20.2095275557664,0.00156467403584,-15.63048110255975,0.00148941736665,5.79842563602338,0.0009449062591,-25.0744358803396,0.00082308707595,29.61483183643982,0.00269177696491,17.04240490231026,0.00038015489849,-18.75793494305735,0.00220456311359,-1.75589169710321,0.0009905622683,-25.9167084157549,127.76364804483003,8.178315312e-05,0.00023045403085,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
