,Plant_Size,Average_Load_Factor,Efficiency,Operating_Period,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Connect_system_cost:Medium _2018,Connect_system_cost:Medium _2020,Connect_system_cost:Medium _2025,Constr_cost:High _2018,Constr_cost:High _2020,Constr_cost:High _2025,Constr_cost:Low _2018,Constr_cost:Low _2020,Constr_cost:Low _2025,Constr_cost:Medium _2018,Constr_cost:Medium _2020,Constr_cost:Medium _2025,Fixed_cost:Medium _2018,Fixed_cost:Medium _2020,Fixed_cost:Medium _2025,Infra_cost:High _2018,Infra_cost:High _2020,Infra_cost:High _2025,Infra_cost:Low _2018,Infra_cost:Low _2020,Infra_cost:Low _2025,Infra_cost:Medium _2018,Infra_cost:Medium _2020,Infra_cost:Medium _2025,Insurance_cost:Medium _2018,Insurance_cost:Medium _2020,Insurance_cost:Medium _2025,Pre-dev_cost:High _2018,Pre-dev_cost:High _2020,Pre-dev_cost:High _2025,Pre-dev_cost:Low _2018,Pre-dev_cost:Low _2020,Pre-dev_cost:Low _2025,Pre-dev_cost:Medium _2018,Pre-dev_cost:Medium _2020,Pre-dev_cost:Medium _2025,Var_cost:Medium _2018,Var_cost:Medium _2020,Var_cost:Medium _2025
Coal - CCS ASC FOAK ,624.00,0.91,0.32,25 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,3800.00,- ,- ,5500.00,- ,- ,3400.00,- ,- ,4200.00,- ,- ,78500.00,- ,- ,15000.00,- ,- ,5000.00,- ,- ,10000.00,- ,- ,15800.00,- ,- ,110.00,- ,- ,60.00,- ,- ,70.00,- ,- ,3.00
Coal - CCS ASC NH3 FOAK ,624.00,0.91,0.32,25 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,3800.00,- ,- ,5500.00,- ,- ,3400.00,- ,- ,4200.00,- ,- ,79600.00,- ,- ,15000.00,- ,- ,5000.00,- ,- ,10000.00,- ,- ,19300.00,- ,- ,110.00,- ,- ,60.00,- ,- ,70.00,- ,- ,3.00
Coal - CCS ASC Oxy FOAK ,552.00,0.91,0.32,25 years ,0.18,0.18,0.18,0.18,0.18,0.09,,,6 years ,0.17,0.17,0.17,0.17,0.17,0.17,,,6 years ,- ,- ,3800.00,- ,- ,4400.00,- ,- ,2900.00,- ,- ,3400.00,- ,- ,68200.00,- ,- ,15000.00,- ,- ,5000.00,- ,- ,10000.00,- ,- ,13000.00,- ,- ,80.00,- ,- ,30.00,- ,- ,40.00,- ,- ,6.00
Coal - CCS ASC Partial FOAK ,734.00,0.91,0.38,25 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,3800.00,- ,- ,3400.00,- ,- ,2100.00,- ,- ,2600.00,- ,- ,56400.00,- ,- ,15000.00,- ,- ,5000.00,- ,- ,10000.00,- ,- ,9600.00,- ,- ,80.00,- ,- ,40.00,- ,- ,60.00,- ,- ,3.00
Coal - CCS ASC retrofit FOAK ,390.00,0.91,0.31,15 years ,0.25,0.25,0.25,0.25,,,,,4 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,3800.00,- ,- ,3000.00,- ,- ,1900.00,- ,- ,2400.00,- ,- ,80700.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,8200.00,- ,- ,50.00,- ,- ,20.00,- ,- ,30.00,- ,- ,3.00
Coal - CCS IGCC FOAK ,652.00,0.88,0.30,25 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,3800.00,- ,- ,5000.00,- ,- ,3300.00,- ,- ,3900.00,- ,- ,65300.00,- ,- ,15000.00,- ,- ,5000.00,- ,- ,10000.00,- ,- ,22700.00,- ,- ,80.00,- ,- ,50.00,- ,- ,60.00,- ,- ,5.00
Coal - CCS IGCC partial FOAK ,760.00,0.88,0.35,25 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,3800.00,- ,- ,3600.00,- ,- ,2400.00,- ,- ,2800.00,- ,- ,52100.00,- ,- ,15000.00,- ,- ,5000.00,- ,- ,10000.00,- ,- ,14000.00,- ,- ,60.00,- ,- ,40.00,- ,- ,40.00,- ,- ,5.00
Coal - CCS IGCC retro FOAK ,622.00,0.88,0.27,25 years ,0.25,0.25,0.25,0.25,,,,,4 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,3800.00,- ,- ,5400.00,- ,- ,3600.00,- ,- ,4200.00,- ,- ,81900.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,27600.00,- ,- ,100.00,- ,- ,60.00,- ,- ,60.00,- ,- ,6.00
Conversions ,349.00,0.79,0.40,15 years ,0.44,0.44,0.13,,,,,,2 years ,0.50,0.50,,,,,,,2 years ,10500.00,10500.00,- ,300.00,300.00,- ,200.00,200.00,- ,200.00,200.00,- ,22800.00,22800.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,11500.00,11500.00,- ,120.00,120.00,- ,50.00,50.00,- ,80.00,80.00,- ,1.00,1.00,- 
Dedicated Biomass ,23.00,0.84,0.29,25 years ,0.50,0.50,,,,,,,2 years ,0.33,0.33,0.33,,,,,,3 years ,12900.00,12900.00,12900.00,3400.00,3300.00,3300.00,2400.00,2300.00,2300.00,2900.00,2900.00,2800.00,65500.00,65500.00,65500.00,500.00,500.00,500.00,200.00,200.00,200.00,400.00,400.00,400.00,11500.00,11500.00,11500.00,160.00,160.00,160.00,80.00,80.00,80.00,110.00,110.00,110.00,8.00,8.00,8.00
