,Plant_Size,Average_Load_Factor,Efficiency,Operating_Period,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Connect_system_cost:Medium _2018,Connect_system_cost:Medium _2020,Connect_system_cost:Medium _2025,Constr_cost:High _2018,Constr_cost:High _2020,Constr_cost:High _2025,Constr_cost:Low _2018,Constr_cost:Low _2020,Constr_cost:Low _2025,Constr_cost:Medium _2018,Constr_cost:Medium _2020,Constr_cost:Medium _2025,Fixed_cost:Medium _2018,Fixed_cost:Medium _2020,Fixed_cost:Medium _2025,Infra_cost:High _2018,Infra_cost:High _2020,Infra_cost:High _2025,Infra_cost:Low _2018,Infra_cost:Low _2020,Infra_cost:Low _2025,Infra_cost:Medium _2018,Infra_cost:Medium _2020,Infra_cost:Medium _2025,Insurance_cost:Medium _2018,Insurance_cost:Medium _2020,Insurance_cost:Medium _2025,Pre-dev_cost:High _2018,Pre-dev_cost:High _2020,Pre-dev_cost:High _2025,Pre-dev_cost:Low _2018,Pre-dev_cost:Low _2020,Pre-dev_cost:Low _2025,Pre-dev_cost:Medium _2018,Pre-dev_cost:Medium _2020,Pre-dev_cost:Medium _2025,Var_cost:Medium _2018,Var_cost:Medium _2020,Var_cost:Medium _2025
OCGT 400MW 2000 hr ,400.00,0.22,0.34,25 years ,0.50,0.50,,,,,,,2 years ,0.56,0.44,,,,,,,2 years ,2500.00,2500.00,2500.00,400.00,400.00,400.00,300.00,300.00,300.00,300.00,300.00,300.00,7800.00,7800.00,7800.00,30200.00,30200.00,30200.00,7600.00,7600.00,7600.00,15100.00,15100.00,15100.00,1300.00,1300.00,1300.00,30.00,30.00,30.00,20.00,20.00,20.00,30.00,30.00,30.00,3.00,3.00,3.00
OCGT 400MW 500 hr ,400.00,0.06,0.34,25 years ,0.50,0.50,,,,,,,2 years ,0.56,0.44,,,,,,,2 years ,2400.00,2400.00,2400.00,400.00,400.00,400.00,300.00,300.00,300.00,300.00,300.00,300.00,5200.00,5200.00,5200.00,30200.00,30200.00,30200.00,7600.00,7600.00,7600.00,15100.00,15100.00,15100.00,1300.00,1300.00,1300.00,30.00,30.00,30.00,20.00,20.00,20.00,30.00,30.00,30.00,3.00,3.00,3.00
OCGT 600MW 2000 hr ,625.00,0.22,0.35,25 years ,0.50,0.50,,,,,,,2 years ,0.56,0.44,,,,,,,2 years ,2500.00,2500.00,2500.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,6800.00,6800.00,6800.00,30200.00,30200.00,30200.00,7600.00,7600.00,7600.00,15100.00,15100.00,15100.00,1200.00,1200.00,1200.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,3.00,3.00,3.00
OCGT 600MW 500 hr ,625.00,0.06,0.35,25 years ,0.50,0.50,,,,,,,2 years ,0.56,0.44,,,,,,,2 years ,2400.00,2400.00,2400.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,4600.00,4600.00,4600.00,30200.00,30200.00,30200.00,7600.00,7600.00,7600.00,15100.00,15100.00,15100.00,1200.00,1200.00,1200.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,3.00,3.00,3.00
Offshore R2 ,321.00,0.43,0.00,23 years ,0.33,0.33,0.33,,,,,,3 years ,0.22,0.22,0.22,0.22,0.11,,,,5 years ,33500.00,32600.00,31100.00,3100.00,3000.00,2700.00,1700.00,1600.00,1500.00,2200.00,2100.00,1900.00,30900.00,30000.00,28600.00,97400.00,97400.00,97400.00,53000.00,53000.00,53000.00,69300.00,69300.00,69300.00,1400.00,1400.00,1300.00,150.00,150.00,150.00,20.00,20.00,20.00,60.00,60.00,60.00,3.00,3.00,3.00
Offshore R3 ,844.00,0.48,0.00,22 years ,0.33,0.33,0.33,,,,,,3 years ,0.22,0.22,0.22,0.22,0.11,,,,5 years ,50300.00,48900.00,47000.00,2700.00,2600.00,2400.00,2100.00,2000.00,1800.00,2400.00,2300.00,2100.00,48600.00,47300.00,45400.00,372400.00,372400.00,372400.00,281400.00,281400.00,281400.00,323000.00,323000.00,323000.00,3300.00,3300.00,3100.00,190.00,190.00,190.00,60.00,60.00,60.00,120.00,120.00,120.00,4.00,3.00,3.00
Onshore <50kW ,0.01,0.21,1.00,20 years ,1.00,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,4600.00,4500.00,4300.00,2800.00,2800.00,2600.00,3700.00,3600.00,3500.00,29700.00,29600.00,29600.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Onshore 250-1000kW ,0.48,0.26,1.00,20 years ,1.00,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,2700.00,2700.00,2500.00,1700.00,1600.00,1500.00,2200.00,2100.00,2000.00,56900.00,56900.00,56700.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Onshore UK>5MW ,20.00,0.32,0.00,24 years ,0.50,0.50,,,,,,,2 years ,0.25,0.25,0.25,0.25,,,,,4 years ,3100.00,3100.00,3000.00,1500.00,1500.00,1400.00,900.00,800.00,800.00,1200.00,1200.00,1200.00,23200.00,23000.00,22400.00,4100.00,4100.00,4100.00,2300.00,2300.00,2300.00,3300.00,3300.00,3300.00,1400.00,1400.00,1400.00,190.00,190.00,190.00,40.00,40.00,40.00,110.00,110.00,110.00,5.00,5.00,5.00
Pumped storage ,600.00,0.21,0.77,50 years ,0.22,0.22,0.22,0.22,0.11,,,,5 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,15800.00,15800.00,15800.00,1500.00,1500.00,1600.00,700.00,700.00,700.00,1000.00,1000.00,1000.00,11200.00,11200.00,11200.00,50000.00,50000.00,50000.00,10000.00,10000.00,10000.00,25000.00,25000.00,25000.00,4100.00,4100.00,4100.00,50.00,50.00,50.00,30.00,30.00,30.00,40.00,40.00,40.00,42.00,42.00,42.00
PV 1-5MW building ,1.00,0.11,0.00,25 years ,1.00,,,,,,,,0 years ,1.00,,,,,,,,1 years ,1300.00,1300.00,1200.00,800.00,800.00,700.00,700.00,600.00,600.00,700.00,700.00,600.00,6600.00,6300.00,5900.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,2600.00,2600.00,2400.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,3.00,3.00,3.00
PV 1-5MW ground ,4.00,0.11,0.00,25 years ,1.00,,,,,,,,0 years ,1.00,,,,,,,,1 years ,1300.00,1300.00,1200.00,900.00,800.00,700.00,600.00,600.00,500.00,700.00,700.00,600.00,8300.00,8000.00,7500.00,300.00,300.00,300.00,200.00,200.00,200.00,200.00,200.00,200.00,1200.00,1100.00,1100.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,- ,- ,- 
PV>5MW ,16.00,0.11,0.00,25 years ,1.00,,,,,,,,0 years ,1.00,,,,,,,,1 years ,1300.00,1300.00,1200.00,700.00,700.00,600.00,600.00,600.00,500.00,700.00,600.00,600.00,5600.00,5400.00,5100.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,2000.00,1900.00,1800.00,170.00,170.00,170.00,10.00,10.00,10.00,70.00,70.00,70.00,- ,- ,- 
Recip Diesel 2000 hr ,20.00,0.22,0.34,15 years ,1.00,,,,,,,,1 years ,0.50,0.50,,,,,,,2 years ,-31900.00,-31900.00,-31900.00,300.00,300.00,300.00,200.00,200.00,200.00,300.00,300.00,300.00,10000.00,10000.00,10000.00,6500.00,6500.00,6500.00,400.00,400.00,400.00,2200.00,2200.00,2200.00,1000.00,1000.00,1000.00,20.00,20.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,2.00,2.00,2.00
Recip Diesel 500 hrs ,20.00,0.05,0.34,15 years ,1.00,,,,,,,,1 years ,0.50,0.50,,,,,,,2 years ,-28500.00,-28500.00,-28500.00,300.00,300.00,300.00,200.00,200.00,200.00,300.00,300.00,300.00,10000.00,10000.00,10000.00,6500.00,6500.00,6500.00,400.00,400.00,400.00,2200.00,2200.00,2200.00,1000.00,1000.00,1000.00,20.00,20.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,2.00,2.00,2.00
Recip Diesel 90 hrs ,20.00,0.01,0.34,15 years ,1.00,,,,,,,,1 years ,0.50,0.50,,,,,,,2 years ,-28000.00,-28000.00,-28000.00,300.00,300.00,300.00,200.00,200.00,200.00,300.00,300.00,300.00,10000.00,10000.00,10000.00,6500.00,6500.00,6500.00,400.00,400.00,400.00,2200.00,2200.00,2200.00,1000.00,1000.00,1000.00,20.00,20.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,2.00,2.00,2.00
Recip Gas 2000 hr ,20.00,0.22,0.32,15 years ,1.00,,,,,,,,1 years ,0.50,0.50,,,,,,,2 years ,-31900.00,-31900.00,-31900.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,10000.00,10000.00,10000.00,10300.00,10300.00,10300.00,700.00,700.00,700.00,3400.00,3400.00,3400.00,1000.00,1000.00,1000.00,20.00,20.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,2.00,2.00,2.00
RECIP GAS 500 hrs ,20.00,0.05,0.32,15 years ,1.00,,,,,,,,1 years ,0.50,0.50,,,,,,,2 years ,-28500.00,-28500.00,-28500.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,10000.00,10000.00,10000.00,10300.00,10300.00,10300.00,700.00,700.00,700.00,3400.00,3400.00,3400.00,1000.00,1000.00,1000.00,20.00,20.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,2.00,2.00,2.00
Sewage gas ,3.00,0.46,1.00,20 years ,0.56,0.44,,,,,,,2 years ,1.00,,,,,,,,1 years ,12900.00,12900.00,12900.00,7000.00,7000.00,7000.00,1800.00,1800.00,1800.00,5100.00,5100.00,5100.00,48600.00,48600.00,48600.00,200.00,200.00,200.00,100.00,100.00,100.00,200.00,200.00,200.00,36600.00,36600.00,36600.00,420.00,420.00,420.00,410.00,410.00,410.00,420.00,420.00,420.00,12.00,12.00,12.00
Solar <10kW ,0.00,0.11,1.00,30 years ,1.00,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,1900.00,1800.00,1700.00,1200.00,1100.00,1000.00,1500.00,1500.00,1400.00,23500.00,23400.00,23200.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Solar 100-1000kW ,0.46,0.11,1.00,30 years ,1.00,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,1300.00,1200.00,1200.00,800.00,800.00,700.00,1000.00,1000.00,900.00,9400.00,9400.00,9200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Tidal stream ,18.00,0.31,1.00,22 years ,0.56,0.45,,,,,,,2 years ,0.23,0.23,0.23,0.23,0.07,,,,4 years ,- ,- ,60400.00,- ,- ,6000.00,- ,- ,2400.00,- ,- ,4200.00,- ,- ,91400.00,- ,- ,10500.00,- ,- ,4200.00,- ,- ,7400.00,- ,- ,2500.00,- ,- ,270.00,- ,- ,40.00,- ,- ,130.00,- ,- ,7.00
Wave ,9.00,0.30,1.00,20 years ,0.50,0.50,,,,,,,2 years ,0.33,0.33,0.33,,,,,,3 years ,- ,- ,32300.00,- ,- ,6200.00,- ,- ,2600.00,- ,- ,4500.00,- ,- ,40600.00,- ,- ,7000.00,- ,- ,2900.00,- ,- ,5100.00,- ,- ,11900.00,- ,- ,270.00,- ,- ,40.00,- ,- ,130.00,- ,- ,24.00
