,Connect_system_cost-Medium _2016,Connect_system_cost-Medium _2017,Connect_system_cost-Medium _2020,Constr_cost-High _2016,Constr_cost-High _2017,Constr_cost-High _2020,Constr_cost-Low _2016,Constr_cost-Low _2017,Constr_cost-Low _2020,Constr_cost-Medium _2016,Constr_cost-Medium _2017,Constr_cost-Medium _2020,Fixed_cost-Medium _2016,Fixed_cost-Medium _2017,Fixed_cost-Medium _2020,Insurance_cost-Medium 2016,Insurance_cost-Medium 2017,Insurance_cost-Medium 2020,Pre_dev_cost-High _2016,Pre_dev_cost-High _2017,Pre_dev_cost-High _2020,Pre_dev_cost-Low _2016,Pre_dev_cost-Low _2017,Pre_dev_cost-Low _2020,Pre_dev_cost-Medium _2016,Pre_dev_cost-Medium _2017,Pre_dev_cost-Medium _2020,Var_cost-Medium _2016,Var_cost-Medium _2017,Var_cost-Medium _2020,Infra_cost-High _2016,Infra_cost-High _2017,Infra_cost-High _2020,Infra_cost-Low _2016,Infra_cost-Low _2017,Infra_cost-Low _2020,Infra_cost-Medium _2016,Infra_cost-Medium _2017,Infra_cost-Medium _2020,Plant_Type,Plant_Size,Average_Load_Factor,Efficiency,Operating_Period,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Type
10," 45,900.00 "," 44,200.00 "," 39,900.00 "," 2,900.00 "," 2,700.00 "," 2,400.00 "," 2,100.00 "," 2,000.00 "," 1,700.00 "," 2,500.00 "," 2,300.00 "," 2,000.00 "," 62,900.00 "," 60,500.00 "," 54,600.00 "," 11,600.00 "," 11,100.00 "," 10,000.00 ", 120.00 , 120.00 , 120.00 , 50.00 , 50.00 , 50.00 , 70.00 , 70.00 , 70.00 , 2.00 , 2.00 , 2.00 ,0,0,0,0,0,0,0,0,0,Offshore R2,321.0,0.43,0.0,23.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,,,,,,3,0.222,0.222,0.222,0.222,0.111,,,,5,Offshore
11," 60,600.00 "," 57,200.00 "," 49,400.00 "," 3,100.00 "," 3,000.00 "," 2,600.00 "," 2,200.00 "," 2,100.00 "," 1,800.00 "," 2,600.00 "," 2,400.00 "," 2,100.00 "," 70,900.00 "," 67,000.00 "," 57,800.00 "," 32,800.00 "," 31,000.00 "," 26,700.00 ", 150.00 , 150.00 , 150.00 , 50.00 , 50.00 , 50.00 , 105.00 , 105.00 , 105.00 ,0,0,0,0,0,0,0,0,0,0,0,0,Offshore R3,844.0,0.48,0.0,22.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,,,,,,3,0.222,0.222,0.222,0.222,0.111,,,,5,Offshore
12,0,0,0,,,,,,," 3,100.00 "," 3,100.00 "," 3,300.00 "," 43,500.00 "," 43,600.00 "," 43,700.00 ",0,0,0,,,,,,, 50.00 , 50.00 , 50.00 , 10.00 , 11.00 , 12.00 ,0,0,0,0,0,0,0,0,0,Hydro 5-16MW,11.0,0.35,1.0,41.0,0.7,0.3,,,,,,,2,0.77,0.23,,,,,,,2,Hydro
13,0,0,0," 5,200.00 "," 5,200.00 "," 5,100.00 "," 4,500.00 "," 4,500.00 "," 4,500.00 "," 4,900.00 "," 4,900.00 "," 4,800.00 "," 222,000.00 "," 222,000.00 "," 222,000.00 ",0,0,0,,,,,,,0,0,0, 25.00 , 25.00 , 25.00 ,0,0,0,0,0,0,0,0,0,EfW,30.0,0.81,0.28,35.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,,,,,,3,0.228,0.228,0.228,0.228,0.09,,,,5,EfW
14," 1,400.00 "," 1,400.00 "," 1,400.00 "," 5,000.00 "," 5,000.00 "," 4,900.00 "," 2,700.00 "," 2,700.00 "," 2,700.00 "," 3,900.00 "," 3,800.00 "," 3,800.00 "," 149,900.00 "," 149,100.00 "," 146,700.00 "," 25,400.00 "," 25,300.00 "," 24,900.00 ",,,,,,,0,0,0, 10.00 , 11.00 , 12.00 ,0,0,0,0,0,0,0,0,0,Biomass CHP,14.0,0.8,0.23,24.0,0.5,0.5,,,,,,,2,0.33299999999999996,0.33299999999999996,0.33299999999999996,,,,,,3,Biomass
15," 8,700.00 "," 8,700.00 "," 8,700.00 "," 7,200.00 "," 7,200.00 "," 7,000.00 "," 1,700.00 "," 1,700.00 "," 1,700.00 "," 4,000.00 "," 3,900.00 "," 3,900.00 "," 301,000.00 "," 301,000.00 "," 301,000.00 "," 58,000.00 "," 58,100.00 "," 58,200.00 ", 580.00 , 580.00 , 580.00 , 50.00 , 50.00 , 50.00 , 180.00 , 180.00 , 180.00 , 30.00 , 30.00 , 30.00 ,0,0,0,0,0,0,0,0,0,AD,2.0,0.79,0.4,20.0,1.0,,,,,,,,1,0.667,0.33299999999999996,,,,,,,2,AD
16,0,0,0," 6,000.00 "," 6,000.00 "," 6,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 "," 4,500.00 "," 4,500.00 "," 4,500.00 "," 714,800.00 "," 714,800.00 "," 714,800.00 ",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AD,2.0,0.79,0.4,20.0,1.0,,,,,,,,1,0.667,0.33299999999999996,,,,,,,2,AD
17," 8,700.00 "," 8,700.00 "," 8,700.00 "," 7,200.00 "," 7,200.00 "," 7,200.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 4,200.00 "," 4,200.00 "," 4,100.00 "," 364,000.00 "," 364,000.00 "," 365,000.00 "," 58,000.00 "," 58,100.00 "," 58,200.00 ",,,,,,,0,0,0, 20.00 , 20.00 , 20.00 ,0,0,0,0,0,0,0,0,0,AD CHP,2.0,0.79,0.32,20.0,1.0,,,,,,,,1,0.667,0.33299999999999996,,,,,,,2,AD
18," 5,600.00 "," 5,500.00 "," 5,400.00 "," 10,600.00 "," 10,500.00 "," 10,300.00 "," 1,000.00 "," 1,000.00 ", 900.00 ," 5,900.00 "," 5,800.00 "," 5,700.00 "," 425,800.00 "," 421,800.00 "," 410,000.00 "," 21,900.00 "," 21,700.00 "," 21,100.00 ", 90.00 , 90.00 , 90.00 , 90.00 , 90.00 , 90.00 , 90.00 , 90.00 , 90.00 , 10.00 , 11.00 , 12.00 ,0,0,0,0,0,0,0,0,0,ACT CHP,1.0,0.83,0.24,25.0,0.444,0.444,0.111,,,,,,2,0.364,0.364,0.273,,,,,,3,ACT
19,0,0,0," 1,100.00 "," 1,100.00 ", 900.00 , 900.00 , 900.00 , 800.00 ," 1,000.00 "," 1,000.00 ", 900.00 ," 22,600.00 "," 22,400.00 "," 21,900.00 ",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PV>5MW,16.0,0.11,0.0,25.0,1.0,,,,,,,,0,1.0,,,,,,,,1,PV
20,0,0,0," 2,500.00 "," 2,400.00 "," 2,100.00 "," 1,500.00 "," 1,400.00 "," 1,300.00 "," 1,900.00 "," 1,800.00 "," 1,600.00 "," 23,700.00 "," 23,600.00 "," 23,500.00 ",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Solar <10kW,0.003,0.11,1.0,30.0,1.0,,,,,,,,0,,,,,,,,,0,PV
21,0,0,0," 6,100.00 "," 6,100.00 "," 6,100.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,500.00 "," 5,500.00 "," 5,500.00 "," 73,000.00 "," 73,000.00 "," 73,000.00 ",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onshore <50kW,0.01,0.21,1.0,20.0,1.0,,,,,,,,0,,,,,,,,,0,Onshore
22,0,0,0," 8,000.00 "," 8,000.00 "," 8,000.00 "," 4,000.00 "," 4,000.00 "," 4,000.00 "," 6,000.00 "," 6,000.00 "," 6,000.00 "," 924,000.00 "," 924,000.00 "," 924,000.00 ",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AD < 250kW,0.155,0.65,0.38,20.0,1.0,,,,,,,,0,,,,,,,,,0,AD
23,0,0,0," 10,000.00 "," 10,000.00 "," 10,000.00 "," 2,000.00 "," 2,000.00 "," 2,000.00 "," 4,500.00 "," 4,500.00 "," 4,500.00 "," 104,000.00 "," 104,000.00 "," 104,000.00 ",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydropower 500-2000kW,1.046,0.4,1.0,35.0,1.0,,,,,,,,0,,,,,,,,,0,Hydro
24,0,0,0," 21,400.00 "," 21,400.00 "," 21,400.00 "," 4,200.00 "," 4,200.00 "," 4,200.00 "," 9,500.00 "," 9,500.00 "," 9,500.00 "," 110,000.00 "," 110,000.00 "," 110,000.00 ",0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydropower <100kW,0.033,0.6,1.0,35.0,1.0,,,,,,,,0,,,,,,,,,0,Hydro
