"","x","y"
"1",2018,192.5701
"2",2019,192.341131578947
"3",2020,192.112163157895
"4",2021,191.883194736842
"5",2022,191.654226315789
"6",2023,191.425257894737
"7",2024,191.196289473684
"8",2025,190.967321052632
"9",2026,190.738352631579
"10",2027,190.509384210526
"11",2028,190.280415789474
"12",2029,190.051447368421
"13",2030,189.822478947368
"14",2031,189.593510526316
"15",2032,189.364542105263
"16",2033,189.135573684211
"17",2034,188.906605263158
"18",2035,188.677636842105
"19",2036,188.448668421053
"20",2037,188.2197
