 q,,,,,,,,,
UK time,CET/CEST time,14/02/2018,13/02/2018,12/02/2018,11/02/2018,10/02/2018,09/02/2018,08/02/2018,07/02/2018
23 - 00,00 - 01,"49,90","41,58","41,05","45,90","55,10","47,20","42,82","40,81"
00 - 01,01 - 02,"51,00","47,90","45,97","46,00","47,95","45,97","42,94","41,99"
01 - 02,02 - 03,"47,00","43,45","44,05","47,55","47,93","44,16","42,76","40,81"
02 - 03,03 - 04,"43,78","40,63","41,51","45,92","46,99","41,62","42,08","40,56"
03 - 04,04 - 05,"43,34","39,02","41,08","42,94","41,03","41,06","41,43","40,94"
04 - 05,05 - 06,"40,30","37,51","38,54","38,02","38,99","37,34","41,24","40,73"
05 - 06,06 - 07,"39,14","40,13","43,13","35,00","36,60","44,26","44,61","42,88"
06 - 07,07 - 08,"44,82","45,53","47,78","41,00","39,38","47,91","54,10","53,69"
07 - 08,08 - 09,"53,75","44,47","50,39","38,03","41,42","48,21","59,17","56,14"
08 - 09,09 - 10,"55,26","43,80","57,73","41,20","46,05","51,24","61,34","56,05"
09 - 10,10 - 11,"53,00","50,56","64,00","43,54","48,05","57,66","61,10","52,98"
10 - 11,11 - 12,"48,95","48,00","49,11","46,87","48,08","47,79","54,38","51,25"
11 - 12,12 - 13,"44,43","45,41","48,99","43,56","46,20","44,49","47,77","45,50"
12 - 13,13 - 14,"46,00","44,04","46,19","48,09","46,93","42,55","46,53","45,49"
13 - 14,14 - 15,"44,00","44,58","44,31","49,56","50,10","42,08","46,82","44,67"
14 - 15,15 - 16,"44,01","44,18","48,00","42,33","51,53","41,98","46,00","46,48"
15 - 16,16 - 17,"50,79","41,44","43,37","41,27","48,30","41,94","49,02","48,59"
16 - 17,17 - 18,"48,44","45,22","50,69","44,10","44,41","45,50","55,85","55,10"
17 - 18,18 - 19,"62,00","62,96","71,97","74,12","71,20","70,00","64,74","68,59"
18 - 19,19 - 20,"74,99","77,45","85,00","83,40","72,99","73,86","64,61","64,23"
19 - 20,20 - 21,"63,74","65,50","65,51","54,09","49,90","62,49","60,56","60,54"
20 - 21,21 - 22,"43,92","58,39","42,88","45,99","46,84","49,00","47,74","47,00"
21 - 22,22 - 23,"48,00","49,58","42,12","48,14","42,09","49,60","47,48","43,37"
22 - 23,23 - 00,"42,80","45,05","38,81","39,71","37,91","41,65","42,22","40,67"
,,,,,,,,,
Min,,"39,14","37,51","38,54","35,00","36,60","37,34","41,24","40,56"
Max,,"74,99","77,45","85,00","83,40","72,99","73,86","64,74","68,59"
Average,,"49,31","47,77","49,67","46,93","47,75","48,32","50,30","48,71"
UK time,CET/CEST time,14/02/2018,13/02/2018,12/02/2018,11/02/2018,10/02/2018,09/02/2018,08/02/2018,07/02/2018
